Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Alonso  Marcos Alonso (Chelsea, Defender)",CHE,5.5,90,5,3,0,4,0,0,0,0,15,6,15.0,03/04/2021
"Azpilicueta  César Azpilicueta (Chelsea, Defender)",CHE,6.0,90,6,3,1,4,0,0,2,0,16,16,5.6,03/04/2021
"Christensen  Andreas Christensen (Chelsea, Defender)",CHE,5.0,57,4,6,0,6,0,0,1,0,13,13,4.4,03/04/2021
"Jorginho  Jorge Luiz Frello Filho (Chelsea, Midfielder)",CHE,6.0,72,5,2,0,4,0,0,1,0,12,12,6.0,03/04/2021
"Havertz  Kai Havertz (Chelsea, Midfielder)",CHE,8.5,18,0,0,0,0,0,0,1,1,1,1,18.0,03/04/2021
"James (Reece)  Reece James (Chelsea, Defender)",CHE,5.5,90,5,1,1,4,0,0,4,2,14,14,6.4,03/04/2021
"Kovacic  Mateo Kovacic (Chelsea, Midfielder)",CHE,5.0,90,8,2,0,4,0,0,1,5,11,11,8.2,03/04/2021
"Mendy (Edouard)  Edouard Mendy (Chelsea, Goalkeeper)",CHE,6.0,90,6,0,0,0,0,0,0,0,12,12,7.5,03/04/2021
"Mount  Mason Mount (Chelsea, Midfielder)",CHE,7.5,45,6,1,0,0,1,0,0,0,18,0,0.0,03/04/2021
"Pulisic  Christian Pulisic (Chelsea, Midfielder)",CHE,8.0,45,0,0,0,0,0,0,1,0,21,3,15.0,03/04/2021
"Werner  Timo Werner (Chelsea, Forward)",CHE,9.0,90,3,0,1,6,0,2,2,1,29,20,4.5,03/04/2021
"Ziyech  Hakim Ziyech (Chelsea, Midfielder)",CHE,7.5,33,1,1,0,0,0,0,0,0,2,2,16.5,03/04/2021
"Zouma  Kurt Zouma (Chelsea, Defender)",CHE,5.5,90,6,4,0,4,0,0,0,0,8,8,11.3,03/04/2021
"Thiago Silva  Thiago Emiliano da Silva (Chelsea, Defender)",CHE,5.5,29,3,1,0,6,0,0,1,0,-7,-7,0.0,03/04/2021
"Ajayi  Semi Ajayi (West Bromwich Albion, Defender)",WBA,4.8,90,4,8,0,0,0,0,0,0,10,10,9.0,03/04/2021
"Bartley  Kyle Bartley (West Bromwich Albion, Defender)",WBA,4.4,90,6,6,2,2,0,0,0,0,16,16,5.6,03/04/2021
"Matheus Pereira  Matheus Fellipe Costa Pereira (West Bromwich Albion, Midfielder)",WBA,5.4,90,9,1,1,0,0,1,3,2,69,15,6.0,03/04/2021
"Diagne  Mbaye Diagne (West Bromwich Albion, Forward)",WBA,6.0,90,2,3,1,0,0,0,1,0,35,2,45.0,03/04/2021
"Furlong  Darnell Furlong (West Bromwich Albion, Defender)",WBA,4.5,90,1,8,0,0,1,0,1,1,21,12,7.5,03/04/2021
"Ivanovic  Branislav Ivanovic (West Bromwich Albion, Defender)",WBA,4.4,13,0,0,0,0,0,0,0,0,3,3,4.3,03/04/2021
"Johnstone  Sam Johnstone (West Bromwich Albion, Goalkeeper)",WBA,4.6,90,9,3,0,0,0,1,1,0,32,23,3.9,03/04/2021
"Livermore  Jake Livermore (West Bromwich Albion, Midfielder)",WBA,4.7,1,0,0,0,0,0,0,0,0,2,2,0.5,03/04/2021
"Maitland-Niles  Ainsley Maitland-Niles (West Bromwich Albion, Defender)",WBA,5.5,90,6,2,0,0,0,0,0,1,6,6,15.0,03/04/2021
"O'Shea  Dara O&#039;Shea (West Bromwich Albion, Defender)",WBA,4.2,24,1,1,0,0,0,0,0,0,3,3,8.0,03/04/2021
"Phillips (Matthew)  Matthew Phillips (West Bromwich Albion, Midfielder)",WBA,5.1,89,6,2,0,0,0,0,0,2,7,7,12.7,03/04/2021
"Robinson (Callum)  Callum Robinson (West Bromwich Albion, Forward)",WBA,5.2,53,5,1,0,0,0,0,3,2,59,8,6.6,03/04/2021
"Townsend (Conor)  Conor Townsend (West Bromwich Albion, Defender)",WBA,4.4,90,5,3,0,0,0,0,0,0,5,5,18.0,03/04/2021
"Yokuslu  Okay Yokuslu (West Bromwich Albion, Midfielder)",WBA,4.5,90,7,6,3,4,0,0,1,2,18,18,5.0,03/04/2021
