Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Bissouma  Yves Bissouma (Brighton and Hove Albion, Midfielder)",BHA,4.5,90,6,10,0,4,0,0,0,1,16,16,5.6,04/04/2021
"Dunk  Lewis Dunk (Brighton and Hove Albion, Defender)",BHA,5.0,90,7,8,0,4,0,0,0,0,12,12,7.5,04/04/2021
"Groß  Pascal Groß (Brighton and Hove Albion, Midfielder)",BHA,6.0,90,4,4,0,2,0,1,1,0,11,11,8.2,04/04/2021
"Jahanbakhsh  Alireza Jahanbakhsh (Brighton and Hove Albion, Midfielder)",BHA,5.5,3,1,0,0,0,0,0,0,0,2,2,1.5,04/04/2021
"Lallana  Adam Lallana (Brighton and Hove Albion, Midfielder)",BHA,5.5,87,5,1,0,4,0,0,0,1,11,11,7.9,04/04/2021
"Mac Allister  Alexis Mac Allister (Brighton and Hove Albion, Midfielder)",BHA,5.5,27,2,1,0,0,0,0,0,0,3,3,9.0,04/04/2021
"Maupay  Neal Maupay (Brighton and Hove Albion, Forward)",BHA,6.5,90,4,1,0,0,1,1,1,3,12,12,7.5,04/04/2021
"Moder  Jakub Moder (Brighton and Hove Albion, Midfielder)",BHA,4.5,87,4,1,0,0,1,0,0,0,5,5,17.4,04/04/2021
"Sanchez  Robert Sanchez (Brighton and Hove Albion, Goalkeeper)",BHA,4.5,90,11,0,0,0,0,0,0,0,18,18,5.0,04/04/2021
"Trossard  Leandro Trossard (Brighton and Hove Albion, Midfielder)",BHA,6.5,63,6,1,0,0,0,0,0,0,4,4,15.8,04/04/2021
"Veltman  Joël Veltman (Brighton and Hove Albion, Defender)",BHA,4.5,90,5,6,0,0,0,0,0,0,9,9,10.0,04/04/2021
"Welbeck  Danny Welbeck (Brighton and Hove Albion, Forward)",BHA,6.0,90,4,3,1,0,0,0,1,1,30,6,15.0,04/04/2021
"White (Ben)  Ben White (Brighton and Hove Albion, Defender)",BHA,4.5,90,4,4,2,2,0,0,0,2,13,13,6.9,04/04/2021
"Zeqiri  Andi Zeqiri (Brighton and Hove Albion, Forward)",BHA,5.0,3,1,0,0,0,0,0,0,0,3,3,1.0,04/04/2021
"Bruno Fernandes  Bruno Miguel Borges Fernandes (Manchester United, Midfielder)",MUN,12.0,90,8,1,0,4,0,1,4,1,24,15,6.0,04/04/2021
"Cavani  Edinson Cavani (Manchester United, Forward)",MUN,8.5,82,1,1,0,0,0,0,0,0,3,3,27.3,04/04/2021
"Greenwood (Mason)  Mason Greenwood (Manchester United, Midfielder)",MUN,7.5,90,7,0,0,2,0,0,1,0,18,-3,0.0,04/04/2021
"Henderson (Dean)  Dean Henderson (Manchester United, Goalkeeper)",MUN,5.0,90,5,0,0,0,0,0,0,0,11,11,8.2,04/04/2021
"James (Daniel)  Daniel James (Manchester United, Midfielder)",MUN,6.0,18,1,0,0,0,0,1,1,0,3,3,6.0,04/04/2021
"Maguire (Harry)  Harry Maguire (Manchester United, Defender)",MUN,5.5,90,4,10,1,4,1,0,0,0,17,17,5.3,04/04/2021
"McTominay  Scott McTominay (Manchester United, Midfielder)",MUN,5.5,6,0,0,0,0,0,0,0,1,4,4,1.5,04/04/2021
"Lindelof  Victor Nilsson-Lindelof (Manchester United, Defender)",MUN,5.0,90,5,3,1,6,0,0,0,0,15,15,6.0,04/04/2021
"Pogba  Paul Pogba (Manchester United, Midfielder)",MUN,7.5,84,10,5,0,2,0,2,2,2,28,19,4.4,04/04/2021
"Rashford  Marcus Rashford (Manchester United, Midfielder)",MUN,9.5,72,3,1,0,4,1,0,1,3,25,7,10.3,04/04/2021
"Fred  Frederico Rodrigues de Paula Santos (Manchester United, Midfielder)",MUN,5.0,90,10,3,1,6,0,0,1,2,17,17,5.3,04/04/2021
"Shaw  Luke Shaw (Manchester United, Defender)",MUN,5.5,90,6,2,0,4,0,0,1,3,15,15,6.0,04/04/2021
"Wan-Bissaka  Aaron Wan-Bissaka (Manchester United, Defender)",MUN,5.5,90,5,5,0,4,1,0,2,0,12,12,7.5,04/04/2021
"van de Beek  Donny van de Beek (Manchester United, Midfielder)",MUN,6.0,8,0,0,0,0,0,0,0,0,3,3,2.7,04/04/2021
