Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Almirón  Miguel Almirón (Newcastle United, Midfielder)",NEW,5.5,90,8,2,0,0,1,0,0,3,13,4,22.5,04/04/2021
"Joelinton  Joelinton Cássio Apolinário de Lira (Newcastle United, Forward)",NEW,6.0,90,2,0,0,0,0,1,1,1,22,-2,0.0,04/04/2021
"Dubravka  Martin Dubravka (Newcastle United, Goalkeeper)",NEW,4.5,90,6,0,0,0,0,0,0,0,12,12,7.5,04/04/2021
"Dummett  Paul Dummett (Newcastle United, Defender)",NEW,4.5,90,5,3,0,4,0,0,0,0,8,8,11.3,04/04/2021
"Gayle  Dwight Gayle (Newcastle United, Forward)",NEW,5.5,71,0,0,0,0,0,0,1,1,1,1,71.0,04/04/2021
"Krafth  Emil Krafth (Newcastle United, Defender)",NEW,4.5,79,7,4,0,4,2,1,2,1,18,18,4.4,04/04/2021
"Lascelles  Jamaal Lascelles (Newcastle United, Defender)",NEW,4.5,90,3,6,0,0,0,0,0,0,9,9,10.0,04/04/2021
"Longstaff (Sean)  Sean Longstaff (Newcastle United, Midfielder)",NEW,4.5,90,7,2,0,0,0,1,1,0,16,7,12.9,04/04/2021
"Manquillo  Javier Manquillo (Newcastle United, Defender)",NEW,4.0,7,0,1,0,0,0,0,0,0,3,3,2.3,04/04/2021
"Jacob Murphy  Jacob Murphy (Newcastle United, Midfielder)",NEW,5.0,83,7,0,1,0,2,0,2,4,14,14,5.9,04/04/2021
"Ritchie  Matt Ritchie (Newcastle United, Midfielder)",NEW,5.0,90,4,6,0,0,1,0,1,0,11,11,8.2,04/04/2021
"Saint-Maximin  Allan Saint-Maximin (Newcastle United, Midfielder)",NEW,6.5,19,1,0,0,0,0,0,1,1,4,4,4.8,04/04/2021
"Shelvey  Jonjo Shelvey (Newcastle United, Midfielder)",NEW,5.5,90,5,3,0,0,0,1,2,0,5,5,18.0,04/04/2021
"Willock  Joseph Willock (Newcastle United, Midfielder)",NEW,6.0,11,1,0,0,0,0,0,0,0,20,2,5.5,04/04/2021
"Carlos Vinicius  Carlos Vinicius Alves Morais (Tottenham Hotspur, Forward)",TOT,6.9,45,1,2,0,0,0,0,0,0,1,1,45.0,04/04/2021
"Bale  Gareth Bale (Tottenham Hotspur, Midfielder)",TOT,9.2,2,0,0,0,0,0,0,0,0,2,2,1.0,04/04/2021
"Højbjerg  Pierre-Emile Højbjerg (Tottenham Hotspur, Midfielder)",TOT,5.0,90,6,8,0,6,0,0,0,1,18,18,5.0,04/04/2021
"Kane  Harry Kane (Tottenham Hotspur, Forward)",TOT,12.5,90,3,2,0,0,0,0,0,1,50,2,45.0,04/04/2021
"Lamela  Erik Lamela (Tottenham Hotspur, Midfielder)",TOT,6.0,26,2,1,0,0,0,0,1,1,2,2,13.0,04/04/2021
"Lloris  Hugo Lloris (Tottenham Hotspur, Goalkeeper)",TOT,5.5,90,13,0,0,0,0,0,0,0,18,18,5.0,04/04/2021
"Lo Celso  Giovani Lo Celso (Tottenham Hotspur, Midfielder)",TOT,6.0,88,4,1,1,4,0,0,0,2,10,10,8.8,04/04/2021
"NDombele  Tanguy NDombele (Tottenham Hotspur, Midfielder)",TOT,6.0,90,6,0,0,6,0,1,1,6,29,20,4.5,04/04/2021
"Reguilón  Sergio Reguilón (Tottenham Hotspur, Defender)",TOT,5.0,90,4,3,0,2,2,0,2,1,11,11,8.2,04/04/2021
"Rodon  Joe Rodon (Tottenham Hotspur, Defender)",TOT,4.5,90,3,20,1,6,0,0,0,0,24,24,3.8,04/04/2021
"Lucas Moura  Lucas Rodrigues Moura da Silva (Tottenham Hotspur, Midfielder)",TOT,6.5,64,4,1,0,0,0,0,0,2,7,7,9.1,04/04/2021
"Son  Heung-Min Son (Tottenham Hotspur, Midfielder)",TOT,10.0,45,5,0,1,0,0,0,0,0,4,4,11.3,04/04/2021
"DSanchez  Davinson Sánchez (Tottenham Hotspur, Defender)",TOT,4.5,90,7,4,1,2,0,0,0,0,10,10,9.0,04/04/2021
"Tanganga  Japhet Tanganga (Tottenham Hotspur, Defender)",TOT,4.5,90,6,5,0,4,0,1,1,1,14,14,6.4,04/04/2021
