Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Gudmundsson  Johann Berg Gudmundsson (Burnley, Midfielder)",BUR,5.5,89,3,3,5,0,0,0,0,1,15,15,5.9,04/04/2021
"Brownhill  Josh Brownhill (Burnley, Midfielder)",BUR,4.5,90,9,4,1,2,0,0,1,1,13,13,6.9,04/04/2021
"Lowton  Matthew Lowton (Burnley, Defender)",BUR,4.5,90,6,2,2,0,1,0,1,0,13,13,6.9,04/04/2021
"McNeil  Dwight McNeil (Burnley, Midfielder)",BUR,6.0,90,10,2,0,2,1,1,1,2,16,16,5.6,04/04/2021
"Mee  Ben Mee (Burnley, Defender)",BUR,5.0,90,3,11,0,0,0,0,0,0,7,7,12.9,04/04/2021
"Pieters  Erik Pieters (Burnley, Defender)",BUR,4.5,33,1,2,0,0,0,0,0,1,13,4,8.3,04/04/2021
"Pope  Nick Pope (Burnley, Goalkeeper)",BUR,5.5,90,11,1,0,0,0,0,0,0,20,20,4.5,04/04/2021
"Richardson  Lewis Richardson (Burnley, Midfielder)",BUR,4.5,1,0,0,0,0,0,0,0,0,3,3,0.3,04/04/2021
"Rodriguez  Jay Rodriguez (Burnley, Forward)",BUR,5.5,12,0,0,0,0,0,0,0,0,3,3,4.0,04/04/2021
"Tarkowski  James Tarkowski (Burnley, Defender)",BUR,5.0,90,7,8,0,0,0,0,0,0,11,11,8.2,04/04/2021
"Taylor (Charlie)  Charlie Taylor (Burnley, Defender)",BUR,4.5,57,4,8,1,0,1,0,1,0,11,11,5.2,04/04/2021
"Vydra  Matej Vydra (Burnley, Forward)",BUR,5.5,78,3,2,1,0,0,0,1,1,33,9,8.7,04/04/2021
"Westwood  Ashley Roy Westwood (Burnley, Midfielder)",BUR,5.5,90,6,6,1,0,0,0,0,0,11,11,8.2,04/04/2021
"Wood  Chris Wood (Burnley, Forward)",BUR,7.0,90,6,1,0,0,0,0,1,0,34,1,90.0,04/04/2021
"Adams  Che Adams (Southampton, Forward)",SOU,7.0,4,0,1,0,0,0,0,0,1,0,0,0.0,04/04/2021
"Armstrong  Stuart Armstrong (Southampton, Midfielder)",SOU,6.0,79,4,0,0,0,2,0,2,4,28,10,7.9,04/04/2021
"Bednarek  Jan Bednarek (Southampton, Defender)",SOU,4.5,90,7,15,0,2,0,0,1,0,17,17,5.3,04/04/2021
"Bertrand  Ryan Bertrand (Southampton, Defender)",SOU,5.0,90,4,4,0,4,0,0,1,0,14,14,6.4,04/04/2021
"Diallo  Ibrahima Diallo (Southampton, Midfielder)",SOU,4.5,90,1,3,2,2,0,0,0,0,10,10,9.0,04/04/2021
"Djenepo  Moussa Djenepo (Southampton, Midfielder)",SOU,5.5,3,3,1,0,0,0,0,0,1,5,5,0.6,04/04/2021
"Forster  Fraser Forster (Southampton, Goalkeeper)",SOU,4.5,90,9,2,0,0,0,0,0,0,17,17,5.3,04/04/2021
"Ings  Danny Ings (Southampton, Forward)",SOU,8.0,86,4,1,0,0,0,0,2,4,39,6,14.3,04/04/2021
"Redmond  Nathan Redmond (Southampton, Midfielder)",SOU,6.0,90,6,1,0,0,0,2,4,4,43,13,6.9,04/04/2021
"Salisu  Mohammed Salisu (Southampton, Defender)",SOU,4.5,11,2,0,0,0,0,0,0,1,4,4,2.8,04/04/2021
"Vestergaard  Jannik Vestergaard (Southampton, Defender)",SOU,5.0,90,9,11,0,2,0,0,1,0,16,16,5.6,04/04/2021
"Walcott  Theo Walcott (Southampton, Midfielder)",SOU,6.0,87,2,0,0,0,0,1,2,0,15,6,14.5,04/04/2021
"Walker-Peters  Kyle Walker-Peters (Southampton, Defender)",SOU,5.0,90,8,1,0,4,0,0,1,0,6,6,15.0,04/04/2021
"Ward-Prowse  James Ward-Prowse (Southampton, Midfielder)",SOU,6.5,90,8,4,0,4,0,0,1,0,15,15,6.0,04/04/2021
