Name,Team,Cost,Starts,Mins,On,Off,G,A,FA,TA,CS,GC,OG,PL YC,PL RC,Vs,GW,date,Position,Home
"Antonio  Michail Antonio (West Ham United, Forward)",WHU,7.5,1,36,0,1,0,0,0,0,0,0,0,0,0,WOL,30,05/04/2021,FWD,False
"Benrahma  Said Benrahma (West Ham United, Midfielder)",WHU,6.0,0,12,1,0,0,0,0,0,0,0,0,0,0,WOL,30,05/04/2021,MID,False
"Bowen  Jarrod Bowen (West Ham United, Midfielder)",WHU,6.5,0,54,1,0,1,0,0,0,0,2,0,0,0,WOL,30,05/04/2021,MID,False
"Coufal  Vladimir Coufal (West Ham United, Defender)",WHU,5.0,1,90,0,0,0,1,0,1,0,2,0,0,0,WOL,30,05/04/2021,DEF,False
"Cresswell (Aaron)  Aaron Cresswell (West Ham United, Defender)",WHU,5.5,1,90,0,0,0,0,0,0,0,2,0,0,0,WOL,30,05/04/2021,DEF,False
"Dawson  Craig Dawson (West Ham United, Defender)",WHU,5.0,1,90,0,0,0,0,0,0,0,2,0,1,0,WOL,30,05/04/2021,DEF,False
"Diop  Issa Diop (West Ham United, Defender)",WHU,4.5,1,90,0,0,0,0,0,0,0,2,0,1,0,WOL,30,05/04/2021,DEF,False
"Fabianski  Lukasz Fabianski (West Ham United, Goalkeeper)",WHU,5.0,1,90,0,0,0,0,0,0,0,2,0,0,0,WOL,30,05/04/2021,GKP,False
"Fornals  Pablo Fornals (West Ham United, Midfielder)",WHU,6.0,1,78,0,1,1,0,0,0,0,2,0,0,0,WOL,30,05/04/2021,MID,False
"Johnson (Ben)  Ben Johnson (West Ham United, Defender)",WHU,4.0,0,23,1,0,0,0,0,0,0,1,0,0,0,WOL,30,05/04/2021,DEF,False
"Lingard  Jesse Lingard (West Ham United, Midfielder)",WHU,7.0,1,90,0,0,1,1,0,1,0,2,0,1,0,WOL,30,05/04/2021,MID,False
"Masuaku  Arthur Masuaku (West Ham United, Defender)",WHU,4.5,1,67,0,1,0,1,0,1,0,1,0,0,0,WOL,30,05/04/2021,DEF,False
"Noble  Mark Noble (West Ham United, Midfielder)",WHU,4.5,1,90,0,0,0,0,0,0,0,2,0,0,0,WOL,30,05/04/2021,MID,False
"Soucek  Tomas Soucek (West Ham United, Midfielder)",WHU,6.0,1,90,0,0,0,0,0,0,0,2,0,1,0,WOL,30,05/04/2021,MID,False
"Ait Nouri  Rayan Ait Nouri (Wolverhampton Wanderers, Defender)",WOL,4.5,1,89,0,1,0,0,0,0,0,3,0,0,0,WHU,30,05/04/2021,DEF,True
"Coady  Conor Coady (Wolverhampton Wanderers, Defender)",WOL,4.5,1,90,0,0,0,0,0,0,0,3,0,0,0,WHU,30,05/04/2021,DEF,True
"Willian José  Willian José Da Silva (Wolverhampton Wanderers, Forward)",WOL,6.8,1,72,0,1,0,0,0,0,0,3,0,0,0,WHU,30,05/04/2021,FWD,True
"Dendoncker (Leander)  Leander Dendoncker (Wolverhampton Wanderers, Midfielder)",WOL,5.0,1,90,0,0,1,0,0,0,0,3,0,0,0,WHU,30,05/04/2021,MID,True
"Hoever  Ki-Jana Hoever (Wolverhampton Wanderers, Defender)",WOL,4.0,0,1,1,0,0,0,0,0,0,0,0,0,0,WHU,30,05/04/2021,DEF,True
"Vitor Ferreira  Vitor Machado Ferreira (Wolverhampton Wanderers, Midfielder)",WOL,4.7,0,18,1,0,0,0,0,0,0,0,0,0,0,WHU,30,05/04/2021,MID,True
"Neto  Pedro Neto (Wolverhampton Wanderers, Midfielder)",WOL,6.5,1,90,0,0,0,1,0,1,0,3,0,0,0,WHU,30,05/04/2021,MID,True
"Podence  Daniel Podence (Wolverhampton Wanderers, Midfielder)",WOL,5.5,1,45,0,1,0,0,0,0,0,3,0,0,0,WHU,30,05/04/2021,MID,True
"Saiss  Romain Saiss (Wolverhampton Wanderers, Defender)",WOL,5.0,1,90,0,0,0,0,0,0,0,3,0,0,0,WHU,30,05/04/2021,DEF,True
"Semedo  Nelson Semedo (Wolverhampton Wanderers, Defender)",WOL,5.0,1,90,0,0,0,0,0,0,0,3,0,0,0,WHU,30,05/04/2021,DEF,True
"Fabio Silva  Fabio Daniel Soares Silva (Wolverhampton Wanderers, Forward)",WOL,6.0,0,45,1,0,1,0,0,0,0,0,0,0,0,WHU,30,05/04/2021,FWD,True
"Traoré  Adama Traoré (Wolverhampton Wanderers, Midfielder)",WOL,6.0,1,90,0,0,0,1,0,1,0,3,0,0,0,WHU,30,05/04/2021,MID,True
"Ruben Neves  Rúben Diogo da Silva Neves (Wolverhampton Wanderers, Midfielder)",WOL,5.5,1,90,0,0,0,0,0,0,0,3,0,1,0,WHU,30,05/04/2021,MID,True
"Rui Patrício  Rui Pedro dos Santos Patrício (Wolverhampton Wanderers, Goalkeeper)",WOL,5.0,1,90,0,0,0,0,0,0,0,3,0,0,0,WHU,30,05/04/2021,GKP,True
