Name,Team,Cost,A,xA,Δ,Mins/xA,G,xG,Δ.1,Mins/xG,xGI,Δ.2,Mins/xGI,date
"Gudmundsson  Johann Berg Gudmundsson (Burnley, Midfielder)",BUR,5.5,0,0.06,-0.06,1483.3,0,0.0,0.0,inf,0.06,-0.06,1483.3,11/04/2021
"Brownhill  Josh Brownhill (Burnley, Midfielder)",BUR,4.5,0,0.03,-0.03,3000.0,0,0.2,-0.2,450.0,0.23,-0.23,391.3,11/04/2021
"Lowton  Matthew Lowton (Burnley, Defender)",BUR,4.5,0,0.04,-0.04,2250.0,0,0.06,-0.06,1500.0,0.1,-0.1,900.0,11/04/2021
"McNeil  Dwight McNeil (Burnley, Midfielder)",BUR,6.0,0,0.48,-0.48,187.5,0,0.11,-0.11,818.2,0.59,-0.59,152.5,11/04/2021
"Mee  Ben Mee (Burnley, Defender)",BUR,5.0,0,0.0,0.0,inf,0,0.33,-0.33,272.7,0.33,-0.33,272.7,11/04/2021
"Mumbongo  Joel Mumbongo (Burnley, Forward)",BUR,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,11/04/2021
"Peacock-Farrell  Bailey Peacock-Farrell (Burnley, Goalkeeper)",BUR,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,11/04/2021
"Pieters  Erik Pieters (Burnley, Defender)",BUR,4.5,0,0.32,-0.32,281.3,0,0.0,0.0,inf,0.32,-0.32,281.3,11/04/2021
"Tarkowski  James Tarkowski (Burnley, Defender)",BUR,5.0,0,0.29,-0.29,310.3,0,0.06,-0.06,1500.0,0.35,-0.35,257.1,11/04/2021
"Vydra  Matej Vydra (Burnley, Forward)",BUR,5.5,0,0.03,-0.03,3000.0,1,0.83,0.17,108.4,0.86,0.14,104.7,11/04/2021
"Westwood  Ashley Roy Westwood (Burnley, Midfielder)",BUR,5.5,0,0.2,-0.2,450.0,0,0.08,-0.08,1125.0,0.28,-0.28,321.4,11/04/2021
"Wood  Chris Wood (Burnley, Forward)",BUR,7.0,1,0.28,0.72,321.4,0,0.35,-0.35,257.1,0.63,0.37,142.9,11/04/2021
"Almirón  Miguel Almirón (Newcastle United, Midfielder)",NEW,5.5,0,0.01,-0.01,8900.0,0,0.28,-0.28,317.9,0.29,-0.29,306.9,11/04/2021
"Joelinton  Joelinton Cássio Apolinário de Lira (Newcastle United, Forward)",NEW,6.0,0,0.01,-0.01,5700.0,0,0.16,-0.16,356.3,0.17,-0.17,335.3,11/04/2021
"Clark  Ciaran Clark (Newcastle United, Defender)",NEW,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,11/04/2021
"Dubravka  Martin Dubravka (Newcastle United, Goalkeeper)",NEW,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,11/04/2021
"Dummett  Paul Dummett (Newcastle United, Defender)",NEW,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,11/04/2021
"Fernández  Federico Fernández (Newcastle United, Defender)",NEW,4.5,0,0.08,-0.08,1125.0,0,0.0,0.0,inf,0.08,-0.08,1125.0,11/04/2021
"Gayle  Dwight Gayle (Newcastle United, Forward)",NEW,5.5,0,0.0,0.0,inf,0,0.63,-0.63,90.5,0.63,-0.63,90.5,11/04/2021
"Hendrick  Jeff Hendrick (Newcastle United, Midfielder)",NEW,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,11/04/2021
"Longstaff (Sean)  Sean Longstaff (Newcastle United, Midfielder)",NEW,4.5,0,0.01,-0.01,9000.0,0,0.1,-0.1,900.0,0.11,-0.11,818.2,11/04/2021
"Jacob Murphy  Jacob Murphy (Newcastle United, Midfielder)",NEW,5.0,0,0.53,-0.53,169.8,1,0.05,0.95,1800.0,0.58,0.42,155.2,11/04/2021
"Ritchie  Matt Ritchie (Newcastle United, Midfielder)",NEW,5.0,0,0.13,-0.13,692.3,0,0.0,0.0,inf,0.13,-0.13,692.3,11/04/2021
"Saint-Maximin  Allan Saint-Maximin (Newcastle United, Midfielder)",NEW,6.5,1,0.09,0.91,366.7,1,0.09,0.91,366.7,0.18,1.82,183.3,11/04/2021
"Shelvey  Jonjo Shelvey (Newcastle United, Midfielder)",NEW,5.5,1,0.05,0.95,1800.0,0,0.0,0.0,inf,0.05,0.95,1800.0,11/04/2021
"C Wilson  Callum Wilson (Newcastle United, Forward)",NEW,7.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,11/04/2021
