Name,Team,Cost,Starts,Mins,On,Off,G,A,FA,TA,CS,GC,OG,PL YC,PL RC,Vs,GW,date,Position,Home
"Alioski  Ezgjan Alioski (Leeds United, Defender)",LEE,4.4,1,90,0,0,0,1,0,1,0,1,0,1,0,MCI,31,10/04/2021,DEF,False
"Ayling  Luke Ayling (Leeds United, Defender)",LEE,4.5,1,90,0,0,0,0,0,0,0,1,0,0,0,MCI,31,10/04/2021,DEF,False
"Bamford  Patrick Bamford (Leeds United, Forward)",LEE,8.0,1,48,0,1,0,1,0,1,0,0,0,0,0,MCI,31,10/04/2021,FWD,False
"Cooper  Liam Cooper (Leeds United, Defender)",LEE,4.5,1,46,0,0,0,0,0,0,0,0,0,0,1,MCI,31,10/04/2021,DEF,False
"Hélder Costa  Helder Costa (Leeds United, Midfielder)",LEE,5.5,1,90,0,0,0,0,0,0,0,1,0,0,0,MCI,31,10/04/2021,MID,False
"Dallas  Stuart Dallas (Leeds United, Defender)",LEE,5.5,1,90,0,0,2,0,0,0,0,1,0,0,0,MCI,31,10/04/2021,DEF,False
"Raphinha  Raphael Dias Belloli (Leeds United, Midfielder)",LEE,6.5,1,89,0,1,0,0,0,0,0,1,0,0,0,MCI,31,10/04/2021,MID,False
"Koch  Robin Koch (Leeds United, Defender)",LEE,4.5,0,27,1,0,0,0,0,0,0,1,0,0,0,MCI,31,10/04/2021,DEF,False
"Diego Llorente  Diego Javier Llorente Ríos (Leeds United, Defender)",LEE,4.5,1,90,0,0,0,0,0,0,0,1,0,0,0,MCI,31,10/04/2021,DEF,False
"Meslier  Illan Meslier (Leeds United, Goalkeeper)",LEE,5.0,1,90,0,0,0,0,0,0,0,1,0,0,0,MCI,31,10/04/2021,GKP,False
"Phillips (Kalvin)  Kalvin Phillips (Leeds United, Midfielder)",LEE,5.0,1,90,0,0,0,0,0,0,0,1,0,0,0,MCI,31,10/04/2021,MID,False
"Roberts (Tyler)  Tyler Roberts (Leeds United, Midfielder)",LEE,5.0,1,63,0,1,0,0,0,0,1,0,0,0,0,MCI,31,10/04/2021,MID,False
"Shackleton  Jamie Shackleton (Leeds United, Midfielder)",LEE,4.5,0,1,1,0,0,0,0,0,0,0,0,0,0,MCI,31,10/04/2021,MID,False
"Struijk  Pascal Struijk (Leeds United, Defender)",LEE,4.5,0,42,1,0,0,0,0,0,0,1,0,0,0,MCI,31,10/04/2021,DEF,False
"Aké  Nathan Aké (Manchester City, Defender)",MCI,5.0,1,58,0,1,0,0,0,0,0,1,0,1,0,LEE,31,10/04/2021,DEF,True
"João Cancelo  João Pedro Cavaco Cancelo (Manchester City, Defender)",MCI,6.0,1,90,0,0,0,0,0,0,0,2,0,0,0,LEE,31,10/04/2021,DEF,True
"Foden  Phil Foden (Manchester City, Midfielder)",MCI,8.0,0,16,1,0,0,0,0,0,0,1,0,0,0,LEE,31,10/04/2021,MID,True
"Gündogan  Ilkay Gündogan (Manchester City, Midfielder)",MCI,7.5,0,32,1,0,0,0,0,0,0,1,0,0,0,LEE,31,10/04/2021,MID,True
"Fernandinho  Fernando Luiz Rosa (Manchester City, Defender)",MCI,5.0,1,90,0,0,0,0,0,0,0,2,0,1,0,LEE,31,10/04/2021,DEF,True
"Mendy (Benjamin)  Benjamin Mendy (Manchester City, Defender)",MCI,5.5,1,74,0,1,0,0,0,0,0,1,0,0,0,LEE,31,10/04/2021,DEF,True
"Ederson  Ederson Santana de Moraes (Manchester City, Goalkeeper)",MCI,6.0,1,90,0,0,0,0,0,0,0,2,0,0,0,LEE,31,10/04/2021,GKP,True
"Sterling  Raheem Sterling (Manchester City, Midfielder)",MCI,11.0,1,90,0,0,0,0,0,0,0,2,0,0,0,LEE,31,10/04/2021,MID,True
"Stones  John Stones (Manchester City, Defender)",MCI,5.5,1,90,0,0,0,0,0,0,0,2,0,0,0,LEE,31,10/04/2021,DEF,True
"Torres  Ferran Torres (Manchester City, Midfielder)",MCI,7.0,1,90,0,0,1,0,0,0,0,2,0,0,0,LEE,31,10/04/2021,MID,True
"Bernardo Silva  Bernardo Mota Veiga de Carvalho e Silva (Manchester City, Midfielder)",MCI,7.0,1,90,0,0,0,1,0,1,0,2,0,1,0,LEE,31,10/04/2021,MID,True
"Zinchenko  Oleksandr Zinchenko (Manchester City, Defender)",MCI,5.5,1,90,0,0,0,0,0,0,0,2,0,0,0,LEE,31,10/04/2021,DEF,True
"Jesus  Gabriel Fernando de Jesus (Manchester City, Forward)",MCI,8.5,1,90,0,0,0,0,0,0,0,2,0,0,0,LEE,31,10/04/2021,FWD,True
