Name,Team,Cost,Starts,Mins,On,Off,G,A,FA,TA,CS,GC,OG,PL YC,PL RC,Vs,GW,date,Position,Home
"Barkley  Ross Barkley (Aston Villa, Midfielder)",AVL,5.5,0,27,1,0,0,0,0,0,0,0,0,0,0,MCI,32,21/04/2021,MID,True
"Cash  Matthew Cash (Aston Villa, Defender)",AVL,5.0,1,57,0,0,0,0,0,0,0,2,0,0,1,MCI,32,21/04/2021,DEF,True
"Davis (Keinan)  Keinan Davis (Aston Villa, Forward)",AVL,4.5,0,45,1,0,0,0,0,0,0,0,0,0,0,MCI,32,21/04/2021,FWD,True
"El Ghazi  Anwar El Ghazi (Aston Villa, Midfielder)",AVL,6.0,0,15,1,0,0,0,0,0,0,0,0,0,0,MCI,32,21/04/2021,MID,True
"Konsa Ngoyo  Ezri Konsa Ngoyo (Aston Villa, Defender)",AVL,5.0,1,90,0,0,0,0,0,0,0,2,0,0,0,MCI,32,21/04/2021,DEF,True
"Martinez  Emiliano Martinez (Aston Villa, Goalkeeper)",AVL,5.5,1,90,0,0,0,0,0,0,0,2,0,0,0,MCI,32,21/04/2021,GKP,True
"McGinn  John McGinn (Aston Villa, Midfielder)",AVL,6.0,1,90,0,0,1,0,0,0,0,2,0,0,0,MCI,32,21/04/2021,MID,True
"Mings  Tyrone Mings (Aston Villa, Defender)",AVL,5.0,1,90,0,0,0,0,0,0,0,2,0,0,0,MCI,32,21/04/2021,DEF,True
"Nakamba  Marvelous Nakamba (Aston Villa, Midfielder)",AVL,4.5,1,63,0,1,0,0,0,0,0,2,0,0,0,MCI,32,21/04/2021,MID,True
"Jacob Ramsey  Jacob Ramsey (Aston Villa, Midfielder)",AVL,4.5,1,45,0,1,0,0,0,0,0,2,0,0,0,MCI,32,21/04/2021,MID,True
"Douglas Luiz  Douglas Luiz Soares de Paulo (Aston Villa, Midfielder)",AVL,4.5,1,90,0,0,0,0,0,0,0,2,0,0,0,MCI,32,21/04/2021,MID,True
"Targett  Matt Targett (Aston Villa, Defender)",AVL,5.0,1,90,0,0,0,0,0,0,0,2,0,0,0,MCI,32,21/04/2021,DEF,True
"Traore (Bertrand)  Bertrand Traore (Aston Villa, Midfielder)",AVL,6.0,1,75,0,1,0,0,0,0,0,2,0,0,0,MCI,32,21/04/2021,MID,True
"Watkins  Ollie Watkins (Aston Villa, Forward)",AVL,7.5,1,90,0,0,0,1,0,1,0,2,0,0,0,MCI,32,21/04/2021,FWD,True
"Foden  Phil Foden (Manchester City, Midfielder)",MCI,8.0,1,90,0,0,1,0,0,0,0,1,0,0,0,AVL,32,21/04/2021,MID,False
"Rúben Dias  Rúben Santos Gato Alves Dias (Manchester City, Defender)",MCI,6.0,1,90,0,0,0,0,0,0,0,1,0,0,0,AVL,32,21/04/2021,DEF,False
"Gündogan  Ilkay Gündogan (Manchester City, Midfielder)",MCI,7.5,1,90,0,0,0,0,0,0,0,1,0,1,0,AVL,32,21/04/2021,MID,False
"Rodri  Rodrigo Hernández Cascante (Manchester City, Midfielder)",MCI,5.5,1,90,0,0,1,0,0,0,0,1,0,0,0,AVL,32,21/04/2021,MID,False
"Laporte  Aymeric Laporte (Manchester City, Defender)",MCI,5.5,0,45,1,0,0,0,0,0,0,0,0,0,0,AVL,32,21/04/2021,DEF,False
"Fernandinho  Fernando Luiz Rosa (Manchester City, Defender)",MCI,5.0,0,1,1,0,0,0,0,0,0,0,0,0,0,AVL,32,21/04/2021,DEF,False
"Mahrez  Riyad Mahrez (Manchester City, Midfielder)",MCI,9.0,1,89,0,1,0,0,0,0,0,1,0,0,0,AVL,32,21/04/2021,MID,False
"Ederson  Ederson Santana de Moraes (Manchester City, Goalkeeper)",MCI,6.0,1,90,0,0,0,0,0,0,0,1,0,0,0,AVL,32,21/04/2021,GKP,False
"Stones  John Stones (Manchester City, Defender)",MCI,5.5,1,44,0,0,0,0,0,0,0,1,0,0,1,AVL,32,21/04/2021,DEF,False
"Bernardo Silva  Bernardo Mota Veiga de Carvalho e Silva (Manchester City, Midfielder)",MCI,7.0,1,90,0,0,0,2,0,2,0,1,0,0,0,AVL,32,21/04/2021,MID,False
"Walker (Kyle)  Kyle Walker (Manchester City, Defender)",MCI,5.5,1,90,0,0,0,0,0,0,0,1,0,0,0,AVL,32,21/04/2021,DEF,False
"Zinchenko  Oleksandr Zinchenko (Manchester City, Defender)",MCI,5.5,1,90,0,0,0,0,0,0,0,1,0,0,0,AVL,32,21/04/2021,DEF,False
"Jesus  Gabriel Fernando de Jesus (Manchester City, Forward)",MCI,8.5,1,45,0,1,0,0,0,0,0,1,0,0,0,AVL,32,21/04/2021,FWD,False
