Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Alioski  Ezgjan Alioski (Leeds United, Defender)",LEE,4.4,79,5,4,2,2,0,0,0,0,11,11,7.2,19/04/2021
"Ayling  Luke Ayling (Leeds United, Defender)",LEE,4.5,90,8,3,0,4,1,1,2,1,17,17,5.3,19/04/2021
"Bamford  Patrick Bamford (Leeds United, Forward)",LEE,8.0,90,2,2,0,0,0,0,0,1,-6,-6,0.0,19/04/2021
"Hélder Costa  Helder Costa (Leeds United, Midfielder)",LEE,5.5,67,5,0,1,0,0,0,0,2,6,6,11.2,19/04/2021
"Dallas  Stuart Dallas (Leeds United, Defender)",LEE,5.5,90,6,4,0,4,0,0,0,0,10,10,9.0,19/04/2021
"Harrison  Jack Harrison (Leeds United, Midfielder)",LEE,6.0,90,3,0,1,0,0,1,4,2,21,12,7.5,19/04/2021
"Hernández  Pablo Hernández (Leeds United, Midfielder)",LEE,5.5,4,0,0,0,0,0,0,0,0,3,3,1.3,19/04/2021
"Klich  Mateusz Klich (Leeds United, Midfielder)",LEE,5.5,11,0,1,0,0,0,0,0,0,3,3,3.7,19/04/2021
"Diego Llorente  Diego Javier Llorente Ríos (Leeds United, Defender)",LEE,4.5,90,8,6,0,6,0,0,0,2,29,17,5.3,19/04/2021
"Meslier  Illan Meslier (Leeds United, Goalkeeper)",LEE,5.0,90,8,1,0,4,0,0,0,0,24,24,3.8,19/04/2021
"Phillips (Kalvin)  Kalvin Phillips (Leeds United, Midfielder)",LEE,5.0,90,6,2,0,4,0,1,2,1,16,16,5.6,19/04/2021
"Poveda-Ocampo  Ian Carlo Poveda-Ocampo (Leeds United, Midfielder)",LEE,4.5,23,2,0,1,0,0,1,1,1,6,6,3.8,19/04/2021
"Roberts (Tyler)  Tyler Roberts (Leeds United, Midfielder)",LEE,5.0,86,4,0,0,0,0,1,1,2,8,8,10.8,19/04/2021
"Struijk  Pascal Struijk (Leeds United, Defender)",LEE,4.5,90,5,7,0,6,0,0,0,0,16,16,5.6,19/04/2021
"Thiago Alcántara  Thiago Alcántara do Nascimento (Liverpool, Midfielder)",LIV,5.5,90,6,2,0,6,0,0,3,0,14,14,6.4,19/04/2021
"Alexander-Arnold  Trent Alexander-Arnold (Liverpool, Defender)",LIV,7.5,90,7,11,2,0,1,1,2,0,31,22,4.1,19/04/2021
"Firmino  Roberto Firmino Barbosa de Oliveira (Liverpool, Forward)",LIV,9.0,90,1,2,1,0,0,0,2,0,3,3,30.0,19/04/2021
"Kabak  Ozan Kabak (Liverpool, Defender)",LIV,5.0,90,5,6,0,4,0,0,1,1,12,12,7.5,19/04/2021
"Mane  Sadio Mane (Liverpool, Midfielder)",LIV,12.0,71,5,0,0,0,0,0,1,2,23,5,14.2,19/04/2021
"Milner  James Milner (Liverpool, Midfielder)",LIV,5.0,90,1,4,0,0,0,0,0,1,2,2,45.0,19/04/2021
"Oxlade-Chamberlain  Alex Oxlade-Chamberlain (Liverpool, Midfielder)",LIV,6.0,9,0,0,0,0,0,0,0,0,0,0,0.0,19/04/2021
"Alisson  Alisson Ramses Becker (Liverpool, Goalkeeper)",LIV,6.0,90,11,0,0,0,0,0,0,0,17,17,5.3,19/04/2021
"Robertson  Andrew Robertson (Liverpool, Defender)",LIV,7.0,90,6,8,0,2,0,0,2,0,13,13,6.9,19/04/2021
"Salah  Mohamed Salah (Liverpool, Midfielder)",LIV,12.5,19,3,1,0,0,0,0,0,0,2,2,9.5,19/04/2021
"Fabinho  Fabio Henrique Tavares (Liverpool, Midfielder)",LIV,5.5,90,7,5,1,2,0,0,0,0,13,13,6.9,19/04/2021
"Diogo Jota  Diogo José Teixeira da Silva (Liverpool, Midfielder)",LIV,7.5,81,8,0,0,0,0,0,2,3,-1,-1,0.0,19/04/2021
"Wijnaldum  Georginio Wijnaldum (Liverpool, Midfielder)",LIV,5.3,90,3,2,1,0,0,0,0,0,7,7,12.9,19/04/2021
