Name,Team,Cost,A,xA,Δ,Mins/xA,G,xG,Δ.1,Mins/xG,xGI,Δ.2,Mins/xGI,date
"Almirón  Miguel Almirón (Newcastle United, Midfielder)",NEW,5.5,0,0.04,-0.04,2250.0,0,0.07,-0.07,1285.7,0.11,-0.11,818.2,17/04/2021
"Joelinton  Joelinton Cássio Apolinário de Lira (Newcastle United, Forward)",NEW,6.0,0,0.01,-0.01,8900.0,1,0.97,0.03,91.8,0.98,0.02,90.8,17/04/2021
"Carroll  Andy Carroll (Newcastle United, Forward)",NEW,5.1,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,17/04/2021
"Clark  Ciaran Clark (Newcastle United, Defender)",NEW,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,17/04/2021
"Dubravka  Martin Dubravka (Newcastle United, Goalkeeper)",NEW,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,17/04/2021
"Dummett  Paul Dummett (Newcastle United, Defender)",NEW,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,17/04/2021
"Fernández  Federico Fernández (Newcastle United, Defender)",NEW,4.5,0,0.0,0.0,inf,0,0.05,-0.05,1800.0,0.05,-0.05,1800.0,17/04/2021
"Longstaff (Sean)  Sean Longstaff (Newcastle United, Midfielder)",NEW,4.5,0,0.0,0.0,inf,0,0.05,-0.05,1600.0,0.05,-0.05,1600.0,17/04/2021
"Jacob Murphy  Jacob Murphy (Newcastle United, Midfielder)",NEW,5.0,0,0.0,0.0,inf,0,0.39,-0.39,230.8,0.39,-0.39,230.8,17/04/2021
"Ritchie  Matt Ritchie (Newcastle United, Midfielder)",NEW,5.0,1,0.12,0.88,750.0,0,0.0,0.0,inf,0.12,0.88,750.0,17/04/2021
"Saint-Maximin  Allan Saint-Maximin (Newcastle United, Midfielder)",NEW,6.5,0,0.01,-0.01,6400.0,0,0.64,-0.64,100.0,0.65,-0.65,98.5,17/04/2021
"Shelvey  Jonjo Shelvey (Newcastle United, Midfielder)",NEW,5.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,17/04/2021
"Willock  Joseph Willock (Newcastle United, Midfielder)",NEW,6.0,0,0.01,-0.01,1000.0,1,0.06,0.94,166.7,0.07,0.93,142.9,17/04/2021
"C Wilson  Callum Wilson (Newcastle United, Forward)",NEW,7.5,0,0.23,-0.23,113.0,0,0.04,-0.04,650.0,0.27,-0.27,96.3,17/04/2021
"Benrahma  Said Benrahma (West Ham United, Midfielder)",WHU,6.0,0,0.0,0.0,inf,0,0.04,-0.04,375.0,0.04,-0.04,375.0,17/04/2021
"Bowen  Jarrod Bowen (West Ham United, Midfielder)",WHU,6.5,1,0.2,0.8,450.0,0,0.24,-0.24,375.0,0.44,0.56,204.5,17/04/2021
"Coufal  Vladimir Coufal (West Ham United, Defender)",WHU,5.0,0,0.02,-0.02,4500.0,0,0.22,-0.22,409.1,0.24,-0.24,375.0,17/04/2021
"Dawson  Craig Dawson (West Ham United, Defender)",WHU,5.0,0,0.0,0.0,inf,0,0.05,-0.05,720.0,0.05,-0.05,720.0,17/04/2021
"Diop  Issa Diop (West Ham United, Defender)",WHU,4.5,0,0.01,-0.01,9000.0,1,0.25,0.75,360.0,0.26,0.74,346.2,17/04/2021
"Fabianski  Lukasz Fabianski (West Ham United, Goalkeeper)",WHU,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,17/04/2021
"Fornals  Pablo Fornals (West Ham United, Midfielder)",WHU,6.0,0,0.04,-0.04,2250.0,0,0.06,-0.06,1500.0,0.1,-0.1,900.0,17/04/2021
"Fredericks  Ryan Fredericks (West Ham United, Defender)",WHU,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,17/04/2021
"Johnson (Ben)  Ben Johnson (West Ham United, Defender)",WHU,4.0,0,0.36,-0.36,247.2,0,0.04,-0.04,2225.0,0.4,-0.4,222.5,17/04/2021
"Lanzini  Manuel Lanzini (West Ham United, Midfielder)",WHU,6.0,0,0.03,-0.03,100.0,0,0.0,0.0,inf,0.03,-0.03,100.0,17/04/2021
"Lingard  Jesse Lingard (West Ham United, Midfielder)",WHU,7.0,0,0.03,-0.03,2900.0,1,0.87,0.13,100.0,0.9,0.1,96.7,17/04/2021
"Noble  Mark Noble (West Ham United, Midfielder)",WHU,4.5,0,0.08,-0.08,937.5,0,0.04,-0.04,1875.0,0.12,-0.12,625.0,17/04/2021
"Ogbonna  Angelo Ogbonna (West Ham United, Defender)",WHU,5.0,0,0.01,-0.01,9000.0,0,0.14,-0.14,642.9,0.15,-0.15,600.0,17/04/2021
"Soucek  Tomas Soucek (West Ham United, Midfielder)",WHU,6.0,0,0.02,-0.02,4500.0,0,0.0,0.0,inf,0.02,-0.02,4500.0,17/04/2021
