Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Barkley  Ross Barkley (Aston Villa, Midfielder)",AVL,5.5,82,2,0,0,6,0,0,3,2,23,14,5.9,25/04/2021
"Davis (Keinan)  Keinan Davis (Aston Villa, Forward)",AVL,4.5,8,0,0,0,0,0,0,0,1,27,3,2.7,25/04/2021
"El Ghazi  Anwar El Ghazi (Aston Villa, Midfielder)",AVL,6.0,90,5,1,0,2,2,0,2,0,29,11,8.2,25/04/2021
"Elmohamady  Ahmed Elmohamady (Aston Villa, Defender)",AVL,4.2,90,6,1,2,4,2,0,3,1,20,20,4.5,25/04/2021
"Konsa Ngoyo  Ezri Konsa Ngoyo (Aston Villa, Defender)",AVL,5.0,90,13,8,0,4,0,0,0,1,11,11,8.2,25/04/2021
"Martinez  Emiliano Martinez (Aston Villa, Goalkeeper)",AVL,5.5,90,8,1,0,0,0,0,0,0,14,14,6.4,25/04/2021
"McGinn  John McGinn (Aston Villa, Midfielder)",AVL,6.0,90,9,1,0,4,1,1,2,0,14,14,6.4,25/04/2021
"Mings  Tyrone Mings (Aston Villa, Defender)",AVL,5.0,90,7,3,0,2,0,0,1,0,3,3,30.0,25/04/2021
"Wesley  Wesley Moraes Ferreira da Silva (Aston Villa, Forward)",AVL,5.5,1,0,0,0,0,0,0,0,0,3,3,0.3,25/04/2021
"Jacob Ramsey  Jacob Ramsey (Aston Villa, Midfielder)",AVL,4.5,12,2,0,0,0,0,0,0,1,2,2,6.0,25/04/2021
"Douglas Luiz  Douglas Luiz Soares de Paulo (Aston Villa, Midfielder)",AVL,4.5,78,6,2,0,4,0,0,0,1,11,11,7.1,25/04/2021
"Targett  Matt Targett (Aston Villa, Defender)",AVL,5.0,90,5,4,0,6,2,0,4,1,21,21,4.3,25/04/2021
"Traore (Bertrand)  Bertrand Traore (Aston Villa, Midfielder)",AVL,6.0,89,4,0,0,0,0,0,3,1,7,7,12.7,25/04/2021
"Watkins  Ollie Watkins (Aston Villa, Forward)",AVL,7.5,90,1,1,0,4,0,0,2,1,15,6,15.0,25/04/2021
"Ajayi  Semi Ajayi (West Bromwich Albion, Defender)",WBA,4.8,90,2,7,0,0,0,0,0,0,3,3,30.0,25/04/2021
"Bartley  Kyle Bartley (West Bromwich Albion, Defender)",WBA,4.4,90,3,7,0,0,0,0,0,0,6,6,15.0,25/04/2021
"Matheus Pereira  Matheus Fellipe Costa Pereira (West Bromwich Albion, Midfielder)",WBA,5.4,90,7,0,1,0,0,1,3,2,32,14,6.4,25/04/2021
"Diagne  Mbaye Diagne (West Bromwich Albion, Forward)",WBA,6.0,90,2,2,0,0,1,0,0,1,8,-1,0.0,25/04/2021
"Furlong  Darnell Furlong (West Bromwich Albion, Defender)",WBA,4.5,90,5,7,0,0,0,0,0,1,11,11,8.2,25/04/2021
"Gallagher  Conor Gallagher (West Bromwich Albion, Midfielder)",WBA,5.5,90,7,1,0,0,0,0,0,0,1,1,90.0,25/04/2021
"Johnstone  Sam Johnstone (West Bromwich Albion, Goalkeeper)",WBA,4.6,90,15,0,0,0,0,0,0,0,29,29,3.1,25/04/2021
"Maitland-Niles  Ainsley Maitland-Niles (West Bromwich Albion, Defender)",WBA,5.5,86,5,3,0,0,0,0,0,1,15,6,14.3,25/04/2021
"O'Shea  Dara O&#039;Shea (West Bromwich Albion, Defender)",WBA,4.2,4,0,0,0,0,0,0,0,0,3,3,1.3,25/04/2021
"Phillips (Matthew)  Matthew Phillips (West Bromwich Albion, Midfielder)",WBA,5.1,23,1,0,0,0,0,0,1,0,4,4,5.8,25/04/2021
"Robinson (Callum)  Callum Robinson (West Bromwich Albion, Forward)",WBA,5.2,67,2,0,0,0,0,0,0,0,5,5,13.4,25/04/2021
"Townsend (Conor)  Conor Townsend (West Bromwich Albion, Defender)",WBA,4.4,90,8,7,2,0,0,0,1,0,16,16,5.6,25/04/2021
"Yokuslu  Okay Yokuslu (West Bromwich Albion, Midfielder)",WBA,4.5,90,11,8,0,2,0,0,0,1,7,7,12.9,25/04/2021
