Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Jordan Ayew  Jordan Ayew (Crystal Palace, Forward)",CRY,6.0,78,2,1,1,0,0,0,0,1,0,0,0.0,26/04/2021
"Benteke  Christian Benteke (Crystal Palace, Forward)",CRY,6.5,90,3,0,2,0,0,0,0,0,8,8,11.3,26/04/2021
"Dann  Scott Dann (Crystal Palace, Defender)",CRY,4.2,90,3,4,0,0,0,0,0,0,9,9,10.0,26/04/2021
"Eze  Eberechi Eze (Crystal Palace, Midfielder)",CRY,6.0,90,7,3,0,4,0,1,3,1,27,18,5.0,26/04/2021
"Guaita  Vicente Guaita (Crystal Palace, Goalkeeper)",CRY,4.5,90,10,0,0,0,0,0,0,0,15,15,6.0,26/04/2021
"Kouyaté  Cheikhou Kouyaté (Crystal Palace, Midfielder)",CRY,4.5,90,3,6,1,0,0,0,0,1,12,12,7.5,26/04/2021
"McCarthy (James)  James McCarthy (Crystal Palace, Midfielder)",CRY,4.3,7,2,0,0,0,0,0,0,0,3,3,2.3,26/04/2021
"Milivojevic  Luka Milivojevic (Crystal Palace, Midfielder)",CRY,5.5,83,10,5,0,2,0,0,0,0,11,11,7.5,26/04/2021
"Riedewald  Jairo Riedewald (Crystal Palace, Midfielder)",CRY,5.0,85,2,4,1,0,0,1,1,0,4,4,21.3,26/04/2021
"Schlupp  Jeffrey Schlupp (Crystal Palace, Midfielder)",CRY,5.5,5,0,0,0,0,0,0,0,0,1,1,5.0,26/04/2021
"Townsend (Andros)  Andros Townsend (Crystal Palace, Midfielder)",CRY,5.5,12,0,0,0,0,0,0,0,0,3,3,4.0,26/04/2021
"Van Aanholt  Patrick Van Aanholt (Crystal Palace, Defender)",CRY,5.4,90,5,6,0,0,0,0,0,0,10,10,9.0,26/04/2021
"Ward (Joel)  Joel Ward (Crystal Palace, Defender)",CRY,4.5,90,6,4,0,0,0,0,0,0,7,7,12.9,26/04/2021
"Zaha  Wilfried Zaha (Crystal Palace, Midfielder)",CRY,7.0,90,3,1,1,0,0,0,1,1,20,2,45.0,26/04/2021
"Albrighton  Marc Albrighton (Leicester City, Midfielder)",LEI,5.5,20,1,0,0,0,0,0,0,0,3,3,6.7,26/04/2021
"Castagne  Timothy Castagne (Leicester City, Defender)",LEI,5.5,90,3,3,2,4,0,0,0,0,24,12,7.5,26/04/2021
"Evans  Jonny Evans (Leicester City, Defender)",LEI,5.5,90,4,4,0,4,0,0,3,0,23,14,6.4,26/04/2021
"Fofana  Wesley Fofana (Leicester City, Defender)",LEI,4.5,90,7,2,0,4,0,0,0,1,10,10,9.0,26/04/2021
"Iheanacho  Kelechi Iheanacho (Leicester City, Forward)",LEI,7.5,90,3,0,0,0,1,2,4,1,51,15,6.0,26/04/2021
"Maddison  James Maddison (Leicester City, Midfielder)",LEI,7.0,70,3,0,0,6,0,0,1,0,11,11,6.4,26/04/2021
"Ndidi  Onyinye Wilfred Ndidi (Leicester City, Midfielder)",LEI,5.0,90,8,5,0,4,0,0,0,2,15,15,6.0,26/04/2021
"Ayoze Pérez  Ayoze Pérez Gutiérrez (Leicester City, Midfielder)",LEI,6.0,20,2,0,0,0,0,0,0,0,1,1,20.0,26/04/2021
"Schmeichel  Kasper Schmeichel (Leicester City, Goalkeeper)",LEI,5.0,90,8,1,0,0,0,0,0,0,10,10,9.0,26/04/2021
"Söyüncü  Caglar Söyüncü (Leicester City, Defender)",LEI,5.0,90,7,6,0,6,0,0,0,0,14,14,6.4,26/04/2021
"Thomas (Luke)  Luke Thomas (Leicester City, Defender)",LEI,4.5,70,3,0,2,2,0,0,1,0,12,12,5.8,26/04/2021
"Tielemans  Youri Tielemans (Leicester City, Midfielder)",LEI,6.5,90,6,2,2,2,1,0,2,0,14,14,6.4,26/04/2021
"Vardy  Jamie Vardy (Leicester City, Forward)",LEI,10.5,90,3,1,0,0,0,0,0,3,2,2,45.0,26/04/2021
