Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Thiago Alcántara  Thiago Alcántara do Nascimento (Liverpool, Midfielder)",LIV,5.5,77,5,0,2,6,0,0,2,1,19,19,4.1,24/04/2021
"Alexander-Arnold  Trent Alexander-Arnold (Liverpool, Defender)",LIV,7.5,90,5,2,0,4,3,0,2,0,14,14,6.4,24/04/2021
"Firmino  Roberto Firmino Barbosa de Oliveira (Liverpool, Forward)",LIV,9.0,90,4,2,0,4,0,1,2,3,12,12,7.5,24/04/2021
"Jones (Curtis)  Curtis Jones (Liverpool, Midfielder)",LIV,5.0,13,1,0,0,0,0,0,0,0,3,3,4.3,24/04/2021
"Kabak  Ozan Kabak (Liverpool, Defender)",LIV,5.0,90,8,7,0,6,0,0,0,0,12,12,7.5,24/04/2021
"Mane  Sadio Mane (Liverpool, Midfielder)",LIV,12.0,90,6,0,0,4,0,1,3,2,8,8,11.3,24/04/2021
"Milner  James Milner (Liverpool, Midfielder)",LIV,5.0,32,2,1,0,4,1,0,0,0,7,7,4.6,24/04/2021
"Alisson  Alisson Ramses Becker (Liverpool, Goalkeeper)",LIV,6.0,90,11,0,0,6,0,0,0,0,21,21,4.3,24/04/2021
"Robertson  Andrew Robertson (Liverpool, Defender)",LIV,7.0,90,7,4,1,6,2,0,3,1,23,23,3.9,24/04/2021
"Salah  Mohamed Salah (Liverpool, Midfielder)",LIV,12.5,90,1,0,0,4,0,1,4,0,24,6,15.0,24/04/2021
"Fabinho  Fabio Henrique Tavares (Liverpool, Midfielder)",LIV,5.5,90,7,5,0,6,0,0,0,1,13,13,6.9,24/04/2021
"Diogo Jota  Diogo José Teixeira da Silva (Liverpool, Midfielder)",LIV,7.5,58,2,0,1,0,0,0,1,1,-2,-2,0.0,24/04/2021
"Wijnaldum  Georginio Wijnaldum (Liverpool, Midfielder)",LIV,5.3,90,7,3,0,6,0,0,0,1,16,16,5.6,24/04/2021
"Almirón  Miguel Almirón (Newcastle United, Midfielder)",NEW,5.5,85,6,1,0,0,0,0,0,1,4,4,21.3,24/04/2021
"Joelinton  Joelinton Cássio Apolinário de Lira (Newcastle United, Forward)",NEW,6.0,60,2,1,0,0,0,0,0,0,1,1,60.0,24/04/2021
"Clark  Ciaran Clark (Newcastle United, Defender)",NEW,4.5,64,3,3,0,0,0,0,0,0,7,7,9.1,24/04/2021
"Dubravka  Martin Dubravka (Newcastle United, Goalkeeper)",NEW,4.5,90,16,0,0,2,0,0,0,0,29,29,3.1,24/04/2021
"Dummett  Paul Dummett (Newcastle United, Defender)",NEW,4.5,90,1,7,0,0,1,0,0,0,10,10,9.0,24/04/2021
"Fernández  Federico Fernández (Newcastle United, Defender)",NEW,4.5,90,6,9,0,2,0,0,0,0,11,11,8.2,24/04/2021
"Gayle  Dwight Gayle (Newcastle United, Forward)",NEW,5.5,5,0,0,0,0,0,0,1,0,13,4,1.3,24/04/2021
"Longstaff (Sean)  Sean Longstaff (Newcastle United, Midfielder)",NEW,4.5,90,3,3,0,4,0,0,0,0,5,5,18.0,24/04/2021
"Jacob Murphy  Jacob Murphy (Newcastle United, Midfielder)",NEW,5.0,90,9,3,0,4,0,0,1,2,16,16,5.6,24/04/2021
"Ritchie  Matt Ritchie (Newcastle United, Midfielder)",NEW,5.0,90,3,2,0,0,1,0,1,2,11,11,8.2,24/04/2021
"Saint-Maximin  Allan Saint-Maximin (Newcastle United, Midfielder)",NEW,6.5,90,7,0,1,0,1,1,1,8,11,11,8.2,24/04/2021
"Shelvey  Jonjo Shelvey (Newcastle United, Midfielder)",NEW,5.5,90,9,1,0,2,0,1,2,0,14,14,6.4,24/04/2021
"Willock  Joseph Willock (Newcastle United, Midfielder)",NEW,6.0,26,1,1,0,0,0,0,0,1,21,3,8.7,24/04/2021
"C Wilson  Callum Wilson (Newcastle United, Forward)",NEW,7.5,30,0,0,0,0,0,0,0,0,-6,-6,0.0,24/04/2021
