Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Brownhill  Josh Brownhill (Burnley, Midfielder)",BUR,4.5,90,5,1,2,0,0,0,1,0,9,9,10.0,25/04/2021
"Cork  Jack Cork (Burnley, Midfielder)",BUR,4.5,90,9,3,0,4,0,0,1,2,12,12,7.5,25/04/2021
"Lowton  Matthew Lowton (Burnley, Defender)",BUR,4.5,90,3,2,0,0,0,0,1,3,27,6,15.0,25/04/2021
"McNeil  Dwight McNeil (Burnley, Midfielder)",BUR,6.0,90,16,2,2,4,0,3,2,2,46,28,3.2,25/04/2021
"Mee  Ben Mee (Burnley, Defender)",BUR,5.0,90,3,8,0,0,0,0,0,0,23,11,8.2,25/04/2021
"Pope  Nick Pope (Burnley, Goalkeeper)",BUR,5.5,90,10,1,0,0,0,0,0,0,25,13,6.9,25/04/2021
"Rodriguez  Jay Rodriguez (Burnley, Forward)",BUR,5.5,17,1,0,0,0,0,0,0,1,1,1,17.0,25/04/2021
"Tarkowski  James Tarkowski (Burnley, Defender)",BUR,5.0,90,5,6,0,0,0,0,0,1,19,7,12.9,25/04/2021
"Taylor (Charlie)  Charlie Taylor (Burnley, Defender)",BUR,4.5,90,5,3,0,0,3,1,2,1,28,16,5.6,25/04/2021
"Vydra  Matej Vydra (Burnley, Forward)",BUR,5.5,73,4,0,1,0,0,0,1,0,2,2,36.5,25/04/2021
"Westwood  Ashley Roy Westwood (Burnley, Midfielder)",BUR,5.5,90,3,3,1,2,1,0,1,1,30,12,7.5,25/04/2021
"Wood  Chris Wood (Burnley, Forward)",BUR,7.0,90,4,1,1,0,0,0,2,1,92,8,11.3,25/04/2021
"Ait Nouri  Rayan Ait Nouri (Wolverhampton Wanderers, Defender)",WOL,4.5,90,1,1,1,4,1,0,1,1,12,12,7.5,25/04/2021
"Boly  Willy Boly (Wolverhampton Wanderers, Defender)",WOL,5.0,90,9,7,0,2,0,0,1,0,13,13,6.9,25/04/2021
"Coady  Conor Coady (Wolverhampton Wanderers, Defender)",WOL,4.5,90,6,3,1,4,0,0,0,0,15,15,6.0,25/04/2021
"Willian José  Willian José Da Silva (Wolverhampton Wanderers, Forward)",WOL,6.8,90,2,1,0,0,0,0,0,2,5,5,18.0,25/04/2021
"Dendoncker (Leander)  Leander Dendoncker (Wolverhampton Wanderers, Midfielder)",WOL,5.0,90,13,2,2,2,0,0,0,2,15,15,6.0,25/04/2021
"Gibbs-White  Morgan Gibbs-White (Wolverhampton Wanderers, Midfielder)",WOL,4.5,21,0,0,0,0,0,0,0,0,2,2,10.5,25/04/2021
"Vitor Ferreira  Vitor Machado Ferreira (Wolverhampton Wanderers, Midfielder)",WOL,4.7,21,3,1,0,0,0,0,0,1,5,5,4.2,25/04/2021
"Podence  Daniel Podence (Wolverhampton Wanderers, Midfielder)",WOL,5.5,69,2,0,0,0,0,0,0,0,1,1,69.0,25/04/2021
"Saiss  Romain Saiss (Wolverhampton Wanderers, Defender)",WOL,5.0,90,12,7,1,2,0,0,1,0,13,13,6.9,25/04/2021
"Semedo  Nelson Semedo (Wolverhampton Wanderers, Defender)",WOL,5.0,58,5,3,0,2,1,0,0,0,6,6,9.7,25/04/2021
"Fabio Silva  Fabio Daniel Soares Silva (Wolverhampton Wanderers, Forward)",WOL,6.0,32,1,0,0,0,0,0,0,0,0,0,0.0,25/04/2021
"Traoré  Adama Traoré (Wolverhampton Wanderers, Midfielder)",WOL,6.0,90,3,0,0,2,0,0,3,3,5,5,18.0,25/04/2021
"Ruben Neves  Rúben Diogo da Silva Neves (Wolverhampton Wanderers, Midfielder)",WOL,5.5,69,5,4,1,4,0,0,2,0,16,16,4.3,25/04/2021
"Rui Patrício  Rui Pedro dos Santos Patrício (Wolverhampton Wanderers, Goalkeeper)",WOL,5.0,90,9,1,0,0,0,0,0,0,15,15,6.0,25/04/2021
