Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Bissouma  Yves Bissouma (Brighton and Hove Albion, Midfielder)",BHA,4.5,89,6,8,1,0,0,0,0,3,10,10,8.9,01/05/2021
"Burn  Dan Burn (Brighton and Hove Albion, Defender)",BHA,4.5,90,2,10,0,0,1,0,2,2,24,12,7.5,01/05/2021
"Dunk  Lewis Dunk (Brighton and Hove Albion, Defender)",BHA,5.0,90,15,5,0,6,0,1,1,0,35,23,3.9,01/05/2021
"Groß  Pascal Groß (Brighton and Hove Albion, Midfielder)",BHA,6.0,90,5,3,0,6,1,0,4,0,34,13,6.9,01/05/2021
"Jahanbakhsh  Alireza Jahanbakhsh (Brighton and Hove Albion, Midfielder)",BHA,5.5,10,0,0,0,0,0,0,0,1,4,4,2.5,01/05/2021
"Mac Allister  Alexis Mac Allister (Brighton and Hove Albion, Midfielder)",BHA,5.5,1,0,0,0,0,0,0,0,0,3,3,0.3,01/05/2021
"Maupay  Neal Maupay (Brighton and Hove Albion, Forward)",BHA,6.5,90,3,0,1,0,0,0,1,0,2,2,45.0,01/05/2021
"Moder  Jakub Moder (Brighton and Hove Albion, Midfielder)",BHA,4.5,1,1,0,0,0,0,0,0,0,3,3,0.3,01/05/2021
"Sanchez  Robert Sanchez (Brighton and Hove Albion, Goalkeeper)",BHA,4.5,90,8,0,0,0,0,0,0,0,24,12,7.5,01/05/2021
"Trossard  Leandro Trossard (Brighton and Hove Albion, Midfielder)",BHA,6.5,80,7,0,0,0,0,1,3,3,9,9,8.9,01/05/2021
"Veltman  Joël Veltman (Brighton and Hove Albion, Defender)",BHA,4.5,90,5,4,0,2,0,0,0,1,16,4,22.5,01/05/2021
"Webster  Adam Webster (Brighton and Hove Albion, Defender)",BHA,4.5,90,6,7,1,4,0,0,0,0,28,16,5.6,01/05/2021
"Welbeck  Danny Welbeck (Brighton and Hove Albion, Forward)",BHA,6.0,89,4,0,0,0,0,1,2,1,38,5,17.8,01/05/2021
"White (Ben)  Ben White (Brighton and Hove Albion, Defender)",BHA,4.5,90,3,3,0,0,0,0,0,2,20,8,11.3,01/05/2021
"Alioski  Ezgjan Alioski (Leeds United, Defender)",LEE,4.4,45,3,0,0,0,0,0,0,0,-4,-4,0.0,01/05/2021
"Ayling  Luke Ayling (Leeds United, Defender)",LEE,4.5,90,6,0,2,2,0,0,0,2,10,10,9.0,01/05/2021
"Bamford  Patrick Bamford (Leeds United, Forward)",LEE,8.0,59,0,1,0,0,0,0,0,1,4,4,14.8,01/05/2021
"Dallas  Stuart Dallas (Leeds United, Defender)",LEE,5.5,90,3,1,1,4,0,0,2,0,13,13,6.9,01/05/2021
"Harrison  Jack Harrison (Leeds United, Midfielder)",LEE,6.0,90,2,1,0,4,2,0,1,3,14,14,6.4,01/05/2021
"Hernández  Pablo Hernández (Leeds United, Midfielder)",LEE,5.5,11,1,0,0,0,0,0,0,2,5,5,2.2,01/05/2021
"Klich  Mateusz Klich (Leeds United, Midfielder)",LEE,5.5,90,7,2,0,4,1,0,0,1,14,14,6.4,01/05/2021
"Koch  Robin Koch (Leeds United, Defender)",LEE,4.5,90,4,6,1,2,0,0,0,1,15,15,6.0,01/05/2021
"Diego Llorente  Diego Javier Llorente Ríos (Leeds United, Defender)",LEE,4.5,79,6,4,0,4,0,0,1,1,14,14,5.6,01/05/2021
"Meslier  Illan Meslier (Leeds United, Goalkeeper)",LEE,5.0,90,7,0,0,2,0,0,0,0,16,16,5.6,01/05/2021
"Rodrigo  Rodrigo Moreno Machado (Leeds United, Forward)",LEE,6.5,31,1,1,0,0,0,0,0,0,1,1,31.0,01/05/2021
"Poveda-Ocampo  Ian Carlo Poveda-Ocampo (Leeds United, Midfielder)",LEE,4.5,45,4,1,0,0,0,0,1,3,3,3,15.0,01/05/2021
"Roberts (Tyler)  Tyler Roberts (Leeds United, Midfielder)",LEE,5.0,90,2,1,2,4,0,0,1,0,13,13,6.9,01/05/2021
"Struijk  Pascal Struijk (Leeds United, Defender)",LEE,4.5,90,6,6,1,6,0,0,1,0,20,20,4.5,01/05/2021
