Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Jordan Ayew  Jordan Ayew (Crystal Palace, Forward)",CRY,6.0,8,1,0,1,0,0,0,0,1,4,4,2.0,01/05/2021
"Benteke  Christian Benteke (Crystal Palace, Forward)",CRY,6.5,68,1,2,0,0,0,0,0,1,2,2,34.0,01/05/2021
"Dann  Scott Dann (Crystal Palace, Defender)",CRY,4.2,90,6,9,0,0,0,0,0,0,12,12,7.5,01/05/2021
"Eze  Eberechi Eze (Crystal Palace, Midfielder)",CRY,6.0,90,7,2,1,4,0,0,2,1,12,12,7.5,01/05/2021
"Guaita  Vicente Guaita (Crystal Palace, Goalkeeper)",CRY,4.5,90,8,0,0,0,0,0,0,0,10,10,9.0,01/05/2021
"Kouyaté  Cheikhou Kouyaté (Crystal Palace, Midfielder)",CRY,4.5,90,3,6,1,0,0,0,1,0,9,9,10.0,01/05/2021
"Mateta  Jean-Philippe Mateta (Crystal Palace, Forward)",CRY,5.5,22,0,0,0,0,0,0,0,0,1,1,22.0,01/05/2021
"Milivojevic  Luka Milivojevic (Crystal Palace, Midfielder)",CRY,5.5,90,3,3,0,4,0,0,0,0,5,5,18.0,01/05/2021
"Mitchell  Tyrick Mitchell (Crystal Palace, Defender)",CRY,4.5,90,7,9,0,0,0,0,0,5,14,14,6.4,01/05/2021
"Riedewald  Jairo Riedewald (Crystal Palace, Midfielder)",CRY,5.0,60,5,3,0,0,0,0,1,0,4,4,15.0,01/05/2021
"Schlupp  Jeffrey Schlupp (Crystal Palace, Midfielder)",CRY,5.5,30,1,1,0,0,0,0,0,2,4,4,7.5,01/05/2021
"Townsend (Andros)  Andros Townsend (Crystal Palace, Midfielder)",CRY,5.5,82,3,3,0,0,1,0,1,3,12,12,6.8,01/05/2021
"Ward (Joel)  Joel Ward (Crystal Palace, Defender)",CRY,4.5,90,7,5,3,0,0,0,0,0,15,15,6.0,01/05/2021
"Zaha  Wilfried Zaha (Crystal Palace, Midfielder)",CRY,7.0,90,7,0,2,0,0,0,1,0,3,3,30.0,01/05/2021
"Aguero  Sergio Aguero (Manchester City, Forward)",MCI,10.3,90,3,0,0,2,1,0,1,2,36,9,10.0,01/05/2021
"Aké  Nathan Aké (Manchester City, Defender)",MCI,5.0,90,2,5,0,6,0,0,0,0,25,13,6.9,01/05/2021
"João Cancelo  João Pedro Cavaco Cancelo (Manchester City, Defender)",MCI,6.0,90,10,4,2,4,1,0,0,3,31,19,4.7,01/05/2021
"Rodri  Rodrigo Hernández Cascante (Manchester City, Midfielder)",MCI,5.5,90,15,3,0,6,0,0,1,1,17,17,5.3,01/05/2021
"Laporte  Aymeric Laporte (Manchester City, Defender)",MCI,5.5,90,4,2,0,6,0,0,2,0,25,13,6.9,01/05/2021
"Fernandinho  Fernando Luiz Rosa (Manchester City, Defender)",MCI,5.0,67,11,2,3,4,0,0,0,0,30,18,3.7,01/05/2021
"Mendy (Benjamin)  Benjamin Mendy (Manchester City, Defender)",MCI,5.5,90,3,0,1,4,1,0,2,2,39,18,5.0,01/05/2021
"Ederson  Ederson Santana de Moraes (Manchester City, Goalkeeper)",MCI,6.0,90,9,0,0,0,0,0,0,0,29,17,5.3,01/05/2021
"Sterling  Raheem Sterling (Manchester City, Midfielder)",MCI,11.0,90,1,0,0,4,0,0,0,2,1,1,90.0,01/05/2021
"Torres  Ferran Torres (Manchester City, Midfielder)",MCI,7.0,90,5,2,0,4,0,0,4,2,33,15,6.0,01/05/2021
"Zinchenko  Oleksandr Zinchenko (Manchester City, Defender)",MCI,5.5,23,1,3,0,0,0,0,1,0,3,3,7.7,01/05/2021
"Jesus  Gabriel Fernando de Jesus (Manchester City, Forward)",MCI,8.5,90,3,2,0,0,0,0,2,1,2,2,45.0,01/05/2021
