Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Barkley  Ross Barkley (Aston Villa, Midfielder)",AVL,5.5,90,7,1,1,6,0,1,2,4,19,19,4.7,01/05/2021
"Cash  Matthew Cash (Aston Villa, Defender)",AVL,5.0,90,5,1,1,2,1,1,1,0,13,13,6.9,01/05/2021
"Davis (Keinan)  Keinan Davis (Aston Villa, Forward)",AVL,4.5,1,1,1,0,0,0,0,0,0,2,2,0.5,01/05/2021
"El Ghazi  Anwar El Ghazi (Aston Villa, Midfielder)",AVL,6.0,89,4,1,0,4,0,0,0,1,18,-3,0.0,01/05/2021
"Konsa Ngoyo  Ezri Konsa Ngoyo (Aston Villa, Defender)",AVL,5.0,90,6,7,0,2,0,0,0,0,13,13,6.9,01/05/2021
"Martinez  Emiliano Martinez (Aston Villa, Goalkeeper)",AVL,5.5,90,5,0,0,4,0,0,0,0,15,15,6.0,01/05/2021
"McGinn  John McGinn (Aston Villa, Midfielder)",AVL,6.0,90,7,0,1,0,0,1,2,0,10,10,9.0,01/05/2021
"Mings  Tyrone Mings (Aston Villa, Defender)",AVL,5.0,90,7,14,0,4,0,0,0,0,19,19,4.7,01/05/2021
"Jacob Ramsey  Jacob Ramsey (Aston Villa, Midfielder)",AVL,4.5,2,1,1,0,0,0,0,0,0,1,1,2.0,01/05/2021
"Douglas Luiz  Douglas Luiz Soares de Paulo (Aston Villa, Midfielder)",AVL,4.5,90,5,1,0,4,0,0,0,0,5,5,18.0,01/05/2021
"Targett  Matt Targett (Aston Villa, Defender)",AVL,5.0,90,7,2,0,4,1,0,0,0,13,13,6.9,01/05/2021
"Traore (Bertrand)  Bertrand Traore (Aston Villa, Midfielder)",AVL,6.0,88,5,0,0,0,0,0,2,1,11,2,44.0,01/05/2021
"Watkins  Ollie Watkins (Aston Villa, Forward)",AVL,7.5,90,2,1,1,0,0,0,0,2,26,2,45.0,01/05/2021
"Bernard  Bernard Anício Caldeira Duarte (Everton, Midfielder)",EVE,5.5,14,2,0,0,0,0,0,1,0,4,4,3.5,01/05/2021
"Calvert-Lewin  Dominic Calvert-Lewin (Everton, Forward)",EVE,8.0,90,0,1,1,0,0,0,0,0,26,2,45.0,01/05/2021
"Coleman  Seamus Coleman (Everton, Defender)",EVE,5.0,90,12,2,1,4,0,0,1,0,13,13,6.9,01/05/2021
"Delph  Fabian Delph (Everton, Midfielder)",EVE,4.5,20,3,1,0,0,0,0,1,1,6,6,3.3,01/05/2021
"Digne  Lucas Digne (Everton, Defender)",EVE,5.5,90,3,4,0,4,2,2,4,1,32,23,3.9,01/05/2021
"Godfrey  Ben Godfrey (Everton, Defender)",EVE,5.0,90,2,9,0,6,0,0,0,0,13,13,6.9,01/05/2021
"Holgate  Mason Holgate (Everton, Defender)",EVE,4.5,90,6,4,0,0,0,0,0,0,7,7,12.9,01/05/2021
"Iwobi  Alex Iwobi (Everton, Midfielder)",EVE,6.0,76,9,0,0,0,0,0,1,2,9,9,8.4,01/05/2021
"King (Joshua)  Joshua King (Everton, Forward)",EVE,5.5,8,2,0,0,0,0,0,0,0,2,2,4.0,01/05/2021
"Allan  Allan Marques Loureiro (Everton, Midfielder)",EVE,4.5,90,7,0,2,4,0,0,2,0,13,13,6.9,01/05/2021
"Pickford  Jordan Pickford (Everton, Goalkeeper)",EVE,5.0,90,6,2,0,2,0,0,0,0,17,17,5.3,01/05/2021
"Sigurdsson  Gylfi Sigurdsson (Everton, Midfielder)",EVE,7.0,82,5,1,0,0,0,0,0,0,5,5,16.4,01/05/2021
"André Gomes  André Filipe Tavares Gomes (Everton, Midfielder)",EVE,5.0,70,5,1,2,4,0,0,1,0,11,11,6.4,01/05/2021
"Richarlison  Richarlison de Andrade (Everton, Forward)",EVE,7.5,90,3,0,1,0,0,0,1,2,8,8,11.3,01/05/2021
