Name,Team,Cost,A,xA,Δ,Mins/xA,G,xG,Δ.1,Mins/xG,xGI,Δ.2,Mins/xGI,date
"Barkley  Ross Barkley (Aston Villa, Midfielder)",AVL,5.5,0,0.2,-0.2,450.0,0,0.1,-0.1,900.0,0.3,-0.3,300.0,01/05/2021
"Cash  Matthew Cash (Aston Villa, Defender)",AVL,5.0,0,0.19,-0.19,473.7,0,0.0,0.0,inf,0.19,-0.19,473.7,01/05/2021
"Davis (Keinan)  Keinan Davis (Aston Villa, Forward)",AVL,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,01/05/2021
"El Ghazi  Anwar El Ghazi (Aston Villa, Midfielder)",AVL,6.0,0,0.02,-0.02,4450.0,1,0.49,0.51,181.6,0.51,0.49,174.5,01/05/2021
"Konsa Ngoyo  Ezri Konsa Ngoyo (Aston Villa, Defender)",AVL,5.0,0,0.04,-0.04,2250.0,0,0.0,0.0,inf,0.04,-0.04,2250.0,01/05/2021
"Martinez  Emiliano Martinez (Aston Villa, Goalkeeper)",AVL,5.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,01/05/2021
"McGinn  John McGinn (Aston Villa, Midfielder)",AVL,6.0,0,0.05,-0.05,1800.0,0,0.06,-0.06,1500.0,0.11,-0.11,818.2,01/05/2021
"Mings  Tyrone Mings (Aston Villa, Defender)",AVL,5.0,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,01/05/2021
"Jacob Ramsey  Jacob Ramsey (Aston Villa, Midfielder)",AVL,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,01/05/2021
"Douglas Luiz  Douglas Luiz Soares de Paulo (Aston Villa, Midfielder)",AVL,4.5,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,01/05/2021
"Targett  Matt Targett (Aston Villa, Defender)",AVL,5.0,0,0.12,-0.12,750.0,0,0.0,0.0,inf,0.12,-0.12,750.0,01/05/2021
"Traore (Bertrand)  Bertrand Traore (Aston Villa, Midfielder)",AVL,6.0,1,0.04,0.96,2200.0,0,0.3,-0.3,293.3,0.34,0.66,258.8,01/05/2021
"Watkins  Ollie Watkins (Aston Villa, Forward)",AVL,7.5,0,0.02,-0.02,4500.0,1,0.85,0.15,105.9,0.87,0.13,103.4,01/05/2021
"Bernard  Bernard Anício Caldeira Duarte (Everton, Midfielder)",EVE,5.5,0,0.01,-0.01,1400.0,0,0.0,0.0,inf,0.01,-0.01,1400.0,01/05/2021
"Calvert-Lewin  Dominic Calvert-Lewin (Everton, Forward)",EVE,8.0,0,0.01,-0.01,9000.0,1,0.43,0.57,209.3,0.44,0.56,204.5,01/05/2021
"Coleman  Seamus Coleman (Everton, Defender)",EVE,5.0,0,0.04,-0.04,2250.0,0,0.03,-0.03,3000.0,0.07,-0.07,1285.7,01/05/2021
"Delph  Fabian Delph (Everton, Midfielder)",EVE,4.5,0,0.01,-0.01,2000.0,0,0.0,0.0,inf,0.01,-0.01,2000.0,01/05/2021
"Digne  Lucas Digne (Everton, Defender)",EVE,5.5,1,0.31,0.69,290.3,0,0.02,-0.02,4500.0,0.33,0.67,272.7,01/05/2021
"Godfrey  Ben Godfrey (Everton, Defender)",EVE,5.0,0,0.02,-0.02,4500.0,0,0.0,0.0,inf,0.02,-0.02,4500.0,01/05/2021
"Holgate  Mason Holgate (Everton, Defender)",EVE,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,01/05/2021
"Iwobi  Alex Iwobi (Everton, Midfielder)",EVE,6.0,0,0.02,-0.02,3800.0,0,0.08,-0.08,950.0,0.1,-0.1,760.0,01/05/2021
"King (Joshua)  Joshua King (Everton, Forward)",EVE,5.5,0,0.0,0.0,inf,0,0.04,-0.04,200.0,0.04,-0.04,200.0,01/05/2021
"Allan  Allan Marques Loureiro (Everton, Midfielder)",EVE,4.5,0,0.04,-0.04,2250.0,0,0.04,-0.04,2250.0,0.08,-0.08,1125.0,01/05/2021
"Pickford  Jordan Pickford (Everton, Goalkeeper)",EVE,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,01/05/2021
"Sigurdsson  Gylfi Sigurdsson (Everton, Midfielder)",EVE,7.0,0,0.02,-0.02,4100.0,0,0.19,-0.19,431.6,0.21,-0.21,390.5,01/05/2021
"André Gomes  André Filipe Tavares Gomes (Everton, Midfielder)",EVE,5.0,0,0.02,-0.02,3500.0,0,0.0,0.0,inf,0.02,-0.02,3500.0,01/05/2021
"Richarlison  Richarlison de Andrade (Everton, Forward)",EVE,7.5,0,0.06,-0.06,1500.0,0,0.19,-0.19,473.7,0.25,-0.25,360.0,01/05/2021
