Name,Team,Cost,Starts,Mins,On,Off,G,A,FA,TA,CS,GC,OG,PL YC,PL RC,Vs,GW,date,Position,Home
"Barkley  Ross Barkley (Aston Villa, Midfielder)",AVL,5.5,1,90,0,0,0,0,0,0,0,1,0,0,0,EVE,34,01/05/2021,MID,False
"Cash  Matthew Cash (Aston Villa, Defender)",AVL,5.0,1,90,0,0,0,0,0,0,0,1,0,0,0,EVE,34,01/05/2021,DEF,False
"Davis (Keinan)  Keinan Davis (Aston Villa, Forward)",AVL,4.5,0,1,1,0,0,0,0,0,0,0,0,0,0,EVE,34,01/05/2021,FWD,False
"El Ghazi  Anwar El Ghazi (Aston Villa, Midfielder)",AVL,6.0,1,89,0,1,1,0,0,0,0,1,0,1,0,EVE,34,01/05/2021,MID,False
"Konsa Ngoyo  Ezri Konsa Ngoyo (Aston Villa, Defender)",AVL,5.0,1,90,0,0,0,0,0,0,0,1,0,0,0,EVE,34,01/05/2021,DEF,False
"Martinez  Emiliano Martinez (Aston Villa, Goalkeeper)",AVL,5.5,1,90,0,0,0,0,0,0,0,1,0,0,0,EVE,34,01/05/2021,GKP,False
"McGinn  John McGinn (Aston Villa, Midfielder)",AVL,6.0,1,90,0,0,0,0,0,0,0,1,0,0,0,EVE,34,01/05/2021,MID,False
"Mings  Tyrone Mings (Aston Villa, Defender)",AVL,5.0,1,90,0,0,0,0,0,0,0,1,0,0,0,EVE,34,01/05/2021,DEF,False
"Jacob Ramsey  Jacob Ramsey (Aston Villa, Midfielder)",AVL,4.5,0,2,1,0,0,0,0,0,0,0,0,0,0,EVE,34,01/05/2021,MID,False
"Douglas Luiz  Douglas Luiz Soares de Paulo (Aston Villa, Midfielder)",AVL,4.5,1,90,0,0,0,0,0,0,0,1,0,1,0,EVE,34,01/05/2021,MID,False
"Targett  Matt Targett (Aston Villa, Defender)",AVL,5.0,1,90,0,0,0,0,0,0,0,1,0,0,0,EVE,34,01/05/2021,DEF,False
"Traore (Bertrand)  Bertrand Traore (Aston Villa, Midfielder)",AVL,6.0,1,88,0,1,0,1,0,1,0,1,0,0,0,EVE,34,01/05/2021,MID,False
"Watkins  Ollie Watkins (Aston Villa, Forward)",AVL,7.5,1,90,0,0,1,0,0,0,0,1,0,0,0,EVE,34,01/05/2021,FWD,False
"Bernard  Bernard Anício Caldeira Duarte (Everton, Midfielder)",EVE,5.5,0,14,1,0,0,0,0,0,0,1,0,0,0,AVL,34,01/05/2021,MID,True
"Calvert-Lewin  Dominic Calvert-Lewin (Everton, Forward)",EVE,8.0,1,90,0,0,1,0,0,0,0,2,0,0,0,AVL,34,01/05/2021,FWD,True
"Coleman  Seamus Coleman (Everton, Defender)",EVE,5.0,1,90,0,0,0,0,0,0,0,2,0,0,0,AVL,34,01/05/2021,DEF,True
"Delph  Fabian Delph (Everton, Midfielder)",EVE,4.5,0,20,1,0,0,0,0,0,0,1,0,0,0,AVL,34,01/05/2021,MID,True
"Digne  Lucas Digne (Everton, Defender)",EVE,5.5,1,90,0,0,0,1,0,1,0,2,0,0,0,AVL,34,01/05/2021,DEF,True
"Godfrey  Ben Godfrey (Everton, Defender)",EVE,5.0,1,90,0,0,0,0,0,0,0,2,0,0,0,AVL,34,01/05/2021,DEF,True
"Holgate  Mason Holgate (Everton, Defender)",EVE,4.5,1,90,0,0,0,0,0,0,0,2,0,0,0,AVL,34,01/05/2021,DEF,True
"Iwobi  Alex Iwobi (Everton, Midfielder)",EVE,6.0,1,76,0,1,0,0,0,0,0,1,0,0,0,AVL,34,01/05/2021,MID,True
"King (Joshua)  Joshua King (Everton, Forward)",EVE,5.5,0,8,1,0,0,0,0,0,0,0,0,0,0,AVL,34,01/05/2021,FWD,True
"Allan  Allan Marques Loureiro (Everton, Midfielder)",EVE,4.5,1,90,0,0,0,0,0,0,0,2,0,0,0,AVL,34,01/05/2021,MID,True
"Pickford  Jordan Pickford (Everton, Goalkeeper)",EVE,5.0,1,90,0,0,0,0,0,0,0,2,0,0,0,AVL,34,01/05/2021,GKP,True
"Sigurdsson  Gylfi Sigurdsson (Everton, Midfielder)",EVE,7.0,1,82,0,1,0,0,0,0,0,2,0,0,0,AVL,34,01/05/2021,MID,True
"André Gomes  André Filipe Tavares Gomes (Everton, Midfielder)",EVE,5.0,1,70,0,1,0,0,0,0,0,1,0,0,0,AVL,34,01/05/2021,MID,True
"Richarlison  Richarlison de Andrade (Everton, Forward)",EVE,7.5,1,90,0,0,0,0,0,0,0,2,0,0,0,AVL,34,01/05/2021,FWD,True
