Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Albrighton  Marc Albrighton (Leicester City, Midfielder)",LEI,5.5,22,5,0,1,0,2,1,1,0,10,10,2.2,30/04/2021
"Castagne  Timothy Castagne (Leicester City, Defender)",LEI,5.5,90,7,0,0,4,2,0,2,1,11,11,8.2,30/04/2021
"Evans  Jonny Evans (Leicester City, Defender)",LEI,5.5,90,8,3,1,4,0,0,0,0,26,14,6.4,30/04/2021
"Fofana  Wesley Fofana (Leicester City, Defender)",LEI,4.5,45,3,1,2,4,0,0,0,1,11,11,4.1,30/04/2021
"Iheanacho  Kelechi Iheanacho (Leicester City, Forward)",LEI,7.5,90,4,0,0,0,1,1,2,0,9,0,0.0,30/04/2021
"Maddison  James Maddison (Leicester City, Midfielder)",LEI,7.0,90,5,0,1,4,0,1,2,0,11,11,8.2,30/04/2021
"Ndidi  Onyinye Wilfred Ndidi (Leicester City, Midfielder)",LEI,5.0,90,12,0,1,4,0,0,1,0,13,13,6.9,30/04/2021
"Ayoze Pérez  Ayoze Pérez Gutiérrez (Leicester City, Midfielder)",LEI,6.0,45,0,1,0,0,1,0,2,4,6,6,7.5,30/04/2021
"Schmeichel  Kasper Schmeichel (Leicester City, Goalkeeper)",LEI,5.0,90,5,0,0,0,0,0,0,0,11,11,8.2,30/04/2021
"Söyüncü  Caglar Söyüncü (Leicester City, Defender)",LEI,5.0,90,8,1,0,4,1,0,2,1,15,15,6.0,30/04/2021
"Thomas (Luke)  Luke Thomas (Leicester City, Defender)",LEI,4.5,68,1,2,0,2,0,0,0,0,7,7,9.7,30/04/2021
"Tielemans  Youri Tielemans (Leicester City, Midfielder)",LEI,6.5,90,10,1,0,4,1,0,5,1,18,18,5.0,30/04/2021
"Vardy  Jamie Vardy (Leicester City, Forward)",LEI,10.5,90,2,0,0,0,0,0,1,1,2,2,45.0,30/04/2021
"Adams  Che Adams (Southampton, Forward)",SOU,7.0,89,5,1,1,0,0,0,1,1,5,5,17.8,30/04/2021
"Armstrong  Stuart Armstrong (Southampton, Midfielder)",SOU,6.0,90,8,0,1,0,0,0,0,5,17,8,11.3,30/04/2021
"Bednarek  Jan Bednarek (Southampton, Defender)",SOU,4.5,90,1,6,0,0,0,0,0,0,9,9,10.0,30/04/2021
"Diallo  Ibrahima Diallo (Southampton, Midfielder)",SOU,4.5,14,3,1,0,0,0,0,0,0,3,3,4.7,30/04/2021
"McCarthy (Alex)  Alex McCarthy (Southampton, Goalkeeper)",SOU,4.5,90,9,0,0,0,0,0,0,0,25,25,3.6,30/04/2021
"Minamino  Takumi Minamino (Southampton, Midfielder)",SOU,5.5,76,2,5,0,0,0,0,0,0,3,3,25.3,30/04/2021
"N'Lundulu  Daniel N&#039;Lundulu (Southampton, Forward)",SOU,4.5,1,0,0,0,0,0,0,0,0,3,3,0.3,30/04/2021
"Redmond  Nathan Redmond (Southampton, Midfielder)",SOU,6.0,90,7,0,0,0,0,0,0,1,1,1,90.0,30/04/2021
"Salisu  Mohammed Salisu (Southampton, Defender)",SOU,4.5,75,6,14,2,0,0,0,0,0,19,19,3.9,30/04/2021
"Stephens (Jack)  Jack Stephens (Southampton, Defender)",SOU,4.5,90,5,7,0,0,0,0,0,0,10,10,9.0,30/04/2021
"Tella  Nathan Tella (Southampton, Midfielder)",SOU,5.0,15,1,0,0,0,0,0,0,0,2,2,7.5,30/04/2021
"Vestergaard  Jannik Vestergaard (Southampton, Defender)",SOU,5.0,10,0,1,0,0,0,0,0,0,-7,-7,0.0,30/04/2021
"Walker-Peters  Kyle Walker-Peters (Southampton, Defender)",SOU,5.0,90,8,5,0,0,0,0,2,1,10,10,9.0,30/04/2021
"Ward-Prowse  James Ward-Prowse (Southampton, Midfielder)",SOU,6.5,90,4,5,0,4,0,0,1,0,32,14,6.4,30/04/2021
