Name,Team,Cost,A,xA,Δ,Mins/xA,G,xG,Δ.1,Mins/xG,xGI,Δ.2,Mins/xGI,date
"Albrighton  Marc Albrighton (Leicester City, Midfielder)",LEI,5.5,0,0.57,-0.57,38.6,0,0.02,-0.02,1100.0,0.59,-0.59,37.3,30/04/2021
"Castagne  Timothy Castagne (Leicester City, Defender)",LEI,5.5,0,0.08,-0.08,1125.0,0,0.07,-0.07,1285.7,0.15,-0.15,600.0,30/04/2021
"Evans  Jonny Evans (Leicester City, Defender)",LEI,5.5,0,0.03,-0.03,3000.0,1,0.4,0.6,225.0,0.43,0.57,209.3,30/04/2021
"Fofana  Wesley Fofana (Leicester City, Defender)",LEI,4.5,0,0.01,-0.01,4500.0,0,0.0,0.0,inf,0.01,-0.01,4500.0,30/04/2021
"Iheanacho  Kelechi Iheanacho (Leicester City, Forward)",LEI,7.5,1,0.56,0.44,160.7,0,0.41,-0.41,219.5,0.97,0.03,92.8,30/04/2021
"Maddison  James Maddison (Leicester City, Midfielder)",LEI,7.0,0,0.16,-0.16,562.5,0,0.28,-0.28,321.4,0.44,-0.44,204.5,30/04/2021
"Ndidi  Onyinye Wilfred Ndidi (Leicester City, Midfielder)",LEI,5.0,0,0.05,-0.05,1800.0,0,0.06,-0.06,1500.0,0.11,-0.11,818.2,30/04/2021
"Ayoze Pérez  Ayoze Pérez Gutiérrez (Leicester City, Midfielder)",LEI,6.0,0,0.03,-0.03,1500.0,0,0.13,-0.13,346.2,0.16,-0.16,281.3,30/04/2021
"Schmeichel  Kasper Schmeichel (Leicester City, Goalkeeper)",LEI,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,30/04/2021
"Söyüncü  Caglar Söyüncü (Leicester City, Defender)",LEI,5.0,0,0.05,-0.05,1800.0,0,0.08,-0.08,1125.0,0.13,-0.13,692.3,30/04/2021
"Thomas (Luke)  Luke Thomas (Leicester City, Defender)",LEI,4.5,0,0.01,-0.01,6800.0,0,0.06,-0.06,1133.3,0.07,-0.07,971.4,30/04/2021
"Tielemans  Youri Tielemans (Leicester City, Midfielder)",LEI,6.5,0,0.24,-0.24,375.0,0,0.08,-0.08,1125.0,0.32,-0.32,281.3,30/04/2021
"Vardy  Jamie Vardy (Leicester City, Forward)",LEI,10.5,0,0.05,-0.05,1800.0,0,0.36,-0.36,250.0,0.41,-0.41,219.5,30/04/2021
"Adams  Che Adams (Southampton, Forward)",SOU,7.0,0,0.07,-0.07,1271.4,0,0.0,0.0,inf,0.07,-0.07,1271.4,30/04/2021
"Armstrong  Stuart Armstrong (Southampton, Midfielder)",SOU,6.0,0,0.01,-0.01,9000.0,0,0.08,-0.08,1125.0,0.09,-0.09,1000.0,30/04/2021
"Bednarek  Jan Bednarek (Southampton, Defender)",SOU,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,30/04/2021
"Diallo  Ibrahima Diallo (Southampton, Midfielder)",SOU,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,30/04/2021
"McCarthy (Alex)  Alex McCarthy (Southampton, Goalkeeper)",SOU,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,30/04/2021
"Minamino  Takumi Minamino (Southampton, Midfielder)",SOU,5.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,30/04/2021
"N'Lundulu  Daniel N&#039;Lundulu (Southampton, Forward)",SOU,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,30/04/2021
"Redmond  Nathan Redmond (Southampton, Midfielder)",SOU,6.0,0,0.0,0.0,inf,0,0.03,-0.03,3000.0,0.03,-0.03,3000.0,30/04/2021
"Salisu  Mohammed Salisu (Southampton, Defender)",SOU,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,30/04/2021
"Stephens (Jack)  Jack Stephens (Southampton, Defender)",SOU,4.5,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,30/04/2021
"Tella  Nathan Tella (Southampton, Midfielder)",SOU,5.0,0,0.0,0.0,inf,0,0.07,-0.07,214.3,0.07,-0.07,214.3,30/04/2021
"Vestergaard  Jannik Vestergaard (Southampton, Defender)",SOU,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,30/04/2021
"Walker-Peters  Kyle Walker-Peters (Southampton, Defender)",SOU,5.0,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,30/04/2021
"Ward-Prowse  James Ward-Prowse (Southampton, Midfielder)",SOU,6.5,0,0.02,-0.02,4500.0,1,0.79,0.21,113.9,0.81,0.19,111.1,30/04/2021
