Name,Team,Cost,Starts,Mins,On,Off,G,A,FA,TA,CS,GC,OG,PL YC,PL RC,Vs,GW,date,Position,Home
"Albrighton  Marc Albrighton (Leicester City, Midfielder)",LEI,5.5,0,22,1,0,0,0,0,0,0,0,0,0,0,SOU,34,30/04/2021,MID,False
"Castagne  Timothy Castagne (Leicester City, Defender)",LEI,5.5,1,90,0,0,0,0,0,0,0,1,0,0,0,SOU,34,30/04/2021,DEF,False
"Evans  Jonny Evans (Leicester City, Defender)",LEI,5.5,1,90,0,0,1,0,0,0,0,1,0,0,0,SOU,34,30/04/2021,DEF,False
"Fofana  Wesley Fofana (Leicester City, Defender)",LEI,4.5,1,45,0,1,0,0,0,0,0,0,0,0,0,SOU,34,30/04/2021,DEF,False
"Iheanacho  Kelechi Iheanacho (Leicester City, Forward)",LEI,7.5,1,90,0,0,0,1,0,1,0,1,0,0,0,SOU,34,30/04/2021,FWD,False
"Maddison  James Maddison (Leicester City, Midfielder)",LEI,7.0,1,90,0,0,0,0,0,0,0,1,0,0,0,SOU,34,30/04/2021,MID,False
"Ndidi  Onyinye Wilfred Ndidi (Leicester City, Midfielder)",LEI,5.0,1,90,0,0,0,0,0,0,0,1,0,0,0,SOU,34,30/04/2021,MID,False
"Ayoze Pérez  Ayoze Pérez Gutiérrez (Leicester City, Midfielder)",LEI,6.0,0,45,1,0,0,0,0,0,0,1,0,0,0,SOU,34,30/04/2021,MID,False
"Schmeichel  Kasper Schmeichel (Leicester City, Goalkeeper)",LEI,5.0,1,90,0,0,0,0,0,0,0,1,0,0,0,SOU,34,30/04/2021,GKP,False
"Söyüncü  Caglar Söyüncü (Leicester City, Defender)",LEI,5.0,1,90,0,0,0,0,0,0,0,1,0,0,0,SOU,34,30/04/2021,DEF,False
"Thomas (Luke)  Luke Thomas (Leicester City, Defender)",LEI,4.5,1,68,0,1,0,0,0,0,0,1,0,0,0,SOU,34,30/04/2021,DEF,False
"Tielemans  Youri Tielemans (Leicester City, Midfielder)",LEI,6.5,1,90,0,0,0,0,0,0,0,1,0,0,0,SOU,34,30/04/2021,MID,False
"Vardy  Jamie Vardy (Leicester City, Forward)",LEI,10.5,1,90,0,0,0,0,0,0,0,1,0,0,0,SOU,34,30/04/2021,FWD,False
"Adams  Che Adams (Southampton, Forward)",SOU,7.0,1,89,0,1,0,0,0,0,0,1,0,0,0,LEI,34,30/04/2021,FWD,True
"Armstrong  Stuart Armstrong (Southampton, Midfielder)",SOU,6.0,1,90,0,0,0,0,1,1,0,1,0,0,0,LEI,34,30/04/2021,MID,True
"Bednarek  Jan Bednarek (Southampton, Defender)",SOU,4.5,1,90,0,0,0,0,0,0,0,1,0,0,0,LEI,34,30/04/2021,DEF,True
"Diallo  Ibrahima Diallo (Southampton, Midfielder)",SOU,4.5,0,14,1,0,0,0,0,0,0,0,0,0,0,LEI,34,30/04/2021,MID,True
"McCarthy (Alex)  Alex McCarthy (Southampton, Goalkeeper)",SOU,4.5,1,90,0,0,0,0,0,0,0,1,0,0,0,LEI,34,30/04/2021,GKP,True
"Minamino  Takumi Minamino (Southampton, Midfielder)",SOU,5.5,1,76,0,1,0,0,0,0,0,1,0,1,0,LEI,34,30/04/2021,MID,True
"N'Lundulu  Daniel N&#039;Lundulu (Southampton, Forward)",SOU,4.5,0,1,1,0,0,0,0,0,0,0,0,0,0,LEI,34,30/04/2021,FWD,True
"Redmond  Nathan Redmond (Southampton, Midfielder)",SOU,6.0,1,90,0,0,0,0,0,0,0,1,0,0,0,LEI,34,30/04/2021,MID,True
"Salisu  Mohammed Salisu (Southampton, Defender)",SOU,4.5,0,75,1,0,0,0,0,0,0,1,0,0,0,LEI,34,30/04/2021,DEF,True
"Stephens (Jack)  Jack Stephens (Southampton, Defender)",SOU,4.5,1,90,0,0,0,0,0,0,0,1,0,0,0,LEI,34,30/04/2021,DEF,True
"Tella  Nathan Tella (Southampton, Midfielder)",SOU,5.0,1,15,0,1,0,0,0,0,0,0,0,0,0,LEI,34,30/04/2021,MID,True
"Vestergaard  Jannik Vestergaard (Southampton, Defender)",SOU,5.0,1,10,0,0,0,0,0,0,0,0,0,0,1,LEI,34,30/04/2021,DEF,True
"Walker-Peters  Kyle Walker-Peters (Southampton, Defender)",SOU,5.0,1,90,0,0,0,0,0,0,0,1,0,0,0,LEI,34,30/04/2021,DEF,True
"Ward-Prowse  James Ward-Prowse (Southampton, Midfielder)",SOU,6.5,1,90,0,0,1,0,0,0,0,1,0,0,0,LEI,34,30/04/2021,MID,True
