Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Baldock  George Baldock (Sheffield United, Defender)",SHU,4.9,90,3,4,1,4,0,0,1,1,16,16,5.6,02/05/2021
"Basham  Chris Basham (Sheffield United, Defender)",SHU,4.6,90,7,7,2,4,1,0,1,0,21,21,4.3,02/05/2021
"Berge  Sander Berge (Sheffield United, Midfielder)",SHU,4.9,45,2,0,0,0,0,0,1,0,3,3,15.0,02/05/2021
"Bogle  Jayden Bogle (Sheffield United, Defender)",SHU,4.3,45,4,0,0,0,0,0,0,0,1,1,45.0,02/05/2021
"Brewster  Rhian Brewster (Sheffield United, Forward)",SHU,4.2,45,2,0,0,0,1,0,1,0,3,3,15.0,02/05/2021
"Oliver Burke  Oliver Burke (Sheffield United, Midfielder)",SHU,4.1,45,1,0,1,0,0,0,2,3,10,10,4.5,02/05/2021
"Egan  John Egan (Sheffield United, Defender)",SHU,4.7,90,8,1,0,2,0,0,0,0,7,7,12.9,02/05/2021
"Fleck  John Fleck (Sheffield United, Midfielder)",SHU,5.6,90,3,1,0,0,0,0,0,3,3,3,30.0,02/05/2021
"McGoldrick  David McGoldrick (Sheffield United, Forward)",SHU,5.2,83,3,2,0,0,0,0,0,0,7,7,11.9,02/05/2021
"Mousset  Lys Mousset (Sheffield United, Forward)",SHU,5.8,7,0,0,0,0,0,0,0,0,2,2,3.5,02/05/2021
"Norwood  Oliver Norwood (Sheffield United, Midfielder)",SHU,4.5,90,7,4,1,4,1,0,0,0,16,16,5.6,02/05/2021
"Osborn  Ben Osborn (Sheffield United, Midfielder)",SHU,4.7,90,7,2,1,2,2,0,0,3,15,15,6.0,02/05/2021
"Ramsdale  Aaron Ramsdale (Sheffield United, Goalkeeper)",SHU,4.6,90,13,1,0,0,0,0,0,0,22,22,4.1,02/05/2021
"Stevens (Enda)  Enda Stevens (Sheffield United, Defender)",SHU,5.0,90,3,4,0,2,0,0,1,1,10,10,9.0,02/05/2021
"Alderweireld  Toby Alderweireld (Tottenham Hotspur, Defender)",TOT,5.0,90,4,4,0,6,0,1,1,0,31,19,4.7,02/05/2021
"Alli  Bamidele Alli (Tottenham Hotspur, Midfielder)",TOT,6.5,78,8,2,0,4,0,0,0,3,13,13,6.0,02/05/2021
"Aurier  Serge Aurier (Tottenham Hotspur, Defender)",TOT,5.0,90,10,3,2,6,0,1,4,2,56,26,3.5,02/05/2021
"Bale  Gareth Bale (Tottenham Hotspur, Midfielder)",TOT,9.2,75,5,1,1,2,0,0,0,1,66,9,8.3,02/05/2021
"Bergwijn  Steven Bergwijn (Tottenham Hotspur, Midfielder)",TOT,6.0,15,3,0,0,0,0,0,1,0,13,4,3.8,02/05/2021
"Dier  Eric Dier (Tottenham Hotspur, Defender)",TOT,4.5,90,5,6,0,6,0,0,0,0,26,14,6.4,02/05/2021
"Højbjerg  Pierre-Emile Højbjerg (Tottenham Hotspur, Midfielder)",TOT,5.0,90,10,5,0,6,0,0,0,1,12,12,7.5,02/05/2021
"Kane  Harry Kane (Tottenham Hotspur, Forward)",TOT,12.5,90,2,1,0,4,1,0,2,4,8,8,11.3,02/05/2021
"Lamela  Erik Lamela (Tottenham Hotspur, Midfielder)",TOT,6.0,12,0,0,0,0,0,0,0,0,3,3,4.0,02/05/2021
"Lloris  Hugo Lloris (Tottenham Hotspur, Goalkeeper)",TOT,5.5,90,6,0,0,0,0,0,0,0,22,10,9.0,02/05/2021
"Lo Celso  Giovani Lo Celso (Tottenham Hotspur, Midfielder)",TOT,6.0,70,7,1,1,4,0,0,0,0,13,13,5.4,02/05/2021
"Reguilón  Sergio Reguilón (Tottenham Hotspur, Defender)",TOT,5.0,90,2,1,0,6,0,0,1,1,21,9,10.0,02/05/2021
"Son  Heung-Min Son (Tottenham Hotspur, Midfielder)",TOT,10.0,90,3,0,0,6,0,1,6,3,48,21,4.3,02/05/2021
"Winks  Harry Winks (Tottenham Hotspur, Midfielder)",TOT,4.5,20,3,1,0,0,0,0,0,0,4,4,5.0,02/05/2021
