Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Ajayi  Semi Ajayi (West Bromwich Albion, Defender)",WBA,4.8,90,6,5,0,2,0,0,1,0,11,11,8.2,03/05/2021
"Bartley  Kyle Bartley (West Bromwich Albion, Defender)",WBA,4.4,90,9,6,1,4,0,0,0,1,17,17,5.3,03/05/2021
"Matheus Pereira  Matheus Fellipe Costa Pereira (West Bromwich Albion, Midfielder)",WBA,5.4,90,7,1,0,4,0,0,2,1,10,10,9.0,03/05/2021
"Diagne  Mbaye Diagne (West Bromwich Albion, Forward)",WBA,6.0,90,1,3,0,0,0,0,1,0,27,3,30.0,03/05/2021
"Furlong  Darnell Furlong (West Bromwich Albion, Defender)",WBA,4.5,90,5,2,0,0,1,0,0,0,2,2,45.0,03/05/2021
"Gallagher  Conor Gallagher (West Bromwich Albion, Midfielder)",WBA,5.5,90,10,1,0,4,1,0,1,1,7,7,12.9,03/05/2021
"Johnstone  Sam Johnstone (West Bromwich Albion, Goalkeeper)",WBA,4.6,90,11,1,0,0,0,0,0,0,27,27,3.3,03/05/2021
"Maitland-Niles  Ainsley Maitland-Niles (West Bromwich Albion, Defender)",WBA,5.5,78,2,0,0,0,1,0,0,1,0,0,0.0,03/05/2021
"O'Shea  Dara O&#039;Shea (West Bromwich Albion, Defender)",WBA,4.2,32,1,2,0,0,0,0,0,0,3,3,10.7,03/05/2021
"Phillips (Matthew)  Matthew Phillips (West Bromwich Albion, Midfielder)",WBA,5.1,58,5,1,0,0,0,1,1,0,2,2,29.0,03/05/2021
"Robinson (Callum)  Callum Robinson (West Bromwich Albion, Forward)",WBA,5.2,12,0,0,0,0,0,0,0,0,3,3,4.0,03/05/2021
"Townsend (Conor)  Conor Townsend (West Bromwich Albion, Defender)",WBA,4.4,90,10,5,0,0,1,1,1,0,21,12,7.5,03/05/2021
"Yokuslu  Okay Yokuslu (West Bromwich Albion, Midfielder)",WBA,4.5,90,9,5,0,4,0,0,0,2,13,13,6.9,03/05/2021
"Ait Nouri  Rayan Ait Nouri (Wolverhampton Wanderers, Defender)",WOL,4.5,82,5,3,0,6,1,0,3,3,18,18,4.6,03/05/2021
"Coady  Conor Coady (Wolverhampton Wanderers, Defender)",WOL,4.5,90,10,5,0,2,0,0,0,1,13,13,6.9,03/05/2021
"Dendoncker (Leander)  Leander Dendoncker (Wolverhampton Wanderers, Midfielder)",WOL,5.0,90,9,2,2,2,0,0,0,0,16,16,5.6,03/05/2021
"Gibbs-White  Morgan Gibbs-White (Wolverhampton Wanderers, Midfielder)",WOL,4.5,10,1,0,1,0,0,0,0,0,4,4,2.5,03/05/2021
"Kilman  Max Kilman (Wolverhampton Wanderers, Defender)",WOL,4.5,8,2,0,1,0,0,0,0,0,5,5,1.6,03/05/2021
"Vitor Ferreira  Vitor Machado Ferreira (Wolverhampton Wanderers, Midfielder)",WOL,4.7,80,5,1,0,6,0,0,4,3,17,17,4.7,03/05/2021
"Otasowie  Owen Otasowie (Wolverhampton Wanderers, Midfielder)",WOL,4.5,71,5,1,0,0,0,0,0,2,5,5,14.2,03/05/2021
"Podence  Daniel Podence (Wolverhampton Wanderers, Midfielder)",WOL,5.5,19,2,0,0,0,0,0,1,0,3,3,6.3,03/05/2021
"Saiss  Romain Saiss (Wolverhampton Wanderers, Defender)",WOL,5.0,90,6,3,0,0,0,0,0,0,6,6,15.0,03/05/2021
"Semedo  Nelson Semedo (Wolverhampton Wanderers, Defender)",WOL,5.0,90,11,4,3,0,0,0,1,1,28,19,4.7,03/05/2021
"Fabio Silva  Fabio Daniel Soares Silva (Wolverhampton Wanderers, Forward)",WOL,6.0,90,1,2,0,0,0,0,0,0,28,4,22.5,03/05/2021
"Traoré  Adama Traoré (Wolverhampton Wanderers, Midfielder)",WOL,6.0,90,5,1,0,0,1,0,2,3,0,0,0.0,03/05/2021
"Ruben Neves  Rúben Diogo da Silva Neves (Wolverhampton Wanderers, Midfielder)",WOL,5.5,90,14,3,2,4,1,0,3,0,16,16,5.6,03/05/2021
"Rui Patrício  Rui Pedro dos Santos Patrício (Wolverhampton Wanderers, Goalkeeper)",WOL,5.0,90,9,0,0,0,0,0,0,0,13,13,6.9,03/05/2021
