Name,Team,Cost,A,xA,Δ,Mins/xA,G,xG,Δ.1,Mins/xG,xGI,Δ.2,Mins/xGI,date
"Willian  Willian Borges Da Silva (Arsenal, Midfielder)",ARS,6.5,0,0.12,-0.12,750.0,1,0.1,0.9,900.0,0.22,0.78,409.1,09/05/2021
"Dani Ceballos  Daniel Ceballos Fernández (Arsenal, Midfielder)",ARS,4.7,0,0.06,-0.06,1266.7,0,0.0,0.0,inf,0.06,-0.06,1266.7,09/05/2021
"Chambers  Calum Chambers (Arsenal, Defender)",ARS,4.5,1,0.01,0.99,9000.0,0,0.1,-0.1,900.0,0.11,0.89,818.2,09/05/2021
"Elneny  Mohamed Elneny (Arsenal, Midfielder)",ARS,4.5,0,0.03,-0.03,3000.0,0,0.03,-0.03,3000.0,0.06,-0.06,1500.0,09/05/2021
"Holding  Rob Holding (Arsenal, Defender)",ARS,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,09/05/2021
"Lacazette  Alexandre Lacazette (Arsenal, Forward)",ARS,8.5,0,0.01,-0.01,3000.0,0,0.0,0.0,inf,0.01,-0.01,3000.0,09/05/2021
"Leno  Bernd Leno (Arsenal, Goalkeeper)",ARS,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,09/05/2021
"Gabriel Martinelli  Gabriel Teodoro Martinelli Silva (Arsenal, Midfielder)",ARS,5.5,0,0.25,-0.25,240.0,0,0.07,-0.07,857.1,0.32,-0.32,187.5,09/05/2021
"Partey  Thomas Partey (Arsenal, Midfielder)",ARS,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,09/05/2021
"Pepe  Nicolas Pepe (Arsenal, Midfielder)",ARS,7.5,0,0.04,-0.04,2250.0,1,0.17,0.83,529.4,0.21,0.79,428.6,09/05/2021
"Saka  Bukayo Saka (Arsenal, Midfielder)",ARS,6.5,1,0.25,0.75,360.0,0,0.05,-0.05,1800.0,0.3,0.7,300.0,09/05/2021
"Smith-Rowe  Emile Smith-Rowe (Arsenal, Midfielder)",ARS,5.5,0,0.01,-0.01,6300.0,1,0.36,0.64,175.0,0.37,0.63,170.3,09/05/2021
"Tierney  Kieran Tierney (Arsenal, Defender)",ARS,5.0,0,0.01,-0.01,2700.0,0,0.0,0.0,inf,0.01,-0.01,2700.0,09/05/2021
"Gabriel Magalhães  Gabriel dos Santos Magalhães (Arsenal, Defender)",ARS,5.0,0,0.01,-0.01,9000.0,0,0.07,-0.07,1285.7,0.08,-0.08,1125.0,09/05/2021
"Ajayi  Semi Ajayi (West Bromwich Albion, Defender)",WBA,4.8,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,09/05/2021
"Bartley  Kyle Bartley (West Bromwich Albion, Defender)",WBA,4.4,0,0.0,0.0,inf,0,0.02,-0.02,4500.0,0.02,-0.02,4500.0,09/05/2021
"Matheus Pereira  Matheus Fellipe Costa Pereira (West Bromwich Albion, Midfielder)",WBA,5.4,0,0.41,-0.41,219.5,1,0.21,0.79,428.6,0.62,0.38,145.2,09/05/2021
"Diagne  Mbaye Diagne (West Bromwich Albion, Forward)",WBA,6.0,0,0.0,0.0,inf,0,0.7,-0.7,80.0,0.7,-0.7,80.0,09/05/2021
"Diangana  Grady Diangana (West Bromwich Albion, Midfielder)",WBA,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,09/05/2021
"Furlong  Darnell Furlong (West Bromwich Albion, Defender)",WBA,4.5,0,0.01,-0.01,9000.0,0,0.47,-0.47,191.5,0.48,-0.48,187.5,09/05/2021
"Gallagher  Conor Gallagher (West Bromwich Albion, Midfielder)",WBA,5.5,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,09/05/2021
"Johnstone  Sam Johnstone (West Bromwich Albion, Goalkeeper)",WBA,4.6,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,09/05/2021
"Phillips (Matthew)  Matthew Phillips (West Bromwich Albion, Midfielder)",WBA,5.1,0,0.28,-0.28,321.4,0,0.02,-0.02,4500.0,0.3,-0.3,300.0,09/05/2021
"Robinson (Callum)  Callum Robinson (West Bromwich Albion, Forward)",WBA,5.2,0,0.0,0.0,inf,0,0.37,-0.37,183.8,0.37,-0.37,183.8,09/05/2021
"Robson-Kanu  Hal Robson-Kanu (West Bromwich Albion, Forward)",WBA,5.2,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,09/05/2021
"Townsend (Conor)  Conor Townsend (West Bromwich Albion, Defender)",WBA,4.4,1,0.18,0.82,500.0,0,0.0,0.0,inf,0.18,0.82,500.0,09/05/2021
"Yokuslu  Okay Yokuslu (West Bromwich Albion, Midfielder)",WBA,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,09/05/2021
