Name,Team,Cost,Starts,Mins,On,Off,G,A,FA,TA,CS,GC,OG,PL YC,PL RC,Vs,GW,date,Position,Home
"Barkley  Ross Barkley (Aston Villa, Midfielder)",AVL,5.5,1,65,0,1,0,0,0,0,1,0,0,0,0,EVE,35,13/05/2021,MID,True
"Cash  Matthew Cash (Aston Villa, Defender)",AVL,5.0,1,47,0,1,0,0,0,0,0,0,0,0,0,EVE,35,13/05/2021,DEF,True
"Davis (Keinan)  Keinan Davis (Aston Villa, Forward)",AVL,4.5,1,90,0,0,0,0,0,0,1,0,0,0,0,EVE,35,13/05/2021,FWD,True
"El Ghazi  Anwar El Ghazi (Aston Villa, Midfielder)",AVL,6.0,1,90,0,0,0,0,0,0,1,0,0,0,0,EVE,35,13/05/2021,MID,True
"Elmohamady  Ahmed Elmohamady (Aston Villa, Defender)",AVL,4.2,0,43,1,0,0,0,0,0,0,0,0,0,0,EVE,35,13/05/2021,DEF,True
"Grealish  Jack Grealish (Aston Villa, Midfielder)",AVL,8.0,0,18,1,0,0,0,0,0,0,0,0,0,0,EVE,35,13/05/2021,MID,True
"Konsa Ngoyo  Ezri Konsa Ngoyo (Aston Villa, Defender)",AVL,5.0,1,90,0,0,0,0,0,0,1,0,0,0,0,EVE,35,13/05/2021,DEF,True
"Martinez  Emiliano Martinez (Aston Villa, Goalkeeper)",AVL,5.5,1,90,0,0,0,0,0,0,1,0,0,0,0,EVE,35,13/05/2021,GKP,True
"McGinn  John McGinn (Aston Villa, Midfielder)",AVL,6.0,1,90,0,0,0,0,0,0,1,0,0,1,0,EVE,35,13/05/2021,MID,True
"Mings  Tyrone Mings (Aston Villa, Defender)",AVL,5.0,1,90,0,0,0,0,0,0,1,0,0,0,0,EVE,35,13/05/2021,DEF,True
"Jacob Ramsey  Jacob Ramsey (Aston Villa, Midfielder)",AVL,4.5,0,25,1,0,0,0,0,0,0,0,0,0,0,EVE,35,13/05/2021,MID,True
"Douglas Luiz  Douglas Luiz Soares de Paulo (Aston Villa, Midfielder)",AVL,4.5,1,90,0,0,0,0,0,0,1,0,0,0,0,EVE,35,13/05/2021,MID,True
"Targett  Matt Targett (Aston Villa, Defender)",AVL,5.0,1,90,0,0,0,0,0,0,1,0,0,0,0,EVE,35,13/05/2021,DEF,True
"Traore (Bertrand)  Bertrand Traore (Aston Villa, Midfielder)",AVL,6.0,1,72,0,1,0,0,0,0,1,0,0,1,0,EVE,35,13/05/2021,MID,True
"Calvert-Lewin  Dominic Calvert-Lewin (Everton, Forward)",EVE,8.0,1,90,0,0,0,0,0,0,1,0,0,0,0,AVL,35,13/05/2021,FWD,False
"Coleman  Seamus Coleman (Everton, Defender)",EVE,5.0,1,75,0,1,0,0,0,0,1,0,0,0,0,AVL,35,13/05/2021,DEF,False
"Digne  Lucas Digne (Everton, Defender)",EVE,5.5,1,90,0,0,0,0,0,0,1,0,0,0,0,AVL,35,13/05/2021,DEF,False
"Doucouré  Abdoulaye Doucouré (Everton, Midfielder)",EVE,5.5,1,90,0,0,0,0,0,0,1,0,0,0,0,AVL,35,13/05/2021,MID,False
"Godfrey  Ben Godfrey (Everton, Defender)",EVE,5.0,1,90,0,0,0,0,0,0,1,0,0,0,0,AVL,35,13/05/2021,DEF,False
"Holgate  Mason Holgate (Everton, Defender)",EVE,4.5,1,90,0,0,0,0,0,0,1,0,0,0,0,AVL,35,13/05/2021,DEF,False
"Iwobi  Alex Iwobi (Everton, Midfielder)",EVE,6.0,0,15,1,0,0,0,0,0,0,0,0,0,0,AVL,35,13/05/2021,MID,False
"Keane  Michael Keane (Everton, Defender)",EVE,5.0,1,90,0,0,0,0,0,0,1,0,0,0,0,AVL,35,13/05/2021,DEF,False
"Allan  Allan Marques Loureiro (Everton, Midfielder)",EVE,4.5,1,90,0,0,0,0,0,0,1,0,0,0,0,AVL,35,13/05/2021,MID,False
"Pickford  Jordan Pickford (Everton, Goalkeeper)",EVE,5.0,1,90,0,0,0,0,0,0,1,0,0,0,0,AVL,35,13/05/2021,GKP,False
"Sigurdsson  Gylfi Sigurdsson (Everton, Midfielder)",EVE,7.0,1,67,0,1,0,0,0,0,1,0,0,1,0,AVL,35,13/05/2021,MID,False
"André Gomes  André Filipe Tavares Gomes (Everton, Midfielder)",EVE,5.0,0,23,1,0,0,0,0,0,0,0,0,0,0,AVL,35,13/05/2021,MID,False
"Richarlison  Richarlison de Andrade (Everton, Forward)",EVE,7.5,1,90,0,0,0,0,0,0,1,0,0,0,0,AVL,35,13/05/2021,FWD,False
