Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Barkley  Ross Barkley (Aston Villa, Midfielder)",AVL,5.5,77,4,1,0,2,0,0,1,1,8,8,9.6,09/05/2021
"Cash  Matthew Cash (Aston Villa, Defender)",AVL,5.0,90,6,5,0,2,1,0,0,1,13,13,6.9,09/05/2021
"Davis (Keinan)  Keinan Davis (Aston Villa, Forward)",AVL,4.5,13,0,0,0,0,0,0,1,0,4,4,3.3,09/05/2021
"El Ghazi  Anwar El Ghazi (Aston Villa, Midfielder)",AVL,6.0,78,4,1,0,0,0,0,0,1,2,2,39.0,09/05/2021
"Konsa Ngoyo  Ezri Konsa Ngoyo (Aston Villa, Defender)",AVL,5.0,90,3,12,0,6,0,0,0,1,20,20,4.5,09/05/2021
"Martinez  Emiliano Martinez (Aston Villa, Goalkeeper)",AVL,5.5,90,14,0,0,0,0,0,0,0,18,18,5.0,09/05/2021
"McGinn  John McGinn (Aston Villa, Midfielder)",AVL,6.0,90,6,1,0,4,0,0,2,1,8,8,11.3,09/05/2021
"Mings  Tyrone Mings (Aston Villa, Defender)",AVL,5.0,90,6,6,1,4,0,0,0,0,17,17,5.3,09/05/2021
"Wesley  Wesley Moraes Ferreira da Silva (Aston Villa, Forward)",AVL,5.5,12,0,0,0,0,0,0,0,0,3,3,4.0,09/05/2021
"Jacob Ramsey  Jacob Ramsey (Aston Villa, Midfielder)",AVL,4.5,25,0,1,0,0,0,0,0,1,2,2,12.5,09/05/2021
"Douglas Luiz  Douglas Luiz Soares de Paulo (Aston Villa, Midfielder)",AVL,4.5,65,5,2,0,0,0,0,0,0,3,3,21.7,09/05/2021
"Targett  Matt Targett (Aston Villa, Defender)",AVL,5.0,90,5,4,0,2,1,0,3,1,16,16,5.6,09/05/2021
"Traore (Bertrand)  Bertrand Traore (Aston Villa, Midfielder)",AVL,6.0,90,4,2,0,0,0,0,0,0,22,4,22.5,09/05/2021
"Watkins  Ollie Watkins (Aston Villa, Forward)",AVL,7.5,89,1,1,0,0,0,0,0,1,-12,-12,0.0,09/05/2021
"Bailly  Eric Bailly (Manchester United, Defender)",MUN,5.0,12,2,2,0,0,0,0,0,0,4,4,3.0,09/05/2021
"Bruno Fernandes  Bruno Miguel Borges Fernandes (Manchester United, Midfielder)",MUN,12.0,86,4,4,0,4,1,0,3,0,29,11,7.8,09/05/2021
"Cavani  Edinson Cavani (Manchester United, Forward)",MUN,8.5,25,0,1,0,0,0,0,0,0,26,2,12.5,09/05/2021
"Greenwood (Mason)  Mason Greenwood (Manchester United, Midfielder)",MUN,7.5,65,3,0,0,2,0,0,0,2,29,8,8.1,09/05/2021
"Henderson (Dean)  Dean Henderson (Manchester United, Goalkeeper)",MUN,5.0,90,11,1,0,0,0,0,0,0,19,19,4.7,09/05/2021
"Maguire (Harry)  Harry Maguire (Manchester United, Defender)",MUN,5.5,78,3,6,0,4,0,0,1,0,10,10,7.8,09/05/2021
"Matic  Nemanja Matic (Manchester United, Midfielder)",MUN,4.5,4,1,0,1,0,0,0,0,0,5,5,0.8,09/05/2021
"McTominay  Scott McTominay (Manchester United, Midfielder)",MUN,5.5,90,4,4,1,6,0,0,0,1,16,16,5.6,09/05/2021
"Lindelof  Victor Nilsson-Lindelof (Manchester United, Defender)",MUN,5.0,90,6,8,0,4,0,0,0,0,15,15,6.0,09/05/2021
"Pogba  Paul Pogba (Manchester United, Midfielder)",MUN,7.5,90,3,2,0,2,0,0,2,1,16,7,12.9,09/05/2021
"Rashford  Marcus Rashford (Manchester United, Midfielder)",MUN,9.5,90,2,0,0,4,2,1,4,0,24,15,6.0,09/05/2021
"Fred  Frederico Rodrigues de Paula Santos (Manchester United, Midfielder)",MUN,5.0,90,12,1,3,6,0,0,1,2,22,22,4.1,09/05/2021
"Shaw  Luke Shaw (Manchester United, Defender)",MUN,5.5,90,5,1,1,4,0,0,3,2,12,12,7.5,09/05/2021
"Wan-Bissaka  Aaron Wan-Bissaka (Manchester United, Defender)",MUN,5.5,90,7,3,0,6,0,0,1,1,24,15,6.0,09/05/2021
