Name,Team,Cost,A,xA,Δ,Mins/xA,G,xG,Δ.1,Mins/xG,xGI,Δ.2,Mins/xGI,date
"Aubameyang  Pierre-Emerick Aubameyang (Arsenal, Midfielder)",ARS,10.0,1,0.35,0.65,225.7,0,0.0,0.0,inf,0.35,0.65,225.7,12/05/2021
"Bellerín  Héctor Bellerín (Arsenal, Defender)",ARS,5.0,0,0.03,-0.03,733.3,0,0.06,-0.06,366.7,0.09,-0.09,244.4,12/05/2021
"Chambers  Calum Chambers (Arsenal, Defender)",ARS,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,12/05/2021
"Elneny  Mohamed Elneny (Arsenal, Midfielder)",ARS,4.5,0,0.02,-0.02,4500.0,0,0.0,0.0,inf,0.02,-0.02,4500.0,12/05/2021
"Holding  Rob Holding (Arsenal, Defender)",ARS,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,12/05/2021
"Lacazette  Alexandre Lacazette (Arsenal, Forward)",ARS,8.5,0,0.01,-0.01,1100.0,0,0.0,0.0,inf,0.01,-0.01,1100.0,12/05/2021
"Leno  Bernd Leno (Arsenal, Goalkeeper)",ARS,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,12/05/2021
"Marí  Pablo Marí (Arsenal, Defender)",ARS,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,12/05/2021
"Odegaard  Martin Odegaard (Arsenal, Midfielder)",ARS,5.6,0,0.04,-0.04,2250.0,0,0.07,-0.07,1285.7,0.11,-0.11,818.2,12/05/2021
"Partey  Thomas Partey (Arsenal, Midfielder)",ARS,5.0,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,12/05/2021
"Saka  Bukayo Saka (Arsenal, Midfielder)",ARS,6.5,0,0.01,-0.01,6600.0,0,0.0,0.0,inf,0.01,-0.01,6600.0,12/05/2021
"Smith-Rowe  Emile Smith-Rowe (Arsenal, Midfielder)",ARS,5.5,0,0.01,-0.01,9000.0,1,0.49,0.51,183.7,0.5,0.5,180.0,12/05/2021
"Tierney  Kieran Tierney (Arsenal, Defender)",ARS,5.0,0,0.04,-0.04,2250.0,0,0.02,-0.02,4500.0,0.06,-0.06,1500.0,12/05/2021
"Gabriel Magalhães  Gabriel dos Santos Magalhães (Arsenal, Defender)",ARS,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,12/05/2021
"Kepa  Kepa Arrizabalaga Revuelta (Chelsea, Goalkeeper)",CHE,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,12/05/2021
"Azpilicueta  César Azpilicueta (Chelsea, Defender)",CHE,6.0,0,0.05,-0.05,1560.0,0,0.0,0.0,inf,0.05,-0.05,1560.0,12/05/2021
"Chilwell  Benjamin Chilwell (Chelsea, Defender)",CHE,6.0,0,0.03,-0.03,3000.0,0,0.0,0.0,inf,0.03,-0.03,3000.0,12/05/2021
"Jorginho  Jorge Luiz Frello Filho (Chelsea, Midfielder)",CHE,6.0,0,0.06,-0.06,1500.0,0,0.0,0.0,inf,0.06,-0.06,1500.0,12/05/2021
"Gilmour  Billy Gilmour (Chelsea, Midfielder)",CHE,4.5,0,0.03,-0.03,1500.0,0,0.0,0.0,inf,0.03,-0.03,1500.0,12/05/2021
"Giroud  Olivier Giroud (Chelsea, Forward)",CHE,6.5,0,0.01,-0.01,2500.0,0,0.56,-0.56,44.6,0.57,-0.57,43.9,12/05/2021
"Havertz  Kai Havertz (Chelsea, Midfielder)",CHE,8.5,0,0.08,-0.08,812.5,0,0.49,-0.49,132.7,0.57,-0.57,114.0,12/05/2021
"Hudson-Odoi  Callum Hudson-Odoi (Chelsea, Midfielder)",CHE,5.5,0,0.09,-0.09,500.0,0,0.05,-0.05,900.0,0.14,-0.14,321.4,12/05/2021
"James (Reece)  Reece James (Chelsea, Defender)",CHE,5.5,0,0.14,-0.14,642.9,0,0.0,0.0,inf,0.14,-0.14,642.9,12/05/2021
"Mount  Mason Mount (Chelsea, Midfielder)",CHE,7.5,0,0.26,-0.26,346.2,0,0.22,-0.22,409.1,0.48,-0.48,187.5,12/05/2021
"Pulisic  Christian Pulisic (Chelsea, Midfielder)",CHE,8.0,0,0.19,-0.19,473.7,0,0.26,-0.26,346.2,0.45,-0.45,200.0,12/05/2021
"Ziyech  Hakim Ziyech (Chelsea, Midfielder)",CHE,7.5,0,0.07,-0.07,171.4,0,0.03,-0.03,400.0,0.1,-0.1,120.0,12/05/2021
"Zouma  Kurt Zouma (Chelsea, Defender)",CHE,5.5,0,0.31,-0.31,290.3,0,0.15,-0.15,600.0,0.46,-0.46,195.7,12/05/2021
"Thiago Silva  Thiago Emiliano da Silva (Chelsea, Defender)",CHE,5.5,0,0.05,-0.05,1800.0,0,0.04,-0.04,2250.0,0.09,-0.09,1000.0,12/05/2021
