Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Barnes (Ashley)  Ashley Barnes (Burnley, Forward)",BUR,5.5,4,0,0,0,0,0,0,0,0,1,1,4.0,10/05/2021
"Brownhill  Josh Brownhill (Burnley, Midfielder)",BUR,4.5,90,9,5,1,0,0,0,1,0,18,9,10.0,10/05/2021
"Cork  Jack Cork (Burnley, Midfielder)",BUR,4.5,90,4,5,1,0,0,0,0,0,9,9,10.0,10/05/2021
"Lowton  Matthew Lowton (Burnley, Defender)",BUR,4.5,90,8,12,0,0,1,0,1,2,27,15,6.0,10/05/2021
"McNeil  Dwight McNeil (Burnley, Midfielder)",BUR,6.0,90,11,0,0,0,0,0,3,1,10,10,9.0,10/05/2021
"Mee  Ben Mee (Burnley, Defender)",BUR,5.0,90,7,6,0,0,0,0,1,0,24,12,7.5,10/05/2021
"Pope  Nick Pope (Burnley, Goalkeeper)",BUR,5.5,90,8,2,0,0,0,0,0,0,28,16,5.6,10/05/2021
"Rodriguez  Jay Rodriguez (Burnley, Forward)",BUR,5.5,23,2,0,0,0,0,0,0,0,-1,-1,0.0,10/05/2021
"Tarkowski  James Tarkowski (Burnley, Defender)",BUR,5.0,90,7,13,3,0,0,1,1,0,34,22,4.1,10/05/2021
"Taylor (Charlie)  Charlie Taylor (Burnley, Defender)",BUR,4.5,90,5,8,0,0,1,1,1,1,29,17,5.3,10/05/2021
"Vydra  Matej Vydra (Burnley, Forward)",BUR,5.5,67,1,2,0,0,0,1,1,0,16,7,9.6,10/05/2021
"Westwood  Ashley Roy Westwood (Burnley, Midfielder)",BUR,5.5,90,5,2,0,0,0,0,0,0,29,8,11.3,10/05/2021
"Wood  Chris Wood (Burnley, Forward)",BUR,7.0,86,3,2,0,0,0,0,2,1,22,-2,0.0,10/05/2021
"Tosin  Oluwatosin Adarabioyo (Fulham, Defender)",FUL,4.5,74,3,8,0,4,0,0,0,0,15,15,4.9,10/05/2021
"Andersen  Joachim Andersen (Fulham, Defender)",FUL,4.5,90,9,8,1,0,0,0,0,0,13,13,6.9,10/05/2021
"Areola  Alphonse Areola (Fulham, Goalkeeper)",FUL,5.0,90,13,0,0,0,0,0,0,0,16,16,5.6,10/05/2021
"Cavaleiro  Ivan Cavaleiro (Fulham, Midfielder)",FUL,5.3,90,4,1,1,0,3,0,6,3,16,16,5.6,10/05/2021
"DeCordova-Reid  Bobby DeCordova-Reid (Fulham, Forward)",FUL,5.3,66,1,1,0,0,0,0,1,0,3,3,22.0,10/05/2021
"Lemina  Mario Lemina (Fulham, Midfielder)",FUL,4.5,90,12,1,0,2,0,0,0,1,9,9,10.0,10/05/2021
"Loftus-Cheek  Ruben Loftus-Cheek (Fulham, Midfielder)",FUL,5.5,16,1,0,0,0,0,0,0,0,1,1,16.0,10/05/2021
"Lookman  Ademola Lookman (Fulham, Midfielder)",FUL,4.7,90,5,2,0,4,0,0,1,1,6,6,15.0,10/05/2021
"Maja  Josh Maja (Fulham, Forward)",FUL,5.0,36,5,1,0,0,0,0,0,0,0,0,0.0,10/05/2021
"Mitrovic  Aleksandar Mitrovic (Fulham, Forward)",FUL,5.5,90,0,1,0,0,1,0,1,0,4,4,22.5,10/05/2021
"Onomah  Josh Onomah (Fulham, Midfielder)",FUL,4.6,24,1,0,1,0,0,0,1,0,4,4,6.0,10/05/2021
"Robinson (Antonee)  Antonee Robinson (Fulham, Defender)",FUL,4.4,90,5,2,0,2,2,0,3,4,18,18,5.0,10/05/2021
"Tete  Kenny Tete (Fulham, Defender)",FUL,4.3,54,2,1,1,0,0,0,1,3,6,6,9.0,10/05/2021
"Zambo Anguissa  André-Frank Zambo Anguissa (Fulham, Midfielder)",FUL,4.4,90,10,1,0,4,0,0,1,3,7,7,12.9,10/05/2021
