Name,Team,Cost,A,xA,Δ,Mins/xA,G,xG,Δ.1,Mins/xG,xGI,Δ.2,Mins/xGI,date
"Barnes (Ashley)  Ashley Barnes (Burnley, Forward)",BUR,5.5,0,0.0,0.0,inf,0,0.05,-0.05,80.0,0.05,-0.05,80.0,10/05/2021
"Brownhill  Josh Brownhill (Burnley, Midfielder)",BUR,4.5,1,0.04,0.96,2250.0,0,0.06,-0.06,1500.0,0.1,0.9,900.0,10/05/2021
"Cork  Jack Cork (Burnley, Midfielder)",BUR,4.5,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,10/05/2021
"Lowton  Matthew Lowton (Burnley, Defender)",BUR,4.5,0,0.06,-0.06,1500.0,0,0.03,-0.03,3000.0,0.09,-0.09,1000.0,10/05/2021
"McNeil  Dwight McNeil (Burnley, Midfielder)",BUR,6.0,0,0.28,-0.28,321.4,0,0.0,0.0,inf,0.28,-0.28,321.4,10/05/2021
"Mee  Ben Mee (Burnley, Defender)",BUR,5.0,0,0.03,-0.03,3000.0,0,0.08,-0.08,1125.0,0.11,-0.11,818.2,10/05/2021
"Pope  Nick Pope (Burnley, Goalkeeper)",BUR,5.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,10/05/2021
"Rodriguez  Jay Rodriguez (Burnley, Forward)",BUR,5.5,0,0.0,0.0,inf,0,0.06,-0.06,383.3,0.06,-0.06,383.3,10/05/2021
"Tarkowski  James Tarkowski (Burnley, Defender)",BUR,5.0,0,0.05,-0.05,1800.0,0,0.15,-0.15,600.0,0.2,-0.2,450.0,10/05/2021
"Taylor (Charlie)  Charlie Taylor (Burnley, Defender)",BUR,4.5,0,0.1,-0.1,900.0,0,0.0,0.0,inf,0.1,-0.1,900.0,10/05/2021
"Vydra  Matej Vydra (Burnley, Forward)",BUR,5.5,1,0.06,0.94,1116.7,0,0.09,-0.09,744.4,0.15,0.85,446.7,10/05/2021
"Westwood  Ashley Roy Westwood (Burnley, Midfielder)",BUR,5.5,0,0.01,-0.01,9000.0,1,0.48,0.52,187.5,0.49,0.51,183.7,10/05/2021
"Wood  Chris Wood (Burnley, Forward)",BUR,7.0,0,0.14,-0.14,614.3,1,0.68,0.32,126.5,0.82,0.18,104.9,10/05/2021
"Tosin  Oluwatosin Adarabioyo (Fulham, Defender)",FUL,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,10/05/2021
"Andersen  Joachim Andersen (Fulham, Defender)",FUL,4.5,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,10/05/2021
"Areola  Alphonse Areola (Fulham, Goalkeeper)",FUL,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,10/05/2021
"Cavaleiro  Ivan Cavaleiro (Fulham, Midfielder)",FUL,5.3,0,0.26,-0.26,346.2,0,0.05,-0.05,1800.0,0.31,-0.31,290.3,10/05/2021
"DeCordova-Reid  Bobby DeCordova-Reid (Fulham, Forward)",FUL,5.3,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,10/05/2021
"Lemina  Mario Lemina (Fulham, Midfielder)",FUL,4.5,0,0.04,-0.04,2250.0,0,0.05,-0.05,1800.0,0.09,-0.09,1000.0,10/05/2021
"Loftus-Cheek  Ruben Loftus-Cheek (Fulham, Midfielder)",FUL,5.5,0,0.01,-0.01,1600.0,0,0.04,-0.04,400.0,0.05,-0.05,320.0,10/05/2021
"Lookman  Ademola Lookman (Fulham, Midfielder)",FUL,4.7,0,0.16,-0.16,562.5,0,0.19,-0.19,473.7,0.35,-0.35,257.1,10/05/2021
"Maja  Josh Maja (Fulham, Forward)",FUL,5.0,0,0.04,-0.04,900.0,0,0.05,-0.05,720.0,0.09,-0.09,400.0,10/05/2021
"Mitrovic  Aleksandar Mitrovic (Fulham, Forward)",FUL,5.5,0,0.07,-0.07,1285.7,0,0.3,-0.3,300.0,0.37,-0.37,243.2,10/05/2021
"Onomah  Josh Onomah (Fulham, Midfielder)",FUL,4.6,0,0.02,-0.02,1200.0,0,0.06,-0.06,400.0,0.08,-0.08,300.0,10/05/2021
"Robinson (Antonee)  Antonee Robinson (Fulham, Defender)",FUL,4.4,0,0.14,-0.14,642.9,0,0.0,0.0,inf,0.14,-0.14,642.9,10/05/2021
"Tete  Kenny Tete (Fulham, Defender)",FUL,4.3,0,0.01,-0.01,5400.0,0,0.06,-0.06,900.0,0.07,-0.07,771.4,10/05/2021
"Zambo Anguissa  André-Frank Zambo Anguissa (Fulham, Midfielder)",FUL,4.4,0,0.15,-0.15,600.0,0,0.25,-0.25,360.0,0.4,-0.4,225.0,10/05/2021
