Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Albrighton  Marc Albrighton (Leicester City, Midfielder)",LEI,5.5,90,5,2,1,2,2,0,5,1,35,17,5.3,07/05/2021
"Ricardo Pereira  Ricardo Domingos Barbosa Pereira (Leicester City, Defender)",LEI,5.5,69,5,2,1,4,0,0,0,0,11,11,6.3,07/05/2021
"Castagne  Timothy Castagne (Leicester City, Defender)",LEI,5.5,90,7,4,1,6,0,0,0,1,16,16,5.6,07/05/2021
"Fofana  Wesley Fofana (Leicester City, Defender)",LEI,4.5,90,14,8,1,4,0,0,1,0,16,16,5.6,07/05/2021
"Iheanacho  Kelechi Iheanacho (Leicester City, Forward)",LEI,7.5,90,1,0,0,4,1,0,3,6,36,12,7.5,07/05/2021
"Maddison  James Maddison (Leicester City, Midfielder)",LEI,7.0,77,4,1,0,4,0,1,2,4,19,19,4.1,07/05/2021
"Mendy (Nampalys)  Nampalys Mendy (Leicester City, Midfielder)",LEI,4.5,13,2,0,2,0,0,0,0,0,7,7,1.9,07/05/2021
"Ndidi  Onyinye Wilfred Ndidi (Leicester City, Midfielder)",LEI,5.0,63,5,4,0,6,0,0,0,0,12,12,5.3,07/05/2021
"Ayoze Pérez  Ayoze Pérez Gutiérrez (Leicester City, Midfielder)",LEI,6.0,27,2,0,0,0,0,0,2,0,9,0,0.0,07/05/2021
"Schmeichel  Kasper Schmeichel (Leicester City, Goalkeeper)",LEI,5.0,90,6,0,0,0,0,0,0,0,12,12,7.5,07/05/2021
"Söyüncü  Caglar Söyüncü (Leicester City, Defender)",LEI,5.0,90,5,7,0,4,2,0,0,0,10,10,9.0,07/05/2021
"Thomas (Luke)  Luke Thomas (Leicester City, Defender)",LEI,4.5,21,1,0,0,0,1,1,3,1,10,10,2.1,07/05/2021
"Tielemans  Youri Tielemans (Leicester City, Midfielder)",LEI,6.5,90,2,0,0,4,1,1,3,0,15,15,6.0,07/05/2021
"Vardy  Jamie Vardy (Leicester City, Forward)",LEI,10.5,90,0,1,0,0,0,0,3,3,13,4,22.5,07/05/2021
"Almirón  Miguel Almirón (Newcastle United, Midfielder)",NEW,5.5,88,7,3,0,2,0,1,1,0,10,10,8.8,07/05/2021
"Joelinton  Joelinton Cássio Apolinário de Lira (Newcastle United, Forward)",NEW,6.0,6,1,0,0,0,0,0,0,0,2,2,3.0,07/05/2021
"Dubravka  Martin Dubravka (Newcastle United, Goalkeeper)",NEW,4.5,90,11,0,0,0,0,0,0,0,23,23,3.9,07/05/2021
"Dummett  Paul Dummett (Newcastle United, Defender)",NEW,4.5,90,1,13,0,0,0,0,0,0,23,11,8.2,07/05/2021
"Fernández  Federico Fernández (Newcastle United, Defender)",NEW,4.5,90,3,15,0,0,0,0,1,0,14,14,6.4,07/05/2021
"Hendrick  Jeff Hendrick (Newcastle United, Midfielder)",NEW,5.0,2,1,0,0,0,0,0,0,0,3,3,0.7,07/05/2021
"Krafth  Emil Krafth (Newcastle United, Defender)",NEW,4.5,90,2,7,0,0,0,0,0,0,4,4,22.5,07/05/2021
"Longstaff (Sean)  Sean Longstaff (Newcastle United, Midfielder)",NEW,4.5,13,0,1,0,0,0,0,0,0,3,3,4.3,07/05/2021
"Jacob Murphy  Jacob Murphy (Newcastle United, Midfielder)",NEW,5.0,90,6,3,0,0,0,0,0,1,9,9,10.0,07/05/2021
"Ritchie  Matt Ritchie (Newcastle United, Midfielder)",NEW,5.0,90,6,6,1,0,0,1,1,2,32,14,6.4,07/05/2021
"Saint-Maximin  Allan Saint-Maximin (Newcastle United, Midfielder)",NEW,6.5,84,3,0,1,0,0,0,1,5,8,8,10.5,07/05/2021
"Shelvey  Jonjo Shelvey (Newcastle United, Midfielder)",NEW,5.5,90,5,3,0,0,0,0,1,2,12,12,7.5,07/05/2021
"Willock  Joseph Willock (Newcastle United, Midfielder)",NEW,6.0,77,7,1,0,0,0,0,0,2,29,11,7.0,07/05/2021
"C Wilson  Callum Wilson (Newcastle United, Forward)",NEW,7.5,90,5,1,0,0,0,1,1,1,54,3,30.0,07/05/2021
