Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Thiago Alcántara  Thiago Alcántara do Nascimento (Liverpool, Midfielder)",LIV,5.5,90,7,0,0,6,0,0,0,1,31,13,6.9,08/05/2021
"Alexander-Arnold  Trent Alexander-Arnold (Liverpool, Defender)",LIV,7.5,90,3,2,0,4,2,1,5,0,30,18,5.0,08/05/2021
"Firmino  Roberto Firmino Barbosa de Oliveira (Liverpool, Forward)",LIV,9.0,11,1,0,0,0,0,0,1,0,12,3,3.7,08/05/2021
"Jones (Curtis)  Curtis Jones (Liverpool, Midfielder)",LIV,5.0,1,0,0,0,0,0,0,0,0,2,2,0.5,08/05/2021
"Mane  Sadio Mane (Liverpool, Midfielder)",LIV,12.0,89,2,0,2,4,0,2,3,4,40,19,4.7,08/05/2021
"Oxlade-Chamberlain  Alex Oxlade-Chamberlain (Liverpool, Midfielder)",LIV,6.0,3,0,0,0,0,0,0,0,0,3,3,1.0,08/05/2021
"Phillips (Nathaniel)  Nathaniel Phillips (Liverpool, Defender)",LIV,4.5,90,7,6,0,6,0,0,0,1,23,11,8.2,08/05/2021
"Alisson  Alisson Ramses Becker (Liverpool, Goalkeeper)",LIV,6.0,90,12,0,1,2,0,0,0,0,37,25,3.6,08/05/2021
"Robertson  Andrew Robertson (Liverpool, Defender)",LIV,7.0,90,7,3,0,4,0,0,1,0,24,12,7.5,08/05/2021
"Salah  Mohamed Salah (Liverpool, Midfielder)",LIV,12.5,87,1,2,0,0,2,1,2,1,16,7,12.4,08/05/2021
"Fabinho  Fabio Henrique Tavares (Liverpool, Midfielder)",LIV,5.5,90,7,6,0,6,0,0,0,0,14,14,6.4,08/05/2021
"Diogo Jota  Diogo José Teixeira da Silva (Liverpool, Midfielder)",LIV,7.5,79,3,2,1,0,0,0,0,2,5,5,15.8,08/05/2021
"Wijnaldum  Georginio Wijnaldum (Liverpool, Midfielder)",LIV,5.3,90,7,1,0,6,0,0,0,1,11,11,8.2,08/05/2021
"Rhys Williams  Rhys Williams (Liverpool, Defender)",LIV,4.5,90,8,2,0,6,0,0,0,0,27,15,6.0,08/05/2021
"Adams  Che Adams (Southampton, Forward)",SOU,7.0,79,2,0,0,0,1,0,0,1,1,1,79.0,08/05/2021
"Armstrong  Stuart Armstrong (Southampton, Midfielder)",SOU,6.0,90,7,0,0,4,0,0,0,2,13,13,6.9,08/05/2021
"Bednarek  Jan Bednarek (Southampton, Defender)",SOU,4.5,90,2,8,1,6,0,0,0,0,15,15,6.0,08/05/2021
"Diallo  Ibrahima Diallo (Southampton, Midfielder)",SOU,4.5,24,1,0,0,0,0,0,0,0,2,2,12.0,08/05/2021
"Djenepo  Moussa Djenepo (Southampton, Midfielder)",SOU,5.5,11,0,1,0,0,0,0,0,0,2,2,5.5,08/05/2021
"Forster  Fraser Forster (Southampton, Goalkeeper)",SOU,4.5,90,7,0,0,2,0,0,0,0,18,18,5.0,08/05/2021
"Obafemi  Michael Obafemi (Southampton, Forward)",SOU,4.5,24,0,0,0,0,0,0,1,0,3,3,8.0,08/05/2021
"Redmond  Nathan Redmond (Southampton, Midfielder)",SOU,6.0,90,5,2,0,4,1,1,2,3,13,13,6.9,08/05/2021
"Stephens (Jack)  Jack Stephens (Southampton, Defender)",SOU,4.5,90,6,4,0,4,0,0,0,0,11,11,8.2,08/05/2021
"Tella  Nathan Tella (Southampton, Midfielder)",SOU,5.0,66,3,0,0,0,0,1,2,1,5,5,13.2,08/05/2021
"Vestergaard  Jannik Vestergaard (Southampton, Defender)",SOU,5.0,90,5,6,0,4,0,0,0,0,13,13,6.9,08/05/2021
"Walcott  Theo Walcott (Southampton, Midfielder)",SOU,6.0,66,1,1,0,0,0,0,2,0,5,5,13.2,08/05/2021
"Walker-Peters  Kyle Walker-Peters (Southampton, Defender)",SOU,5.0,90,5,3,0,4,0,0,0,2,8,8,11.3,08/05/2021
"Ward-Prowse  James Ward-Prowse (Southampton, Midfielder)",SOU,6.5,90,7,1,1,4,0,0,2,0,16,16,5.6,08/05/2021
