Name,Team,Cost,A,xA,Δ,Mins/xA,G,xG,Δ.1,Mins/xG,xGI,Δ.2,Mins/xGI,date
"Jordan Ayew  Jordan Ayew (Crystal Palace, Forward)",CRY,6.0,0,0.0,0.0,inf,0,0.42,-0.42,35.7,0.42,-0.42,35.7,08/05/2021
"Benteke  Christian Benteke (Crystal Palace, Forward)",CRY,6.5,0,0.01,-0.01,9000.0,1,0.91,0.09,98.9,0.92,0.08,97.8,08/05/2021
"Cahill  Gary Cahill (Crystal Palace, Defender)",CRY,4.5,1,0.01,0.99,9000.0,0,0.12,-0.12,750.0,0.13,0.87,692.3,08/05/2021
"Eze  Eberechi Eze (Crystal Palace, Midfielder)",CRY,6.0,1,0.14,0.86,642.9,1,0.18,0.82,500.0,0.32,1.68,281.3,08/05/2021
"Guaita  Vicente Guaita (Crystal Palace, Goalkeeper)",CRY,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,08/05/2021
"Kouyaté  Cheikhou Kouyaté (Crystal Palace, Midfielder)",CRY,4.5,0,0.02,-0.02,4500.0,0,0.0,0.0,inf,0.02,-0.02,4500.0,08/05/2021
"Milivojevic  Luka Milivojevic (Crystal Palace, Midfielder)",CRY,5.5,0,0.15,-0.15,600.0,0,0.02,-0.02,4500.0,0.17,-0.17,529.4,08/05/2021
"Mitchell  Tyrick Mitchell (Crystal Palace, Defender)",CRY,4.5,0,0.03,-0.03,3000.0,0,0.0,0.0,inf,0.03,-0.03,3000.0,08/05/2021
"Riedewald  Jairo Riedewald (Crystal Palace, Midfielder)",CRY,5.0,0,0.01,-0.01,1900.0,0,0.0,0.0,inf,0.01,-0.01,1900.0,08/05/2021
"Schlupp  Jeffrey Schlupp (Crystal Palace, Midfielder)",CRY,5.5,0,0.14,-0.14,507.1,0,0.12,-0.12,591.7,0.26,-0.26,273.1,08/05/2021
"Townsend (Andros)  Andros Townsend (Crystal Palace, Midfielder)",CRY,5.5,0,0.25,-0.25,300.0,0,0.12,-0.12,625.0,0.37,-0.37,202.7,08/05/2021
"Ward (Joel)  Joel Ward (Crystal Palace, Defender)",CRY,4.5,0,0.07,-0.07,1285.7,0,0.0,0.0,inf,0.07,-0.07,1285.7,08/05/2021
"Zaha  Wilfried Zaha (Crystal Palace, Midfielder)",CRY,7.0,0,0.34,-0.34,264.7,0,0.15,-0.15,600.0,0.49,-0.49,183.7,08/05/2021
"Baldock  George Baldock (Sheffield United, Defender)",SHU,4.9,0,0.06,-0.06,1500.0,0,0.0,0.0,inf,0.06,-0.06,1500.0,08/05/2021
"Basham  Chris Basham (Sheffield United, Defender)",SHU,4.6,0,0.01,-0.01,9000.0,0,0.11,-0.11,818.2,0.12,-0.12,750.0,08/05/2021
"Berge  Sander Berge (Sheffield United, Midfielder)",SHU,4.9,0,0.01,-0.01,5900.0,0,0.0,0.0,inf,0.01,-0.01,5900.0,08/05/2021
"Bryan (Kean)  Kean Bryan (Sheffield United, Defender)",SHU,3.9,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,08/05/2021
"Oliver Burke  Oliver Burke (Sheffield United, Midfielder)",SHU,4.1,0,0.0,0.0,inf,0,0.05,-0.05,1300.0,0.05,-0.05,1300.0,08/05/2021
"Egan  John Egan (Sheffield United, Defender)",SHU,4.7,0,0.01,-0.01,9000.0,0,0.07,-0.07,1285.7,0.08,-0.08,1125.0,08/05/2021
"Fleck  John Fleck (Sheffield United, Midfielder)",SHU,5.6,0,0.02,-0.02,4500.0,0,0.0,0.0,inf,0.02,-0.02,4500.0,08/05/2021
"Jebbison  Daniel Jebbison (Sheffield United, Forward)",SHU,4.5,0,0.0,0.0,inf,0,0.29,-0.29,86.2,0.29,-0.29,86.2,08/05/2021
"Lundstram  John Lundstram (Sheffield United, Midfielder)",SHU,4.8,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,08/05/2021
"McGoldrick  David McGoldrick (Sheffield United, Forward)",SHU,5.2,0,0.01,-0.01,9000.0,0,0.1,-0.1,900.0,0.11,-0.11,818.2,08/05/2021
"Norwood  Oliver Norwood (Sheffield United, Midfielder)",SHU,4.5,0,0.07,-0.07,1285.7,0,0.05,-0.05,1800.0,0.12,-0.12,750.0,08/05/2021
"Osborn  Ben Osborn (Sheffield United, Midfielder)",SHU,4.7,0,0.18,-0.18,172.2,0,0.0,0.0,inf,0.18,-0.18,172.2,08/05/2021
"Ramsdale  Aaron Ramsdale (Sheffield United, Goalkeeper)",SHU,4.6,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,08/05/2021
"Stevens (Enda)  Enda Stevens (Sheffield United, Defender)",SHU,5.0,0,0.05,-0.05,1800.0,0,0.0,0.0,inf,0.05,-0.05,1800.0,08/05/2021
