Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Calvert-Lewin  Dominic Calvert-Lewin (Everton, Forward)",EVE,8.0,90,2,1,0,0,0,1,4,1,36,9,10.0,09/05/2021
"Coleman  Seamus Coleman (Everton, Defender)",EVE,5.0,90,8,4,2,0,0,0,0,1,23,11,8.2,09/05/2021
"Davies (Tom)  Tom Davies (Everton, Midfielder)",EVE,5.0,90,5,5,0,0,0,0,0,0,6,6,15.0,09/05/2021
"Delph  Fabian Delph (Everton, Midfielder)",EVE,4.5,5,1,0,0,0,0,0,0,1,3,3,1.7,09/05/2021
"Digne  Lucas Digne (Everton, Defender)",EVE,5.5,90,5,5,1,0,0,0,0,3,23,11,8.2,09/05/2021
"Godfrey  Ben Godfrey (Everton, Defender)",EVE,5.0,90,6,4,0,2,0,1,1,0,36,15,6.0,09/05/2021
"Holgate  Mason Holgate (Everton, Defender)",EVE,4.5,28,2,2,0,0,0,0,0,0,4,4,7.0,09/05/2021
"Keane  Michael Keane (Everton, Defender)",EVE,5.0,90,3,9,1,0,0,0,0,0,24,12,7.5,09/05/2021
"King (Joshua)  Joshua King (Everton, Forward)",EVE,5.5,6,1,0,0,0,0,0,0,1,-2,-2,0.0,09/05/2021
"Allan  Allan Marques Loureiro (Everton, Midfielder)",EVE,4.5,90,7,4,2,0,0,0,0,2,8,8,11.3,09/05/2021
"Mina  Yerry Mina (Everton, Defender)",EVE,5.0,62,1,8,0,6,0,0,0,0,26,14,4.4,09/05/2021
"Pickford  Jordan Pickford (Everton, Goalkeeper)",EVE,5.0,90,11,0,0,0,0,0,0,0,21,9,10.0,09/05/2021
"Sigurdsson  Gylfi Sigurdsson (Everton, Midfielder)",EVE,7.0,85,1,2,0,0,1,0,2,0,10,10,8.5,09/05/2021
"Richarlison  Richarlison de Andrade (Everton, Forward)",EVE,7.5,84,7,1,2,0,0,0,0,5,13,13,6.5,09/05/2021
"Antonio  Michail Antonio (West Ham United, Forward)",WHU,7.5,90,2,0,0,0,0,0,1,3,3,3,30.0,09/05/2021
"Benrahma  Said Benrahma (West Ham United, Midfielder)",WHU,6.0,73,1,0,0,4,0,0,0,2,4,4,18.3,09/05/2021
"Bowen  Jarrod Bowen (West Ham United, Midfielder)",WHU,6.5,47,0,0,0,0,0,0,0,1,-3,-3,0.0,09/05/2021
"Coufal  Vladimir Coufal (West Ham United, Defender)",WHU,5.0,90,7,1,1,4,2,0,2,0,14,14,6.4,09/05/2021
"Cresswell (Aaron)  Aaron Cresswell (West Ham United, Defender)",WHU,5.5,59,2,0,0,6,1,0,1,0,9,9,6.6,09/05/2021
"Dawson  Craig Dawson (West Ham United, Defender)",WHU,5.0,90,6,4,0,6,0,0,0,0,16,16,5.6,09/05/2021
"Diop  Issa Diop (West Ham United, Defender)",WHU,4.5,90,5,3,3,6,0,0,0,0,19,19,4.7,09/05/2021
"Fabianski  Lukasz Fabianski (West Ham United, Goalkeeper)",WHU,5.0,90,7,1,0,0,0,0,0,0,12,12,7.5,09/05/2021
"Fornals  Pablo Fornals (West Ham United, Midfielder)",WHU,6.0,90,7,1,1,6,2,1,3,1,23,23,3.9,09/05/2021
"Fredericks  Ryan Fredericks (West Ham United, Defender)",WHU,4.5,31,1,0,0,0,0,0,0,0,3,3,10.3,09/05/2021
"Lanzini  Manuel Lanzini (West Ham United, Midfielder)",WHU,6.0,43,6,0,0,6,1,0,0,0,10,10,4.3,09/05/2021
"Lingard  Jesse Lingard (West Ham United, Midfielder)",WHU,7.0,90,3,1,2,6,0,0,1,0,6,6,15.0,09/05/2021
"Soucek  Tomas Soucek (West Ham United, Midfielder)",WHU,6.0,90,10,5,0,4,0,0,0,0,9,9,10.0,09/05/2021
"Yarmolenko  Andriy Yarmolenko (West Ham United, Midfielder)",WHU,5.5,17,3,0,0,0,0,0,0,0,3,3,5.7,09/05/2021
