Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Alzate  Steven Alzate (Brighton and Hove Albion, Midfielder)",BHA,5.0,67,4,1,1,6,0,0,1,0,15,15,4.5,15/05/2021
"Bissouma  Yves Bissouma (Brighton and Hove Albion, Midfielder)",BHA,4.5,90,8,5,0,4,0,0,1,2,11,11,8.2,15/05/2021
"Burn  Dan Burn (Brighton and Hove Albion, Defender)",BHA,4.5,90,3,12,0,4,0,0,0,3,20,20,4.5,15/05/2021
"Groß  Pascal Groß (Brighton and Hove Albion, Midfielder)",BHA,6.0,90,9,1,0,2,1,0,0,0,12,12,7.5,15/05/2021
"Jahanbakhsh  Alireza Jahanbakhsh (Brighton and Hove Albion, Midfielder)",BHA,5.5,73,2,0,0,2,0,0,1,1,4,4,18.3,15/05/2021
"Lallana  Adam Lallana (Brighton and Hove Albion, Midfielder)",BHA,5.5,23,2,0,0,6,0,0,0,0,9,9,2.6,15/05/2021
"Moder  Jakub Moder (Brighton and Hove Albion, Midfielder)",BHA,4.5,90,4,2,0,2,0,0,0,0,8,8,11.3,15/05/2021
"Sanchez  Robert Sanchez (Brighton and Hove Albion, Goalkeeper)",BHA,4.5,90,7,0,0,4,0,0,0,0,14,14,6.4,15/05/2021
"Tau  Percy Tau (Brighton and Hove Albion, Forward)",BHA,4.9,17,0,0,0,0,0,1,2,0,17,8,2.1,15/05/2021
"Trossard  Leandro Trossard (Brighton and Hove Albion, Midfielder)",BHA,6.5,83,2,0,0,4,0,0,1,0,9,9,9.2,15/05/2021
"Webster  Adam Webster (Brighton and Hove Albion, Defender)",BHA,4.5,90,5,8,2,4,0,0,0,0,18,18,5.0,15/05/2021
"Welbeck  Danny Welbeck (Brighton and Hove Albion, Forward)",BHA,6.0,90,1,1,0,0,0,0,1,0,29,5,18.0,15/05/2021
"White (Ben)  Ben White (Brighton and Hove Albion, Defender)",BHA,4.5,90,8,5,0,4,0,0,0,1,14,14,6.4,15/05/2021
"Zeqiri  Andi Zeqiri (Brighton and Hove Albion, Forward)",BHA,5.0,7,0,0,0,0,0,0,0,0,3,3,2.3,15/05/2021
"Antonio  Michail Antonio (West Ham United, Forward)",WHU,7.5,90,2,1,0,2,0,0,0,4,1,1,90.0,15/05/2021
"Benrahma  Said Benrahma (West Ham United, Midfielder)",WHU,6.0,26,1,0,1,0,1,1,2,0,28,10,2.6,15/05/2021
"Bowen  Jarrod Bowen (West Ham United, Midfielder)",WHU,6.5,64,1,0,0,0,0,1,1,0,7,7,9.1,15/05/2021
"Coufal  Vladimir Coufal (West Ham United, Defender)",WHU,5.0,90,5,1,0,2,1,0,1,1,11,11,8.2,15/05/2021
"Cresswell (Aaron)  Aaron Cresswell (West Ham United, Defender)",WHU,5.5,90,6,1,0,4,2,1,4,0,20,20,4.5,15/05/2021
"Dawson  Craig Dawson (West Ham United, Defender)",WHU,5.0,90,5,6,0,6,0,0,0,0,11,11,8.2,15/05/2021
"Fabianski  Lukasz Fabianski (West Ham United, Goalkeeper)",WHU,5.0,90,8,2,0,0,0,0,0,0,11,11,8.2,15/05/2021
"Fornals  Pablo Fornals (West Ham United, Midfielder)",WHU,6.0,90,5,1,0,4,0,0,1,2,10,10,9.0,15/05/2021
"Lingard  Jesse Lingard (West Ham United, Midfielder)",WHU,7.0,90,3,0,0,4,1,0,2,3,15,15,6.0,15/05/2021
"Ogbonna  Angelo Ogbonna (West Ham United, Defender)",WHU,5.0,90,8,5,0,6,0,0,0,0,14,14,6.4,15/05/2021
"Rice  Declan Rice (West Ham United, Midfielder)",WHU,5.0,90,8,3,0,6,0,0,1,1,16,16,5.6,15/05/2021
"Soucek  Tomas Soucek (West Ham United, Midfielder)",WHU,6.0,90,8,3,1,6,0,0,1,3,18,18,5.0,15/05/2021
