Name,Team,Cost,Starts,Mins,On,Off,G,A,FA,TA,CS,GC,OG,PL YC,PL RC,Vs,GW,date,Position,Home
"Alzate  Steven Alzate (Brighton and Hove Albion, Midfielder)",BHA,5.0,1,67,0,1,0,0,0,0,1,0,0,0,0,WHU,36,15/05/2021,MID,True
"Bissouma  Yves Bissouma (Brighton and Hove Albion, Midfielder)",BHA,4.5,1,90,0,0,0,0,0,0,0,1,0,1,0,WHU,36,15/05/2021,MID,True
"Burn  Dan Burn (Brighton and Hove Albion, Defender)",BHA,4.5,1,90,0,0,0,0,0,0,0,1,0,0,0,WHU,36,15/05/2021,DEF,True
"Groß  Pascal Groß (Brighton and Hove Albion, Midfielder)",BHA,6.0,1,90,0,0,0,0,0,0,0,1,0,0,0,WHU,36,15/05/2021,MID,True
"Jahanbakhsh  Alireza Jahanbakhsh (Brighton and Hove Albion, Midfielder)",BHA,5.5,1,73,0,1,0,0,0,0,1,0,0,0,0,WHU,36,15/05/2021,MID,True
"Lallana  Adam Lallana (Brighton and Hove Albion, Midfielder)",BHA,5.5,0,23,1,0,0,0,0,0,0,1,0,0,0,WHU,36,15/05/2021,MID,True
"Moder  Jakub Moder (Brighton and Hove Albion, Midfielder)",BHA,4.5,1,90,0,0,0,0,0,0,0,1,0,0,0,WHU,36,15/05/2021,MID,True
"Sanchez  Robert Sanchez (Brighton and Hove Albion, Goalkeeper)",BHA,4.5,1,90,0,0,0,0,0,0,0,1,0,0,0,WHU,36,15/05/2021,GKP,True
"Tau  Percy Tau (Brighton and Hove Albion, Forward)",BHA,4.9,0,17,1,0,0,1,0,1,0,1,0,0,0,WHU,36,15/05/2021,FWD,True
"Trossard  Leandro Trossard (Brighton and Hove Albion, Midfielder)",BHA,6.5,1,83,0,1,0,0,0,0,1,0,0,0,0,WHU,36,15/05/2021,MID,True
"Webster  Adam Webster (Brighton and Hove Albion, Defender)",BHA,4.5,1,90,0,0,0,0,0,0,0,1,0,0,0,WHU,36,15/05/2021,DEF,True
"Welbeck  Danny Welbeck (Brighton and Hove Albion, Forward)",BHA,6.0,1,90,0,0,1,0,0,0,0,1,0,0,0,WHU,36,15/05/2021,FWD,True
"White (Ben)  Ben White (Brighton and Hove Albion, Defender)",BHA,4.5,1,90,0,0,0,0,0,0,0,1,0,0,0,WHU,36,15/05/2021,DEF,True
"Zeqiri  Andi Zeqiri (Brighton and Hove Albion, Forward)",BHA,5.0,0,7,1,0,0,0,0,0,0,1,0,0,0,WHU,36,15/05/2021,FWD,True
"Antonio  Michail Antonio (West Ham United, Forward)",WHU,7.5,1,90,0,0,0,0,0,0,0,1,0,0,0,BHA,36,15/05/2021,FWD,False
"Benrahma  Said Benrahma (West Ham United, Midfielder)",WHU,6.0,0,26,1,0,1,0,0,0,0,1,0,0,0,BHA,36,15/05/2021,MID,False
"Bowen  Jarrod Bowen (West Ham United, Midfielder)",WHU,6.5,1,64,0,1,0,0,0,0,1,0,0,0,0,BHA,36,15/05/2021,MID,False
"Coufal  Vladimir Coufal (West Ham United, Defender)",WHU,5.0,1,90,0,0,0,0,0,0,0,1,0,0,0,BHA,36,15/05/2021,DEF,False
"Cresswell (Aaron)  Aaron Cresswell (West Ham United, Defender)",WHU,5.5,1,90,0,0,0,0,0,0,0,1,0,0,0,BHA,36,15/05/2021,DEF,False
"Dawson  Craig Dawson (West Ham United, Defender)",WHU,5.0,1,90,0,0,0,0,0,0,0,1,0,0,0,BHA,36,15/05/2021,DEF,False
"Fabianski  Lukasz Fabianski (West Ham United, Goalkeeper)",WHU,5.0,1,90,0,0,0,0,0,0,0,1,0,0,0,BHA,36,15/05/2021,GKP,False
"Fornals  Pablo Fornals (West Ham United, Midfielder)",WHU,6.0,1,90,0,0,0,0,0,0,0,1,0,0,0,BHA,36,15/05/2021,MID,False
"Lingard  Jesse Lingard (West Ham United, Midfielder)",WHU,7.0,1,90,0,0,0,0,0,0,0,1,0,0,0,BHA,36,15/05/2021,MID,False
"Ogbonna  Angelo Ogbonna (West Ham United, Defender)",WHU,5.0,1,90,0,0,0,0,0,0,0,1,0,0,0,BHA,36,15/05/2021,DEF,False
"Rice  Declan Rice (West Ham United, Midfielder)",WHU,5.0,1,90,0,0,0,0,0,0,0,1,0,0,0,BHA,36,15/05/2021,MID,False
"Soucek  Tomas Soucek (West Ham United, Midfielder)",WHU,6.0,1,90,0,0,0,0,0,0,0,1,0,0,0,BHA,36,15/05/2021,MID,False
