Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Barnes (Ashley)  Ashley Barnes (Burnley, Forward)",BUR,5.5,25,1,1,0,0,0,0,1,0,1,1,25.0,15/05/2021
"Gudmundsson  Johann Berg Gudmundsson (Burnley, Midfielder)",BUR,5.5,20,3,0,0,0,1,0,1,0,3,3,6.7,15/05/2021
"Brownhill  Josh Brownhill (Burnley, Midfielder)",BUR,4.5,90,3,2,0,2,0,0,2,0,11,11,8.2,15/05/2021
"Cork  Jack Cork (Burnley, Midfielder)",BUR,4.5,90,4,3,0,6,1,0,1,0,14,14,6.4,15/05/2021
"Lowton  Matthew Lowton (Burnley, Defender)",BUR,4.5,90,8,7,0,4,1,0,1,0,16,16,5.6,15/05/2021
"McNeil  Dwight McNeil (Burnley, Midfielder)",BUR,6.0,70,6,2,1,0,0,0,0,1,9,9,7.8,15/05/2021
"Mee  Ben Mee (Burnley, Defender)",BUR,5.0,90,10,5,2,2,0,1,2,0,20,20,4.5,15/05/2021
"Peacock-Farrell  Bailey Peacock-Farrell (Burnley, Goalkeeper)",BUR,4.5,90,5,0,0,0,0,0,0,0,11,11,8.2,15/05/2021
"Rodriguez  Jay Rodriguez (Burnley, Forward)",BUR,5.5,25,2,0,0,0,0,0,0,0,1,1,25.0,15/05/2021
"Tarkowski  James Tarkowski (Burnley, Defender)",BUR,5.0,90,7,11,0,2,0,0,0,0,10,10,9.0,15/05/2021
"Taylor (Charlie)  Charlie Taylor (Burnley, Defender)",BUR,4.5,90,3,5,1,0,0,0,0,2,12,12,7.5,15/05/2021
"Vydra  Matej Vydra (Burnley, Forward)",BUR,5.5,65,1,1,0,0,0,0,1,1,2,2,32.5,15/05/2021
"Westwood  Ashley Roy Westwood (Burnley, Midfielder)",BUR,5.5,90,8,0,1,4,0,1,3,1,12,12,7.5,15/05/2021
"Wood  Chris Wood (Burnley, Forward)",BUR,7.0,65,0,1,1,0,0,0,0,0,3,3,21.7,15/05/2021
"Alioski  Ezgjan Alioski (Leeds United, Defender)",LEE,4.4,90,4,0,0,4,1,0,2,0,32,11,8.2,15/05/2021
"Ayling  Luke Ayling (Leeds United, Defender)",LEE,4.5,90,9,9,3,2,0,0,0,0,31,19,4.7,15/05/2021
"Bamford  Patrick Bamford (Leeds United, Forward)",LEE,8.0,58,0,1,0,0,0,0,0,0,0,0,0.0,15/05/2021
"Dallas  Stuart Dallas (Leeds United, Defender)",LEE,5.5,90,10,4,0,4,0,0,0,0,23,11,8.2,15/05/2021
"Raphinha  Raphael Dias Belloli (Leeds United, Midfielder)",LEE,6.5,81,4,2,1,0,0,0,1,2,17,8,10.1,15/05/2021
"Harrison  Jack Harrison (Leeds United, Midfielder)",LEE,6.0,90,4,0,0,0,0,2,4,1,49,13,6.9,15/05/2021
"Klich  Mateusz Klich (Leeds United, Midfielder)",LEE,5.5,76,5,0,0,0,0,0,1,0,27,6,12.7,15/05/2021
"Diego Llorente  Diego Javier Llorente Ríos (Leeds United, Defender)",LEE,4.5,90,5,5,0,2,0,0,0,0,22,10,9.0,15/05/2021
"Meslier  Illan Meslier (Leeds United, Goalkeeper)",LEE,5.0,90,15,0,0,0,0,0,0,0,31,19,4.7,15/05/2021
"Rodrigo  Rodrigo Moreno Machado (Leeds United, Forward)",LEE,6.5,32,1,0,1,0,0,0,2,1,53,5,6.4,15/05/2021
"Phillips (Kalvin)  Kalvin Phillips (Leeds United, Midfielder)",LEE,5.0,90,7,3,0,4,0,1,1,0,11,11,8.2,15/05/2021
"Poveda-Ocampo  Ian Carlo Poveda-Ocampo (Leeds United, Midfielder)",LEE,4.5,9,0,0,0,0,0,0,0,0,3,3,3.0,15/05/2021
"Roberts (Tyler)  Tyler Roberts (Leeds United, Midfielder)",LEE,5.0,14,1,0,0,0,0,0,0,0,3,3,4.7,15/05/2021
"Struijk  Pascal Struijk (Leeds United, Defender)",LEE,4.5,90,4,10,0,2,0,0,0,0,20,8,11.3,15/05/2021
