Name,Team,Cost,A,xA,Δ,Mins/xA,G,xG,Δ.1,Mins/xG,xGI,Δ.2,Mins/xGI,date
"Davis (Keinan)  Keinan Davis (Aston Villa, Forward)",AVL,4.5,0,0.0,0.0,inf,0,0.08,-0.08,62.5,0.08,-0.08,62.5,16/05/2021
"El Ghazi  Anwar El Ghazi (Aston Villa, Midfielder)",AVL,6.0,0,0.06,-0.06,1466.7,1,0.54,0.46,163.0,0.6,0.4,146.7,16/05/2021
"Elmohamady  Ahmed Elmohamady (Aston Villa, Defender)",AVL,4.2,0,0.52,-0.52,173.1,0,0.05,-0.05,1800.0,0.57,-0.57,157.9,16/05/2021
"Grealish  Jack Grealish (Aston Villa, Midfielder)",AVL,8.0,0,0.01,-0.01,2600.0,0,0.0,0.0,inf,0.01,-0.01,2600.0,16/05/2021
"Hause  Kortney Hause (Aston Villa, Defender)",AVL,4.5,0,0.01,-0.01,9000.0,0,0.09,-0.09,1000.0,0.1,-0.1,900.0,16/05/2021
"Konsa Ngoyo  Ezri Konsa Ngoyo (Aston Villa, Defender)",AVL,5.0,0,0.0,0.0,inf,0,0.21,-0.21,428.6,0.21,-0.21,428.6,16/05/2021
"Martinez  Emiliano Martinez (Aston Villa, Goalkeeper)",AVL,5.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,16/05/2021
"McGinn  John McGinn (Aston Villa, Midfielder)",AVL,6.0,0,0.02,-0.02,4500.0,1,0.07,0.93,1285.7,0.09,0.91,1000.0,16/05/2021
"Wesley  Wesley Moraes Ferreira da Silva (Aston Villa, Forward)",AVL,5.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,16/05/2021
"Jacob Ramsey  Jacob Ramsey (Aston Villa, Midfielder)",AVL,4.5,0,0.02,-0.02,4250.0,0,0.18,-0.18,472.2,0.2,-0.2,425.0,16/05/2021
"Douglas Luiz  Douglas Luiz Soares de Paulo (Aston Villa, Midfielder)",AVL,4.5,0,0.03,-0.03,3000.0,0,0.0,0.0,inf,0.03,-0.03,3000.0,16/05/2021
"Targett  Matt Targett (Aston Villa, Defender)",AVL,5.0,0,0.16,-0.16,562.5,0,0.0,0.0,inf,0.16,-0.16,562.5,16/05/2021
"Traore (Bertrand)  Bertrand Traore (Aston Villa, Midfielder)",AVL,6.0,0,0.22,-0.22,290.9,0,0.08,-0.08,800.0,0.3,-0.3,213.3,16/05/2021
"Watkins  Ollie Watkins (Aston Villa, Forward)",AVL,7.5,1,0.22,0.78,409.1,0,0.05,-0.05,1800.0,0.27,0.73,333.3,16/05/2021
"Benteke  Christian Benteke (Crystal Palace, Forward)",CRY,6.5,0,0.03,-0.03,3000.0,1,0.25,0.75,360.0,0.28,0.72,321.4,16/05/2021
"Butland  Jack Butland (Crystal Palace, Goalkeeper)",CRY,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,16/05/2021
"Cahill  Gary Cahill (Crystal Palace, Defender)",CRY,4.5,0,0.08,-0.08,1125.0,0,0.11,-0.11,818.2,0.19,-0.19,473.7,16/05/2021
"Eze  Eberechi Eze (Crystal Palace, Midfielder)",CRY,6.0,1,0.06,0.94,1500.0,0,0.35,-0.35,257.1,0.41,0.59,219.5,16/05/2021
"Kouyaté  Cheikhou Kouyaté (Crystal Palace, Midfielder)",CRY,4.5,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,16/05/2021
"McCarthy (James)  James McCarthy (Crystal Palace, Midfielder)",CRY,4.3,0,0.01,-0.01,7300.0,0,0.0,0.0,inf,0.01,-0.01,7300.0,16/05/2021
"Mitchell  Tyrick Mitchell (Crystal Palace, Defender)",CRY,4.5,1,0.19,0.81,473.7,1,0.79,0.21,113.9,0.98,1.02,91.8,16/05/2021
"Schlupp  Jeffrey Schlupp (Crystal Palace, Midfielder)",CRY,5.5,0,0.01,-0.01,9000.0,0,0.04,-0.04,2250.0,0.05,-0.05,1800.0,16/05/2021
"Tomkins  James Tomkins (Crystal Palace, Defender)",CRY,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,16/05/2021
"Townsend (Andros)  Andros Townsend (Crystal Palace, Midfielder)",CRY,5.5,0,0.25,-0.25,360.0,0,0.16,-0.16,562.5,0.41,-0.41,219.5,16/05/2021
"Ward (Joel)  Joel Ward (Crystal Palace, Defender)",CRY,4.5,0,0.02,-0.02,4500.0,0,0.0,0.0,inf,0.02,-0.02,4500.0,16/05/2021
"Zaha  Wilfried Zaha (Crystal Palace, Midfielder)",CRY,7.0,0,0.05,-0.05,1800.0,1,0.23,0.77,391.3,0.28,0.72,321.4,16/05/2021
