Name,Team,Cost,A,xA,Δ,Mins/xA,G,xG,Δ.1,Mins/xG,xGI,Δ.2,Mins/xGI,date
"Aké  Nathan Aké (Manchester City, Defender)",MCI,5.0,0,0.02,-0.02,4500.0,0,0.03,-0.03,3000.0,0.05,-0.05,1800.0,14/05/2021
"Carson  Scott Carson (Manchester City, Goalkeeper)",MCI,3.9,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,14/05/2021
"João Cancelo  João Pedro Cavaco Cancelo (Manchester City, Defender)",MCI,6.0,0,0.22,-0.22,336.4,1,0.09,0.91,822.2,0.31,0.69,238.7,14/05/2021
"Garcia  Eric Garcia (Manchester City, Defender)",MCI,4.7,0,0.02,-0.02,4500.0,0,0.0,0.0,inf,0.02,-0.02,4500.0,14/05/2021
"Gündogan  Ilkay Gündogan (Manchester City, Midfielder)",MCI,7.5,1,0.16,0.84,562.5,0,0.2,-0.2,450.0,0.36,0.64,250.0,14/05/2021
"Rodri  Rodrigo Hernández Cascante (Manchester City, Midfielder)",MCI,5.5,1,0.08,0.92,1125.0,0,0.0,0.0,inf,0.08,0.92,1125.0,14/05/2021
"Mendy (Benjamin)  Benjamin Mendy (Manchester City, Defender)",MCI,5.5,0,0.02,-0.02,800.0,0,0.0,0.0,inf,0.02,-0.02,800.0,14/05/2021
"Sterling  Raheem Sterling (Manchester City, Midfielder)",MCI,11.0,0,0.15,-0.15,600.0,0,0.0,0.0,inf,0.15,-0.15,600.0,14/05/2021
"Torres  Ferran Torres (Manchester City, Midfielder)",MCI,7.0,0,0.11,-0.11,818.2,3,1.05,1.95,85.7,1.16,1.84,77.6,14/05/2021
"Bernardo Silva  Bernardo Mota Veiga de Carvalho e Silva (Manchester City, Midfielder)",MCI,7.0,0,0.07,-0.07,1285.7,0,0.0,0.0,inf,0.07,-0.07,1285.7,14/05/2021
"Walker (Kyle)  Kyle Walker (Manchester City, Defender)",MCI,5.5,0,0.07,-0.07,1285.7,0,0.0,0.0,inf,0.07,-0.07,1285.7,14/05/2021
"Jesus  Gabriel Fernando de Jesus (Manchester City, Forward)",MCI,8.5,1,0.25,0.75,360.0,0,0.11,-0.11,818.2,0.36,0.64,250.0,14/05/2021
"Almirón  Miguel Almirón (Newcastle United, Midfielder)",NEW,5.5,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,14/05/2021
"Joelinton  Joelinton Cássio Apolinário de Lira (Newcastle United, Forward)",NEW,6.0,0,0.01,-0.01,8400.0,1,0.96,0.04,87.5,0.97,0.03,86.6,14/05/2021
"Dubravka  Martin Dubravka (Newcastle United, Goalkeeper)",NEW,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,14/05/2021
"Dummett  Paul Dummett (Newcastle United, Defender)",NEW,4.5,0,0.09,-0.09,1000.0,0,0.0,0.0,inf,0.09,-0.09,1000.0,14/05/2021
"Fernández  Federico Fernández (Newcastle United, Defender)",NEW,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,14/05/2021
"Gayle  Dwight Gayle (Newcastle United, Forward)",NEW,5.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,14/05/2021
"Krafth  Emil Krafth (Newcastle United, Defender)",NEW,4.5,0,0.0,0.0,inf,1,0.1,0.9,900.0,0.1,0.9,900.0,14/05/2021
"Lewis (Jamal)  Jamal Lewis (Newcastle United, Defender)",NEW,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,14/05/2021
"Longstaff (Sean)  Sean Longstaff (Newcastle United, Midfielder)",NEW,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,14/05/2021
"Jacob Murphy  Jacob Murphy (Newcastle United, Midfielder)",NEW,5.0,0,0.02,-0.02,4500.0,0,0.11,-0.11,818.2,0.13,-0.13,692.3,14/05/2021
"Ritchie  Matt Ritchie (Newcastle United, Midfielder)",NEW,5.0,0,0.04,-0.04,2100.0,0,0.0,0.0,inf,0.04,-0.04,2100.0,14/05/2021
"Saint-Maximin  Allan Saint-Maximin (Newcastle United, Midfielder)",NEW,6.5,0,0.05,-0.05,1800.0,0,0.0,0.0,inf,0.05,-0.05,1800.0,14/05/2021
"Shelvey  Jonjo Shelvey (Newcastle United, Midfielder)",NEW,5.5,1,0.09,0.91,1000.0,0,0.07,-0.07,1285.7,0.16,0.84,562.5,14/05/2021
"Willock  Joseph Willock (Newcastle United, Midfielder)",NEW,6.0,0,0.08,-0.08,1125.0,1,1.32,-0.32,68.2,1.4,-0.4,64.3,14/05/2021
