Name,Team,Cost,A,xA,Δ,Mins/xA,G,xG,Δ.1,Mins/xG,xGI,Δ.2,Mins/xGI,date
"Tosin  Oluwatosin Adarabioyo (Fulham, Defender)",FUL,4.5,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,15/05/2021
"Aina  Ola Aina (Fulham, Defender)",FUL,4.3,0,0.01,-0.01,6200.0,0,0.0,0.0,inf,0.01,-0.01,6200.0,15/05/2021
"Andersen  Joachim Andersen (Fulham, Defender)",FUL,4.5,0,0.01,-0.01,9000.0,0,0.19,-0.19,473.7,0.2,-0.2,450.0,15/05/2021
"Areola  Alphonse Areola (Fulham, Goalkeeper)",FUL,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,15/05/2021
"Bryan (Joe)  Joe Bryan (Fulham, Defender)",FUL,4.5,0,0.17,-0.17,164.7,0,0.05,-0.05,560.0,0.22,-0.22,127.3,15/05/2021
"Carvalho  Fabio Carvalho (Fulham, Midfielder)",FUL,4.5,0,0.04,-0.04,2250.0,1,0.41,0.59,219.5,0.45,0.55,200.0,15/05/2021
"Cavaleiro  Ivan Cavaleiro (Fulham, Midfielder)",FUL,5.3,0,0.16,-0.16,562.5,0,0.0,0.0,inf,0.16,-0.16,562.5,15/05/2021
"DeCordova-Reid  Bobby DeCordova-Reid (Fulham, Forward)",FUL,5.3,1,0.16,0.84,562.5,0,0.09,-0.09,1000.0,0.25,0.75,360.0,15/05/2021
"Lookman  Ademola Lookman (Fulham, Midfielder)",FUL,4.7,0,0.04,-0.04,675.0,0,0.07,-0.07,385.7,0.11,-0.11,245.5,15/05/2021
"Maja  Josh Maja (Fulham, Forward)",FUL,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,15/05/2021
"Onomah  Josh Onomah (Fulham, Midfielder)",FUL,4.6,0,0.01,-0.01,7600.0,0,0.04,-0.04,1900.0,0.05,-0.05,1520.0,15/05/2021
"Reed  Harrison Reed (Fulham, Midfielder)",FUL,4.4,0,0.02,-0.02,4500.0,0,0.0,0.0,inf,0.02,-0.02,4500.0,15/05/2021
"Tete  Kenny Tete (Fulham, Defender)",FUL,4.3,0,0.02,-0.02,4500.0,0,0.0,0.0,inf,0.02,-0.02,4500.0,15/05/2021
"Zambo Anguissa  André-Frank Zambo Anguissa (Fulham, Midfielder)",FUL,4.4,0,0.01,-0.01,6300.0,0,0.0,0.0,inf,0.01,-0.01,6300.0,15/05/2021
"Adams  Che Adams (Southampton, Forward)",SOU,7.0,0,0.03,-0.03,3000.0,1,0.59,0.41,152.5,0.62,0.38,145.2,15/05/2021
"Armstrong  Stuart Armstrong (Southampton, Midfielder)",SOU,6.0,0,0.11,-0.11,709.1,0,0.04,-0.04,1950.0,0.15,-0.15,520.0,15/05/2021
"Diallo  Ibrahima Diallo (Southampton, Midfielder)",SOU,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,15/05/2021
"Ings  Danny Ings (Southampton, Forward)",SOU,8.0,0,0.05,-0.05,1160.0,0,0.05,-0.05,1160.0,0.1,-0.1,580.0,15/05/2021
"McCarthy (Alex)  Alex McCarthy (Southampton, Goalkeeper)",SOU,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,15/05/2021
"Minamino  Takumi Minamino (Southampton, Midfielder)",SOU,5.5,0,0.05,-0.05,1520.0,0,0.06,-0.06,1266.7,0.11,-0.11,690.9,15/05/2021
"Redmond  Nathan Redmond (Southampton, Midfielder)",SOU,6.0,0,0.02,-0.02,4500.0,0,0.16,-0.16,562.5,0.18,-0.18,500.0,15/05/2021
"Salisu  Mohammed Salisu (Southampton, Defender)",SOU,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,15/05/2021
"Stephens (Jack)  Jack Stephens (Southampton, Defender)",SOU,4.5,0,0.03,-0.03,3000.0,0,0.0,0.0,inf,0.03,-0.03,3000.0,15/05/2021
"Tella  Nathan Tella (Southampton, Midfielder)",SOU,5.0,1,0.03,0.97,1066.7,1,0.49,0.51,65.3,0.52,1.48,61.5,15/05/2021
"Vestergaard  Jannik Vestergaard (Southampton, Defender)",SOU,5.0,0,0.0,0.0,inf,0,0.04,-0.04,2250.0,0.04,-0.04,2250.0,15/05/2021
"Walcott  Theo Walcott (Southampton, Midfielder)",SOU,6.0,0,0.0,0.0,inf,1,0.06,0.94,233.3,0.06,0.94,233.3,15/05/2021
"Walker-Peters  Kyle Walker-Peters (Southampton, Defender)",SOU,5.0,1,0.22,0.78,409.1,0,0.0,0.0,inf,0.22,0.78,409.1,15/05/2021
"Ward-Prowse  James Ward-Prowse (Southampton, Midfielder)",SOU,6.5,1,0.41,0.59,219.5,0,0.14,-0.14,642.9,0.55,0.45,163.6,15/05/2021
