Name,Team,Cost,A,xA,Δ,Mins/xA,G,xG,Δ.1,Mins/xG,xGI,Δ.2,Mins/xGI,date
"Thiago Alcántara  Thiago Alcántara do Nascimento (Liverpool, Midfielder)",LIV,5.5,0,0.23,-0.23,391.3,0,0.12,-0.12,750.0,0.35,-0.35,257.1,16/05/2021
"Alexander-Arnold  Trent Alexander-Arnold (Liverpool, Defender)",LIV,7.5,1,0.33,0.67,272.7,0,0.25,-0.25,360.0,0.58,0.42,155.2,16/05/2021
"Firmino  Roberto Firmino Barbosa de Oliveira (Liverpool, Forward)",LIV,9.0,0,0.08,-0.08,1125.0,0,0.39,-0.39,230.8,0.47,-0.47,191.5,16/05/2021
"Jones (Curtis)  Curtis Jones (Liverpool, Midfielder)",LIV,5.0,0,0.04,-0.04,1475.0,0,0.0,0.0,inf,0.04,-0.04,1475.0,16/05/2021
"Mane  Sadio Mane (Liverpool, Midfielder)",LIV,12.0,1,0.16,0.84,562.5,0,0.34,-0.34,264.7,0.5,0.5,180.0,16/05/2021
"Phillips (Nathaniel)  Nathaniel Phillips (Liverpool, Defender)",LIV,4.5,0,0.11,-0.11,818.2,0,0.15,-0.15,600.0,0.26,-0.26,346.2,16/05/2021
"Alisson  Alisson Ramses Becker (Liverpool, Goalkeeper)",LIV,6.0,0,0.0,0.0,inf,1,0.09,0.91,1000.0,0.09,0.91,1000.0,16/05/2021
"Robertson  Andrew Robertson (Liverpool, Defender)",LIV,7.0,0,0.16,-0.16,562.5,0,0.0,0.0,inf,0.16,-0.16,562.5,16/05/2021
"Salah  Mohamed Salah (Liverpool, Midfielder)",LIV,12.5,0,0.15,-0.15,600.0,1,0.25,0.75,360.0,0.4,0.6,225.0,16/05/2021
"Shaqiri  Xherdan Shaqiri (Liverpool, Midfielder)",LIV,6.0,0,0.09,-0.09,344.4,0,0.0,0.0,inf,0.09,-0.09,344.4,16/05/2021
"Fabinho  Fabio Henrique Tavares (Liverpool, Midfielder)",LIV,5.5,0,0.05,-0.05,1800.0,0,0.11,-0.11,818.2,0.16,-0.16,562.5,16/05/2021
"Wijnaldum  Georginio Wijnaldum (Liverpool, Midfielder)",LIV,5.3,0,0.03,-0.03,200.0,0,0.11,-0.11,54.5,0.14,-0.14,42.9,16/05/2021
"Rhys Williams  Rhys Williams (Liverpool, Defender)",LIV,4.5,0,0.0,0.0,inf,0,0.15,-0.15,560.0,0.15,-0.15,560.0,16/05/2021
"Ajayi  Semi Ajayi (West Bromwich Albion, Defender)",WBA,4.8,0,0.04,-0.04,2250.0,0,0.1,-0.1,900.0,0.14,-0.14,642.9,16/05/2021
"Bartley  Kyle Bartley (West Bromwich Albion, Defender)",WBA,4.4,0,0.0,0.0,inf,0,0.08,-0.08,1125.0,0.08,-0.08,1125.0,16/05/2021
"Matheus Pereira  Matheus Fellipe Costa Pereira (West Bromwich Albion, Midfielder)",WBA,5.4,1,0.13,0.87,692.3,0,0.1,-0.1,900.0,0.23,0.77,391.3,16/05/2021
"Diangana  Grady Diangana (West Bromwich Albion, Midfielder)",WBA,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,16/05/2021
"Furlong  Darnell Furlong (West Bromwich Albion, Defender)",WBA,4.5,0,0.03,-0.03,3000.0,0,0.03,-0.03,3000.0,0.06,-0.06,1500.0,16/05/2021
"Gallagher  Conor Gallagher (West Bromwich Albion, Midfielder)",WBA,5.5,0,0.08,-0.08,1125.0,0,0.0,0.0,inf,0.08,-0.08,1125.0,16/05/2021
"Grant (Karlan)  Karlan Grant (West Bromwich Albion, Forward)",WBA,5.6,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,16/05/2021
"Johnstone  Sam Johnstone (West Bromwich Albion, Goalkeeper)",WBA,4.6,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,16/05/2021
"Livermore  Jake Livermore (West Bromwich Albion, Midfielder)",WBA,4.7,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,16/05/2021
"Maitland-Niles  Ainsley Maitland-Niles (West Bromwich Albion, Defender)",WBA,5.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,16/05/2021
"Phillips (Matthew)  Matthew Phillips (West Bromwich Albion, Midfielder)",WBA,5.1,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,16/05/2021
"Robson-Kanu  Hal Robson-Kanu (West Bromwich Albion, Forward)",WBA,5.2,0,0.0,0.0,inf,1,0.68,0.32,120.6,0.68,0.32,120.6,16/05/2021
"Townsend (Conor)  Conor Townsend (West Bromwich Albion, Defender)",WBA,4.4,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,16/05/2021
"Yokuslu  Okay Yokuslu (West Bromwich Albion, Midfielder)",WBA,4.5,0,0.0,0.0,inf,0,0.38,-0.38,197.4,0.38,-0.38,197.4,16/05/2021
