Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Alzate  Steven Alzate (Brighton and Hove Albion, Midfielder)",BHA,5.0,65,5,0,0,6,0,0,0,0,12,12,5.4,18/05/2021
"Bissouma  Yves Bissouma (Brighton and Hove Albion, Midfielder)",BHA,4.5,90,8,4,3,6,0,0,1,2,19,19,4.7,18/05/2021
"Burn  Dan Burn (Brighton and Hove Albion, Defender)",BHA,4.5,90,5,2,0,6,0,0,0,0,27,12,7.5,18/05/2021
"Groß  Pascal Groß (Brighton and Hove Albion, Midfielder)",BHA,6.0,90,6,0,0,4,1,0,3,1,24,15,6.0,18/05/2021
"Jahanbakhsh  Alireza Jahanbakhsh (Brighton and Hove Albion, Midfielder)",BHA,5.5,49,5,3,1,0,0,0,0,0,0,0,0.0,18/05/2021
"Lallana  Adam Lallana (Brighton and Hove Albion, Midfielder)",BHA,5.5,41,2,0,0,6,0,0,0,0,8,8,5.1,18/05/2021
"Mac Allister  Alexis Mac Allister (Brighton and Hove Albion, Midfielder)",BHA,5.5,90,5,0,0,0,0,0,3,1,7,7,12.9,18/05/2021
"Moder  Jakub Moder (Brighton and Hove Albion, Midfielder)",BHA,4.5,90,3,0,0,4,0,0,0,3,7,7,12.9,18/05/2021
"Sanchez  Robert Sanchez (Brighton and Hove Albion, Goalkeeper)",BHA,4.5,90,4,1,0,4,0,0,1,0,13,13,6.9,18/05/2021
"Trossard  Leandro Trossard (Brighton and Hove Albion, Midfielder)",BHA,6.5,62,4,1,0,0,0,0,3,2,30,12,5.2,18/05/2021
"Webster  Adam Webster (Brighton and Hove Albion, Defender)",BHA,4.5,90,6,3,0,6,0,0,0,1,20,8,11.3,18/05/2021
"Welbeck  Danny Welbeck (Brighton and Hove Albion, Forward)",BHA,6.0,28,0,0,0,0,0,0,0,0,2,2,14.0,18/05/2021
"White (Ben)  Ben White (Brighton and Hove Albion, Defender)",BHA,4.5,90,3,5,0,6,0,0,0,1,13,13,6.9,18/05/2021
"Zeqiri  Andi Zeqiri (Brighton and Hove Albion, Forward)",BHA,5.0,25,0,0,0,0,0,0,1,1,5,5,5.0,18/05/2021
"João Cancelo  João Pedro Cavaco Cancelo (Manchester City, Defender)",MCI,6.0,10,1,0,0,0,0,0,0,0,-7,-7,0.0,18/05/2021
"Foden  Phil Foden (Manchester City, Midfielder)",MCI,8.0,90,5,2,0,6,0,0,1,3,32,14,6.4,18/05/2021
"Garcia  Eric Garcia (Manchester City, Defender)",MCI,4.7,75,1,4,2,0,0,0,0,0,10,10,7.5,18/05/2021
"Rúben Dias  Rúben Santos Gato Alves Dias (Manchester City, Defender)",MCI,6.0,90,2,11,0,4,0,0,0,0,13,13,6.9,18/05/2021
"Gündogan  Ilkay Gündogan (Manchester City, Midfielder)",MCI,7.5,56,6,2,0,4,0,0,1,1,27,9,6.2,18/05/2021
"Rodri  Rodrigo Hernández Cascante (Manchester City, Midfielder)",MCI,5.5,90,10,6,0,4,0,0,0,2,8,8,11.3,18/05/2021
"Fernandinho  Fernando Luiz Rosa (Manchester City, Defender)",MCI,5.0,34,1,2,0,0,0,0,1,1,2,2,17.0,18/05/2021
"Mahrez  Riyad Mahrez (Manchester City, Midfielder)",MCI,9.0,90,4,1,0,0,1,1,1,0,18,9,10.0,18/05/2021
"Ederson  Ederson Santana de Moraes (Manchester City, Goalkeeper)",MCI,6.0,90,12,0,0,0,0,0,0,0,16,16,5.6,18/05/2021
"Stones  John Stones (Manchester City, Defender)",MCI,5.5,90,6,7,0,4,0,0,0,1,15,15,6.0,18/05/2021
"Torres  Ferran Torres (Manchester City, Midfielder)",MCI,7.0,15,0,0,0,0,0,0,0,0,3,3,5.0,18/05/2021
"Bernardo Silva  Bernardo Mota Veiga de Carvalho e Silva (Manchester City, Midfielder)",MCI,7.0,77,5,1,1,0,0,0,1,0,1,1,77.0,18/05/2021
"Zinchenko  Oleksandr Zinchenko (Manchester City, Defender)",MCI,5.5,90,4,5,0,4,0,0,0,0,11,11,8.2,18/05/2021
"Jesus  Gabriel Fernando de Jesus (Manchester City, Forward)",MCI,8.5,13,1,0,0,0,0,0,0,2,2,2,6.5,18/05/2021
