Name,Team,Cost,A,xA,Δ,Mins/xA,G,xG,Δ.1,Mins/xG,xGI,Δ.2,Mins/xGI,date
"Azpilicueta  César Azpilicueta (Chelsea, Defender)",CHE,6.0,0,0.13,-0.13,676.9,0,0.0,0.0,inf,0.13,-0.13,676.9,18/05/2021
"Chilwell  Benjamin Chilwell (Chelsea, Defender)",CHE,6.0,0,0.28,-0.28,321.4,0,0.07,-0.07,1285.7,0.35,-0.35,257.1,18/05/2021
"Jorginho  Jorge Luiz Frello Filho (Chelsea, Midfielder)",CHE,6.0,0,0.16,-0.16,562.5,1,0.79,0.21,113.9,0.95,0.05,94.7,18/05/2021
"Giroud  Olivier Giroud (Chelsea, Forward)",CHE,6.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,18/05/2021
"James (Reece)  Reece James (Chelsea, Defender)",CHE,5.5,0,0.25,-0.25,360.0,0,0.04,-0.04,2250.0,0.29,-0.29,310.3,18/05/2021
"Kanté  N&#039;Golo Kanté (Chelsea, Midfielder)",CHE,5.0,0,0.06,-0.06,533.3,0,0.05,-0.05,640.0,0.11,-0.11,290.9,18/05/2021
"Kovacic  Mateo Kovacic (Chelsea, Midfielder)",CHE,5.0,0,0.02,-0.02,2900.0,0,0.0,0.0,inf,0.02,-0.02,2900.0,18/05/2021
"Mendy (Edouard)  Edouard Mendy (Chelsea, Goalkeeper)",CHE,6.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,18/05/2021
"Mount  Mason Mount (Chelsea, Midfielder)",CHE,7.5,0,0.2,-0.2,450.0,0,0.14,-0.14,642.9,0.34,-0.34,264.7,18/05/2021
"Pulisic  Christian Pulisic (Chelsea, Midfielder)",CHE,8.0,0,0.09,-0.09,1000.0,0,0.44,-0.44,204.5,0.53,-0.53,169.8,18/05/2021
"Rüdiger  Antonio Rüdiger (Chelsea, Defender)",CHE,5.5,0,0.01,-0.01,9000.0,1,0.69,0.31,130.4,0.7,0.3,128.6,18/05/2021
"Werner  Timo Werner (Chelsea, Forward)",CHE,9.0,0,0.04,-0.04,2225.0,0,0.29,-0.29,306.9,0.33,-0.33,269.7,18/05/2021
"Zouma  Kurt Zouma (Chelsea, Defender)",CHE,5.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,18/05/2021
"Thiago Silva  Thiago Emiliano da Silva (Chelsea, Defender)",CHE,5.5,0,0.01,-0.01,9000.0,0,0.67,-0.67,134.3,0.68,-0.68,132.4,18/05/2021
"Albrighton  Marc Albrighton (Leicester City, Midfielder)",LEI,5.5,0,0.02,-0.02,3350.0,0,0.0,0.0,inf,0.02,-0.02,3350.0,18/05/2021
"Ricardo Pereira  Ricardo Domingos Barbosa Pereira (Leicester City, Defender)",LEI,5.5,0,0.03,-0.03,766.7,0,0.0,0.0,inf,0.03,-0.03,766.7,18/05/2021
"Castagne  Timothy Castagne (Leicester City, Defender)",LEI,5.5,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,18/05/2021
"Fofana  Wesley Fofana (Leicester City, Defender)",LEI,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,18/05/2021
"Iheanacho  Kelechi Iheanacho (Leicester City, Forward)",LEI,7.5,0,0.01,-0.01,3000.0,1,0.33,0.67,90.9,0.34,0.66,88.2,18/05/2021
"Maddison  James Maddison (Leicester City, Midfielder)",LEI,7.0,0,0.01,-0.01,6000.0,0,0.0,0.0,inf,0.01,-0.01,6000.0,18/05/2021
"Ndidi  Onyinye Wilfred Ndidi (Leicester City, Midfielder)",LEI,5.0,1,0.06,0.94,1500.0,0,0.0,0.0,inf,0.06,0.94,1500.0,18/05/2021
"Ayoze Pérez  Ayoze Pérez Gutiérrez (Leicester City, Midfielder)",LEI,6.0,0,0.06,-0.06,1500.0,0,0.25,-0.25,360.0,0.31,-0.31,290.3,18/05/2021
"Schmeichel  Kasper Schmeichel (Leicester City, Goalkeeper)",LEI,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,18/05/2021
"Söyüncü  Caglar Söyüncü (Leicester City, Defender)",LEI,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,18/05/2021
"Thomas (Luke)  Luke Thomas (Leicester City, Defender)",LEI,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,18/05/2021
"Tielemans  Youri Tielemans (Leicester City, Midfielder)",LEI,6.5,0,0.2,-0.2,450.0,0,0.0,0.0,inf,0.2,-0.2,450.0,18/05/2021
"Vardy  Jamie Vardy (Leicester City, Forward)",LEI,10.5,0,0.02,-0.02,4500.0,0,0.22,-0.22,409.1,0.24,-0.24,375.0,18/05/2021
