Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Calvert-Lewin  Dominic Calvert-Lewin (Everton, Forward)",EVE,8.0,90,2,0,0,2,0,0,1,2,9,9,10.0,19/05/2021
"Coleman  Seamus Coleman (Everton, Defender)",EVE,5.0,82,10,4,0,2,0,0,0,2,23,11,7.5,19/05/2021
"Davies (Tom)  Tom Davies (Everton, Midfielder)",EVE,5.0,8,1,1,0,0,0,0,0,0,3,3,2.7,19/05/2021
"Digne  Lucas Digne (Everton, Defender)",EVE,5.5,90,3,3,3,4,1,0,3,2,32,20,4.5,19/05/2021
"Doucouré  Abdoulaye Doucouré (Everton, Midfielder)",EVE,5.5,89,5,4,1,4,0,0,0,1,14,14,6.4,19/05/2021
"Godfrey  Ben Godfrey (Everton, Defender)",EVE,5.0,90,5,4,0,2,0,0,1,1,24,12,7.5,19/05/2021
"Holgate  Mason Holgate (Everton, Defender)",EVE,4.5,1,0,0,0,0,0,0,0,0,3,3,0.3,19/05/2021
"Keane  Michael Keane (Everton, Defender)",EVE,5.0,90,3,10,2,0,0,0,0,0,27,15,6.0,19/05/2021
"Allan  Allan Marques Loureiro (Everton, Midfielder)",EVE,4.5,90,9,4,0,2,1,0,1,1,15,15,6.0,19/05/2021
"Mina  Yerry Mina (Everton, Defender)",EVE,5.0,90,3,8,0,6,0,0,0,0,27,15,6.0,19/05/2021
"Pickford  Jordan Pickford (Everton, Goalkeeper)",EVE,5.0,90,8,0,0,0,0,0,0,0,26,14,6.4,19/05/2021
"Sigurdsson  Gylfi Sigurdsson (Everton, Midfielder)",EVE,7.0,86,7,4,2,0,0,0,4,0,22,13,6.6,19/05/2021
"André Gomes  André Filipe Tavares Gomes (Everton, Midfielder)",EVE,5.0,4,0,0,0,0,0,0,0,0,3,3,1.3,19/05/2021
"Richarlison  Richarlison de Andrade (Everton, Forward)",EVE,7.5,90,3,4,0,0,0,0,2,4,36,9,10.0,19/05/2021
"Ait Nouri  Rayan Ait Nouri (Wolverhampton Wanderers, Defender)",WOL,4.5,90,5,2,0,4,0,0,0,3,11,11,8.2,19/05/2021
"Boly  Willy Boly (Wolverhampton Wanderers, Defender)",WOL,5.0,80,8,4,0,4,0,0,0,0,14,14,5.7,19/05/2021
"Coady  Conor Coady (Wolverhampton Wanderers, Defender)",WOL,4.5,90,2,2,0,6,0,0,0,0,11,11,8.2,19/05/2021
"Willian José  Willian José Da Silva (Wolverhampton Wanderers, Forward)",WOL,6.8,22,1,0,0,0,0,0,0,0,2,2,11.0,19/05/2021
"Dendoncker (Leander)  Leander Dendoncker (Wolverhampton Wanderers, Midfielder)",WOL,5.0,10,0,0,0,0,0,0,0,0,3,3,3.3,19/05/2021
"Gibbs-White  Morgan Gibbs-White (Wolverhampton Wanderers, Midfielder)",WOL,4.5,68,6,0,0,0,0,0,0,2,6,6,11.3,19/05/2021
"Kilman  Max Kilman (Wolverhampton Wanderers, Defender)",WOL,4.5,90,6,8,0,6,0,0,0,0,17,17,5.3,19/05/2021
"Vitor Ferreira  Vitor Machado Ferreira (Wolverhampton Wanderers, Midfielder)",WOL,4.7,10,1,0,0,0,0,0,0,0,3,3,3.3,19/05/2021
"Moutinho  João Moutinho (Wolverhampton Wanderers, Midfielder)",WOL,5.0,80,3,1,1,4,1,0,3,1,16,16,5.0,19/05/2021
"Ruddy  John Ruddy (Wolverhampton Wanderers, Goalkeeper)",WOL,4.5,90,12,0,0,0,0,0,0,0,16,16,5.6,19/05/2021
"Semedo  Nelson Semedo (Wolverhampton Wanderers, Defender)",WOL,5.0,90,1,3,1,2,0,0,0,4,8,8,11.3,19/05/2021
"Fabio Silva  Fabio Daniel Soares Silva (Wolverhampton Wanderers, Forward)",WOL,6.0,90,6,1,2,0,0,0,0,1,8,8,11.3,19/05/2021
"Traoré  Adama Traoré (Wolverhampton Wanderers, Midfielder)",WOL,6.0,90,3,1,1,0,1,0,0,7,9,9,10.0,19/05/2021
"Ruben Neves  Rúben Diogo da Silva Neves (Wolverhampton Wanderers, Midfielder)",WOL,5.5,90,3,4,0,4,0,0,1,1,10,10,9.0,19/05/2021
