Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Tosin  Oluwatosin Adarabioyo (Fulham, Defender)",FUL,4.5,90,3,12,0,4,0,0,0,0,16,16,5.6,18/05/2021
"Andersen  Joachim Andersen (Fulham, Defender)",FUL,4.5,58,5,4,0,4,0,0,0,0,9,9,6.4,18/05/2021
"Areola  Alphonse Areola (Fulham, Goalkeeper)",FUL,5.0,90,9,0,0,2,0,0,0,0,18,18,5.0,18/05/2021
"Bryan (Joe)  Joe Bryan (Fulham, Defender)",FUL,4.5,90,7,3,0,0,0,0,1,1,22,10,9.0,18/05/2021
"Carvalho  Fabio Carvalho (Fulham, Midfielder)",FUL,4.5,63,3,0,2,0,0,0,0,1,5,5,12.6,18/05/2021
"Cavaleiro  Ivan Cavaleiro (Fulham, Midfielder)",FUL,5.3,90,3,2,0,0,0,0,2,2,7,7,12.9,18/05/2021
"DeCordova-Reid  Bobby DeCordova-Reid (Fulham, Forward)",FUL,5.3,90,6,1,1,0,1,1,1,1,20,11,8.2,18/05/2021
"Lemina  Mario Lemina (Fulham, Midfielder)",FUL,4.5,90,10,2,1,4,0,0,0,1,8,8,11.3,18/05/2021
"Loftus-Cheek  Ruben Loftus-Cheek (Fulham, Midfielder)",FUL,5.5,27,0,0,0,0,0,0,0,1,4,4,6.8,18/05/2021
"Lookman  Ademola Lookman (Fulham, Midfielder)",FUL,4.7,89,0,1,0,0,0,1,1,1,4,4,22.3,18/05/2021
"Ream  Tim Ream (Fulham, Defender)",FUL,4.2,90,3,5,0,4,0,0,0,0,13,13,6.9,18/05/2021
"Reed  Harrison Reed (Fulham, Midfielder)",FUL,4.4,32,2,0,0,0,0,0,0,0,2,2,16.0,18/05/2021
"Tete  Kenny Tete (Fulham, Defender)",FUL,4.3,1,2,1,1,0,0,0,0,0,5,5,0.2,18/05/2021
"Zambo Anguissa  André-Frank Zambo Anguissa (Fulham, Midfielder)",FUL,4.4,90,10,9,0,2,0,0,0,5,17,17,5.3,18/05/2021
"Bruno Fernandes  Bruno Miguel Borges Fernandes (Manchester United, Midfielder)",MUN,12.0,90,6,0,0,2,0,0,1,4,15,6,15.0,18/05/2021
"Cavani  Edinson Cavani (Manchester United, Forward)",MUN,8.5,87,4,1,1,0,0,1,1,0,35,11,7.9,18/05/2021
"De Gea  David De Gea (Manchester United, Goalkeeper)",MUN,5.0,90,4,0,0,0,0,0,0,0,15,15,6.0,18/05/2021
"Greenwood (Mason)  Mason Greenwood (Manchester United, Midfielder)",MUN,7.5,83,4,1,0,0,0,0,0,2,1,1,83.0,18/05/2021
"McTominay  Scott McTominay (Manchester United, Midfielder)",MUN,5.5,62,10,2,0,4,0,0,1,1,16,16,3.9,18/05/2021
"Lindelof  Victor Nilsson-Lindelof (Manchester United, Defender)",MUN,5.0,90,8,5,0,4,0,0,0,0,14,14,6.4,18/05/2021
"Pogba  Paul Pogba (Manchester United, Midfielder)",MUN,7.5,90,5,1,1,4,0,0,2,0,4,4,22.5,18/05/2021
"Rashford  Marcus Rashford (Manchester United, Midfielder)",MUN,9.5,28,1,0,0,0,0,0,0,0,1,1,28.0,18/05/2021
"Fred  Frederico Rodrigues de Paula Santos (Manchester United, Midfielder)",MUN,5.0,90,8,2,0,4,0,0,0,0,9,9,10.0,18/05/2021
"Shaw  Luke Shaw (Manchester United, Defender)",MUN,5.5,90,9,2,0,4,0,0,0,1,8,8,11.3,18/05/2021
"Amad Diallo  Amad Diallo Traore (Manchester United, Forward)",MUN,5.4,7,1,0,0,0,0,0,0,0,0,0,0.0,18/05/2021
"Tuanzebe  Axel Tuanzebe (Manchester United, Defender)",MUN,4.5,90,4,0,2,6,0,0,0,0,14,14,6.4,18/05/2021
"Wan-Bissaka  Aaron Wan-Bissaka (Manchester United, Defender)",MUN,5.5,90,5,1,0,6,2,0,2,2,15,15,6.0,18/05/2021
"van de Beek  Donny van de Beek (Manchester United, Midfielder)",MUN,6.0,3,0,0,0,0,0,0,0,0,3,3,1.0,18/05/2021
