Name,Team,Cost,A,xA,Δ,Mins/xA,G,xG,Δ.1,Mins/xG,xGI,Δ.2,Mins/xGI,date
"Almirón  Miguel Almirón (Newcastle United, Midfielder)",NEW,5.5,0,0.02,-0.02,4500.0,0,0.06,-0.06,1500.0,0.08,-0.08,1125.0,19/05/2021
"Joelinton  Joelinton Cássio Apolinário de Lira (Newcastle United, Forward)",NEW,6.0,0,0.0,0.0,inf,0,0.34,-0.34,132.4,0.34,-0.34,132.4,19/05/2021
"Carroll  Andy Carroll (Newcastle United, Forward)",NEW,5.1,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,19/05/2021
"Dubravka  Martin Dubravka (Newcastle United, Goalkeeper)",NEW,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,19/05/2021
"Dummett  Paul Dummett (Newcastle United, Defender)",NEW,4.5,0,0.0,0.0,inf,0,0.12,-0.12,750.0,0.12,-0.12,750.0,19/05/2021
"Fernández  Federico Fernández (Newcastle United, Defender)",NEW,4.5,0,0.0,0.0,inf,0,0.03,-0.03,3000.0,0.03,-0.03,3000.0,19/05/2021
"Gayle  Dwight Gayle (Newcastle United, Forward)",NEW,5.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,19/05/2021
"Krafth  Emil Krafth (Newcastle United, Defender)",NEW,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,19/05/2021
"Longstaff (Sean)  Sean Longstaff (Newcastle United, Midfielder)",NEW,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,19/05/2021
"Jacob Murphy  Jacob Murphy (Newcastle United, Midfielder)",NEW,5.0,1,0.37,0.63,243.2,0,0.09,-0.09,1000.0,0.46,0.54,195.7,19/05/2021
"Ritchie  Matt Ritchie (Newcastle United, Midfielder)",NEW,5.0,0,0.2,-0.2,450.0,0,0.06,-0.06,1500.0,0.26,-0.26,346.2,19/05/2021
"Saint-Maximin  Allan Saint-Maximin (Newcastle United, Midfielder)",NEW,6.5,0,0.09,-0.09,788.9,0,0.02,-0.02,3550.0,0.11,-0.11,645.5,19/05/2021
"Shelvey  Jonjo Shelvey (Newcastle United, Midfielder)",NEW,5.5,0,0.12,-0.12,750.0,0,0.55,-0.55,163.6,0.67,-0.67,134.3,19/05/2021
"Willock  Joseph Willock (Newcastle United, Midfielder)",NEW,6.0,0,0.02,-0.02,4250.0,1,0.45,0.55,188.9,0.47,0.53,180.9,19/05/2021
"Basham  Chris Basham (Sheffield United, Defender)",SHU,4.6,0,0.03,-0.03,3000.0,0,0.0,0.0,inf,0.03,-0.03,3000.0,19/05/2021
"Bogle  Jayden Bogle (Sheffield United, Defender)",SHU,4.3,0,0.02,-0.02,4450.0,0,0.06,-0.06,1483.3,0.08,-0.08,1112.5,19/05/2021
"Brewster  Rhian Brewster (Sheffield United, Forward)",SHU,4.2,0,0.0,0.0,inf,0,0.08,-0.08,287.5,0.08,-0.08,287.5,19/05/2021
"Egan  John Egan (Sheffield United, Defender)",SHU,4.7,0,0.04,-0.04,2250.0,0,0.04,-0.04,2250.0,0.08,-0.08,1125.0,19/05/2021
"Fleck  John Fleck (Sheffield United, Midfielder)",SHU,5.6,0,0.17,-0.17,529.4,0,0.0,0.0,inf,0.17,-0.17,529.4,19/05/2021
"Jebbison  Daniel Jebbison (Sheffield United, Forward)",SHU,4.5,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,19/05/2021
"McGoldrick  David McGoldrick (Sheffield United, Forward)",SHU,5.2,0,0.08,-0.08,1125.0,0,0.64,-0.64,140.6,0.72,-0.72,125.0,19/05/2021
"Norwood  Oliver Norwood (Sheffield United, Midfielder)",SHU,4.5,0,0.1,-0.1,900.0,0,0.07,-0.07,1285.7,0.17,-0.17,529.4,19/05/2021
"Osborn  Ben Osborn (Sheffield United, Midfielder)",SHU,4.7,0,0.04,-0.04,1675.0,0,0.0,0.0,inf,0.04,-0.04,1675.0,19/05/2021
"Ramsdale  Aaron Ramsdale (Sheffield United, Goalkeeper)",SHU,4.6,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,19/05/2021
"Robinson (Jack)  Jack Robinson (Sheffield United, Defender)",SHU,4.2,0,0.01,-0.01,9000.0,0,0.06,-0.06,1500.0,0.07,-0.07,1285.7,19/05/2021
"Seriki  Femi Seriki (Sheffield United, Midfielder)",SHU,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,19/05/2021
"Stevens (Enda)  Enda Stevens (Sheffield United, Defender)",SHU,5.0,0,0.07,-0.07,1285.7,0,0.0,0.0,inf,0.07,-0.07,1285.7,19/05/2021
