Name,Team,Cost,A,xA,Δ,Mins/xA,G,xG,Δ.1,Mins/xG,xGI,Δ.2,Mins/xGI,date
"Alioski  Ezgjan Alioski (Leeds United, Defender)",LEE,4.4,0,0.04,-0.04,2250.0,0,0.05,-0.05,1800.0,0.09,-0.09,1000.0,18/05/2021
"Ayling  Luke Ayling (Leeds United, Defender)",LEE,4.5,0,0.0,0.0,inf,0,0.03,-0.03,3000.0,0.03,-0.03,3000.0,18/05/2021
"Bamford  Patrick Bamford (Leeds United, Forward)",LEE,8.0,0,0.02,-0.02,4500.0,1,0.87,0.13,103.4,0.89,0.11,101.1,18/05/2021
"Berardi  Gaetano Berardi (Leeds United, Defender)",LEE,4.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,18/05/2021
"Kiko Casilla  Francisco Casilla Cortés (Leeds United, Goalkeeper)",LEE,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,18/05/2021
"Cooper  Liam Cooper (Leeds United, Defender)",LEE,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,18/05/2021
"Dallas  Stuart Dallas (Leeds United, Defender)",LEE,5.5,0,0.01,-0.01,9000.0,0,0.14,-0.14,642.9,0.15,-0.15,600.0,18/05/2021
"Raphinha  Raphael Dias Belloli (Leeds United, Midfielder)",LEE,6.5,0,0.05,-0.05,1800.0,0,0.17,-0.17,529.4,0.22,-0.22,409.1,18/05/2021
"Harrison  Jack Harrison (Leeds United, Midfielder)",LEE,6.0,0,0.02,-0.02,4500.0,0,0.04,-0.04,2250.0,0.06,-0.06,1500.0,18/05/2021
"Diego Llorente  Diego Javier Llorente Ríos (Leeds United, Defender)",LEE,4.5,0,0.0,0.0,inf,0,0.04,-0.04,1125.0,0.04,-0.04,1125.0,18/05/2021
"Rodrigo  Rodrigo Moreno Machado (Leeds United, Forward)",LEE,6.5,1,0.45,0.55,173.3,0,0.03,-0.03,2600.0,0.48,0.52,162.5,18/05/2021
"Phillips (Kalvin)  Kalvin Phillips (Leeds United, Midfielder)",LEE,5.0,0,0.03,-0.03,1500.0,0,0.0,0.0,inf,0.03,-0.03,1500.0,18/05/2021
"Roberts (Tyler)  Tyler Roberts (Leeds United, Midfielder)",LEE,5.0,0,0.0,0.0,inf,1,0.39,0.61,30.8,0.39,0.61,30.8,18/05/2021
"Struijk  Pascal Struijk (Leeds United, Defender)",LEE,4.5,0,0.0,0.0,inf,0,0.04,-0.04,1125.0,0.04,-0.04,1125.0,18/05/2021
"Adams  Che Adams (Southampton, Forward)",SOU,7.0,0,0.01,-0.01,4500.0,0,0.67,-0.67,67.2,0.68,-0.68,66.2,18/05/2021
"Armstrong  Stuart Armstrong (Southampton, Midfielder)",SOU,6.0,0,0.05,-0.05,1800.0,0,0.08,-0.08,1125.0,0.13,-0.13,692.3,18/05/2021
"Diallo  Ibrahima Diallo (Southampton, Midfielder)",SOU,4.5,0,0.04,-0.04,300.0,0,0.0,0.0,inf,0.04,-0.04,300.0,18/05/2021
"Djenepo  Moussa Djenepo (Southampton, Midfielder)",SOU,5.5,0,0.1,-0.1,900.0,0,0.02,-0.02,4500.0,0.12,-0.12,750.0,18/05/2021
"Ings  Danny Ings (Southampton, Forward)",SOU,8.0,0,0.03,-0.03,1500.0,0,0.15,-0.15,300.0,0.18,-0.18,250.0,18/05/2021
"McCarthy (Alex)  Alex McCarthy (Southampton, Goalkeeper)",SOU,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,18/05/2021
"Redmond  Nathan Redmond (Southampton, Midfielder)",SOU,6.0,0,0.0,0.0,inf,0,0.11,-0.11,181.8,0.11,-0.11,181.8,18/05/2021
"Salisu  Mohammed Salisu (Southampton, Defender)",SOU,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,18/05/2021
"Stephens (Jack)  Jack Stephens (Southampton, Defender)",SOU,4.5,0,0.03,-0.03,3000.0,0,0.34,-0.34,264.7,0.37,-0.37,243.2,18/05/2021
"Tella  Nathan Tella (Southampton, Midfielder)",SOU,5.0,0,0.08,-0.08,875.0,0,0.08,-0.08,875.0,0.16,-0.16,437.5,18/05/2021
"Vestergaard  Jannik Vestergaard (Southampton, Defender)",SOU,5.0,0,0.04,-0.04,2250.0,0,0.04,-0.04,2250.0,0.08,-0.08,1125.0,18/05/2021
"Walcott  Theo Walcott (Southampton, Midfielder)",SOU,6.0,0,0.03,-0.03,2600.0,0,0.0,0.0,inf,0.03,-0.03,2600.0,18/05/2021
"Walker-Peters  Kyle Walker-Peters (Southampton, Defender)",SOU,5.0,0,0.03,-0.03,3000.0,0,0.0,0.0,inf,0.03,-0.03,3000.0,18/05/2021
"Ward-Prowse  James Ward-Prowse (Southampton, Midfielder)",SOU,6.5,0,0.1,-0.1,900.0,0,0.12,-0.12,750.0,0.22,-0.22,409.1,18/05/2021
