Name,Team,Cost,Starts,Mins,On,Off,G,A,FA,TA,CS,GC,OG,PL YC,PL RC,Vs,GW,date,Position,Home
"Tosin  Oluwatosin Adarabioyo (Fulham, Defender)",FUL,4.5,1,90,0,0,0,0,0,0,0,2,0,0,0,NEW,38,23/05/2021,DEF,True
"Bryan (Joe)  Joe Bryan (Fulham, Defender)",FUL,4.5,1,76,0,1,0,0,0,0,0,1,0,0,0,NEW,38,23/05/2021,DEF,True
"Carvalho  Fabio Carvalho (Fulham, Midfielder)",FUL,4.5,1,90,0,0,0,0,0,0,0,2,0,0,0,NEW,38,23/05/2021,MID,True
"Cavaleiro  Ivan Cavaleiro (Fulham, Midfielder)",FUL,5.3,1,90,0,0,0,0,0,0,0,2,0,0,0,NEW,38,23/05/2021,MID,True
"DeCordova-Reid  Bobby DeCordova-Reid (Fulham, Forward)",FUL,5.3,1,90,0,0,0,0,0,0,0,2,0,0,0,NEW,38,23/05/2021,FWD,True
"Francois  Tyrese Francois (Fulham, Midfielder)",FUL,4.5,0,14,1,0,0,0,0,0,0,1,0,0,0,NEW,38,23/05/2021,MID,True
"Loftus-Cheek  Ruben Loftus-Cheek (Fulham, Midfielder)",FUL,5.5,0,45,1,0,0,0,0,0,0,1,0,0,0,NEW,38,23/05/2021,MID,True
"Lookman  Ademola Lookman (Fulham, Midfielder)",FUL,4.7,1,64,0,1,0,0,0,0,0,1,0,0,0,NEW,38,23/05/2021,MID,True
"Maja  Josh Maja (Fulham, Forward)",FUL,5.0,0,26,1,0,0,0,0,0,0,1,0,0,0,NEW,38,23/05/2021,FWD,True
"Onomah  Josh Onomah (Fulham, Midfielder)",FUL,4.6,1,90,0,0,0,0,0,0,0,2,0,0,0,NEW,38,23/05/2021,MID,True
"Ream  Tim Ream (Fulham, Defender)",FUL,4.2,1,90,0,0,0,0,0,0,0,2,0,0,0,NEW,38,23/05/2021,DEF,True
"Rodák  Marek Rodák (Fulham, Goalkeeper)",FUL,4.3,1,90,0,0,0,0,0,0,0,2,0,0,0,NEW,38,23/05/2021,GKP,True
"Tete  Kenny Tete (Fulham, Defender)",FUL,4.3,1,90,0,0,0,0,0,0,0,2,0,1,0,NEW,38,23/05/2021,DEF,True
"Zambo Anguissa  André-Frank Zambo Anguissa (Fulham, Midfielder)",FUL,4.4,1,45,0,1,0,0,0,0,0,1,0,0,0,NEW,38,23/05/2021,MID,True
"Almirón  Miguel Almirón (Newcastle United, Midfielder)",NEW,5.5,1,80,0,1,0,0,0,0,1,0,0,0,0,FUL,38,23/05/2021,MID,False
"Dubravka  Martin Dubravka (Newcastle United, Goalkeeper)",NEW,4.5,1,90,0,0,0,0,0,0,1,0,0,0,0,FUL,38,23/05/2021,GKP,False
"Dummett  Paul Dummett (Newcastle United, Defender)",NEW,4.5,1,90,0,0,0,0,0,0,1,0,0,0,0,FUL,38,23/05/2021,DEF,False
"Fernández  Federico Fernández (Newcastle United, Defender)",NEW,4.5,1,90,0,0,0,0,0,0,1,0,0,0,0,FUL,38,23/05/2021,DEF,False
"Gayle  Dwight Gayle (Newcastle United, Forward)",NEW,5.5,0,25,1,0,0,0,0,0,0,0,0,0,0,FUL,38,23/05/2021,FWD,False
"Hendrick  Jeff Hendrick (Newcastle United, Midfielder)",NEW,5.0,0,10,1,0,0,0,0,0,0,0,0,0,0,FUL,38,23/05/2021,MID,False
"Krafth  Emil Krafth (Newcastle United, Defender)",NEW,4.5,1,72,0,1,0,0,0,0,1,0,0,0,0,FUL,38,23/05/2021,DEF,False
"Longstaff (Sean)  Sean Longstaff (Newcastle United, Midfielder)",NEW,4.5,1,90,0,0,0,0,0,0,1,0,0,0,0,FUL,38,23/05/2021,MID,False
"Jacob Murphy  Jacob Murphy (Newcastle United, Midfielder)",NEW,5.0,1,90,0,0,0,0,0,0,1,0,0,0,0,FUL,38,23/05/2021,MID,False
"Ritchie  Matt Ritchie (Newcastle United, Midfielder)",NEW,5.0,1,90,0,0,0,0,1,1,1,0,0,0,0,FUL,38,23/05/2021,MID,False
"Saint-Maximin  Allan Saint-Maximin (Newcastle United, Midfielder)",NEW,6.5,1,65,0,1,0,0,0,0,1,0,0,0,0,FUL,38,23/05/2021,MID,False
"Schär  Fabian Schär (Newcastle United, Defender)",NEW,4.5,0,18,1,0,1,0,0,0,0,0,0,0,0,FUL,38,23/05/2021,DEF,False
"Shelvey  Jonjo Shelvey (Newcastle United, Midfielder)",NEW,5.5,1,90,0,0,0,0,0,0,1,0,0,0,0,FUL,38,23/05/2021,MID,False
"Willock  Joseph Willock (Newcastle United, Midfielder)",NEW,6.0,1,90,0,0,1,0,0,0,1,0,0,0,0,FUL,38,23/05/2021,MID,False
