Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Alioski  Ezgjan Alioski (Leeds United, Defender)",LEE,4.4,90,6,3,0,2,1,0,1,2,10,10,9.0,23/05/2021
"Ayling  Luke Ayling (Leeds United, Defender)",LEE,4.5,90,8,2,0,4,0,0,0,0,12,12,7.5,23/05/2021
"Bamford  Patrick Bamford (Leeds United, Forward)",LEE,8.0,45,1,1,0,0,0,0,1,0,25,1,45.0,23/05/2021
"Berardi  Gaetano Berardi (Leeds United, Defender)",LEE,4.0,69,5,3,1,4,0,0,0,0,25,13,5.3,23/05/2021
"Kiko Casilla  Francisco Casilla Cortés (Leeds United, Goalkeeper)",LEE,4.5,90,7,0,0,0,0,0,0,0,16,16,5.6,23/05/2021
"Cooper  Liam Cooper (Leeds United, Defender)",LEE,4.5,90,0,4,2,6,0,0,0,0,14,14,6.4,23/05/2021
"Dallas  Stuart Dallas (Leeds United, Defender)",LEE,5.5,90,2,0,1,4,0,0,1,0,12,12,7.5,23/05/2021
"Raphinha  Raphael Dias Belloli (Leeds United, Midfielder)",LEE,6.5,90,8,1,3,0,1,1,4,1,24,15,6.0,23/05/2021
"Harrison  Jack Harrison (Leeds United, Midfielder)",LEE,6.0,90,6,0,1,0,0,0,0,2,20,11,8.2,23/05/2021
"Hernández  Pablo Hernández (Leeds United, Midfielder)",LEE,5.5,70,8,0,0,0,0,0,1,1,18,9,7.8,23/05/2021
"Rodrigo  Rodrigo Moreno Machado (Leeds United, Forward)",LEE,6.5,45,2,1,1,0,0,0,0,0,27,3,15.0,23/05/2021
"Phillips (Kalvin)  Kalvin Phillips (Leeds United, Midfielder)",LEE,5.0,90,5,4,0,4,0,0,1,0,18,-3,0.0,23/05/2021
"Roberts (Tyler)  Tyler Roberts (Leeds United, Midfielder)",LEE,5.0,20,2,0,0,0,1,0,2,1,5,5,4.0,23/05/2021
"Struijk  Pascal Struijk (Leeds United, Defender)",LEE,4.5,21,5,2,0,0,0,0,1,0,6,6,3.5,23/05/2021
"Ajayi  Semi Ajayi (West Bromwich Albion, Defender)",WBA,4.8,90,3,4,0,0,0,0,0,0,9,9,10.0,23/05/2021
"Bartley  Kyle Bartley (West Bromwich Albion, Defender)",WBA,4.4,90,6,4,1,0,0,0,0,1,12,12,7.5,23/05/2021
"Diangana  Grady Diangana (West Bromwich Albion, Midfielder)",WBA,5.0,29,2,1,2,0,0,0,1,0,7,7,4.1,23/05/2021
"Furlong  Darnell Furlong (West Bromwich Albion, Defender)",WBA,4.5,90,2,3,0,0,0,0,0,0,1,1,90.0,23/05/2021
"Gallagher  Conor Gallagher (West Bromwich Albion, Midfielder)",WBA,5.5,90,6,1,0,0,1,0,2,2,1,1,90.0,23/05/2021
"Grant (Karlan)  Karlan Grant (West Bromwich Albion, Forward)",WBA,5.6,7,0,0,0,0,0,0,0,0,3,3,2.3,23/05/2021
"Johnstone  Sam Johnstone (West Bromwich Albion, Goalkeeper)",WBA,4.6,90,10,2,0,0,0,0,0,0,22,22,4.1,23/05/2021
"Maitland-Niles  Ainsley Maitland-Niles (West Bromwich Albion, Defender)",WBA,5.5,83,9,3,0,2,0,0,2,1,15,15,5.5,23/05/2021
"O'Shea  Dara O&#039;Shea (West Bromwich Albion, Defender)",WBA,4.2,60,4,2,0,0,0,0,0,1,5,5,12.0,23/05/2021
"Phillips (Matthew)  Matthew Phillips (West Bromwich Albion, Midfielder)",WBA,5.1,90,5,1,1,0,1,0,1,3,10,10,9.0,23/05/2021
"Robinson (Callum)  Callum Robinson (West Bromwich Albion, Forward)",WBA,5.2,61,4,0,1,0,0,0,1,0,1,1,61.0,23/05/2021
"Robson-Kanu  Hal Robson-Kanu (West Bromwich Albion, Forward)",WBA,5.2,30,2,2,1,0,0,0,0,0,27,3,10.0,23/05/2021
"Townsend (Conor)  Conor Townsend (West Bromwich Albion, Defender)",WBA,4.4,90,7,3,0,0,0,0,1,1,8,8,11.3,23/05/2021
"Yokuslu  Okay Yokuslu (West Bromwich Albion, Midfielder)",WBA,4.5,90,7,3,1,0,0,0,0,1,5,5,18.0,23/05/2021
