Name,Team,Cost,Starts,Mins,On,Off,G,A,FA,TA,CS,GC,OG,PL YC,PL RC,Vs,GW,date,Position,Home
"Alioski  Ezgjan Alioski (Leeds United, Defender)",LEE,4.4,1,90,0,0,0,0,0,0,0,1,0,0,0,WBA,38,23/05/2021,DEF,True
"Ayling  Luke Ayling (Leeds United, Defender)",LEE,4.5,1,90,0,0,0,0,0,0,0,1,0,0,0,WBA,38,23/05/2021,DEF,True
"Bamford  Patrick Bamford (Leeds United, Forward)",LEE,8.0,0,45,1,0,1,0,0,0,0,1,0,0,0,WBA,38,23/05/2021,FWD,True
"Berardi  Gaetano Berardi (Leeds United, Defender)",LEE,4.0,1,69,0,1,0,0,0,0,1,0,0,0,0,WBA,38,23/05/2021,DEF,True
"Kiko Casilla  Francisco Casilla Cortés (Leeds United, Goalkeeper)",LEE,4.5,1,90,0,0,0,0,0,0,0,1,0,0,0,WBA,38,23/05/2021,GKP,True
"Cooper  Liam Cooper (Leeds United, Defender)",LEE,4.5,1,90,0,0,0,0,0,0,0,1,0,1,0,WBA,38,23/05/2021,DEF,True
"Dallas  Stuart Dallas (Leeds United, Defender)",LEE,5.5,1,90,0,0,0,0,0,0,0,1,0,0,0,WBA,38,23/05/2021,DEF,True
"Raphinha  Raphael Dias Belloli (Leeds United, Midfielder)",LEE,6.5,1,90,0,0,0,1,0,1,0,1,0,0,0,WBA,38,23/05/2021,MID,True
"Harrison  Jack Harrison (Leeds United, Midfielder)",LEE,6.0,1,90,0,0,0,0,1,1,0,1,0,0,0,WBA,38,23/05/2021,MID,True
"Hernández  Pablo Hernández (Leeds United, Midfielder)",LEE,5.5,1,70,0,1,0,0,1,1,1,0,0,0,0,WBA,38,23/05/2021,MID,True
"Rodrigo  Rodrigo Moreno Machado (Leeds United, Forward)",LEE,6.5,1,45,0,1,1,0,0,0,0,0,0,0,0,WBA,38,23/05/2021,FWD,True
"Phillips (Kalvin)  Kalvin Phillips (Leeds United, Midfielder)",LEE,5.0,1,90,0,0,1,0,0,0,0,1,0,1,0,WBA,38,23/05/2021,MID,True
"Roberts (Tyler)  Tyler Roberts (Leeds United, Midfielder)",LEE,5.0,0,20,1,0,0,0,0,0,0,1,0,0,0,WBA,38,23/05/2021,MID,True
"Struijk  Pascal Struijk (Leeds United, Defender)",LEE,4.5,0,21,1,0,0,0,0,0,0,1,0,0,0,WBA,38,23/05/2021,DEF,True
"Ajayi  Semi Ajayi (West Bromwich Albion, Defender)",WBA,4.8,1,90,0,0,0,0,0,0,0,3,0,0,0,LEE,38,23/05/2021,DEF,False
"Bartley  Kyle Bartley (West Bromwich Albion, Defender)",WBA,4.4,1,90,0,0,0,0,0,0,0,3,0,0,0,LEE,38,23/05/2021,DEF,False
"Diangana  Grady Diangana (West Bromwich Albion, Midfielder)",WBA,5.0,0,29,1,0,0,0,0,0,0,1,0,0,0,LEE,38,23/05/2021,MID,False
"Furlong  Darnell Furlong (West Bromwich Albion, Defender)",WBA,4.5,1,90,0,0,0,0,0,0,0,3,0,0,0,LEE,38,23/05/2021,DEF,False
"Gallagher  Conor Gallagher (West Bromwich Albion, Midfielder)",WBA,5.5,1,90,0,0,0,0,0,0,0,3,0,1,0,LEE,38,23/05/2021,MID,False
"Grant (Karlan)  Karlan Grant (West Bromwich Albion, Forward)",WBA,5.6,0,7,1,0,0,0,0,0,0,0,0,0,0,LEE,38,23/05/2021,FWD,False
"Johnstone  Sam Johnstone (West Bromwich Albion, Goalkeeper)",WBA,4.6,1,90,0,0,0,0,0,0,0,3,0,0,0,LEE,38,23/05/2021,GKP,False
"Maitland-Niles  Ainsley Maitland-Niles (West Bromwich Albion, Defender)",WBA,5.5,1,83,0,1,0,0,0,0,0,3,0,0,0,LEE,38,23/05/2021,DEF,False
"O'Shea  Dara O&#039;Shea (West Bromwich Albion, Defender)",WBA,4.2,1,60,0,1,0,0,0,0,0,2,0,0,0,LEE,38,23/05/2021,DEF,False
"Phillips (Matthew)  Matthew Phillips (West Bromwich Albion, Midfielder)",WBA,5.1,1,90,0,0,0,0,0,0,0,3,0,0,0,LEE,38,23/05/2021,MID,False
"Robinson (Callum)  Callum Robinson (West Bromwich Albion, Forward)",WBA,5.2,1,61,0,1,0,0,0,0,0,2,0,0,0,LEE,38,23/05/2021,FWD,False
"Robson-Kanu  Hal Robson-Kanu (West Bromwich Albion, Forward)",WBA,5.2,0,30,1,0,1,0,0,0,0,1,0,0,0,LEE,38,23/05/2021,FWD,False
"Townsend (Conor)  Conor Townsend (West Bromwich Albion, Defender)",WBA,4.4,1,90,0,0,0,0,0,0,0,3,0,0,0,LEE,38,23/05/2021,DEF,False
"Yokuslu  Okay Yokuslu (West Bromwich Albion, Midfielder)",WBA,4.5,1,90,0,0,0,0,0,0,0,3,0,0,0,LEE,38,23/05/2021,MID,False
