Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Albrighton  Marc Albrighton (Leicester City, Midfielder)",LEI,5.5,80,2,3,0,0,0,0,1,0,6,6,13.3,23/05/2021
"Ricardo Pereira  Ricardo Domingos Barbosa Pereira (Leicester City, Defender)",LEI,5.5,28,2,0,1,0,0,0,0,0,5,5,5.6,23/05/2021
"Castagne  Timothy Castagne (Leicester City, Defender)",LEI,5.5,90,8,4,1,4,0,0,0,0,16,16,5.6,23/05/2021
"Fofana  Wesley Fofana (Leicester City, Defender)",LEI,4.5,21,4,1,0,0,0,0,0,0,4,4,5.3,23/05/2021
"Iheanacho  Kelechi Iheanacho (Leicester City, Forward)",LEI,7.5,90,6,0,0,4,0,0,1,0,4,4,22.5,23/05/2021
"Maddison  James Maddison (Leicester City, Midfielder)",LEI,7.0,62,4,1,0,0,0,0,0,4,9,9,6.9,23/05/2021
"Mendy (Nampalys)  Nampalys Mendy (Leicester City, Midfielder)",LEI,4.5,69,7,3,0,6,0,0,1,0,12,12,5.8,23/05/2021
"Ndidi  Onyinye Wilfred Ndidi (Leicester City, Midfielder)",LEI,5.0,90,10,7,1,2,0,0,0,1,15,15,6.0,23/05/2021
"Ayoze Pérez  Ayoze Pérez Gutiérrez (Leicester City, Midfielder)",LEI,6.0,10,0,0,0,0,0,0,0,0,2,2,5.0,23/05/2021
"Schmeichel  Kasper Schmeichel (Leicester City, Goalkeeper)",LEI,5.0,90,4,0,0,0,0,0,0,0,3,3,30.0,23/05/2021
"Söyüncü  Caglar Söyüncü (Leicester City, Defender)",LEI,5.0,90,5,8,1,2,0,0,0,2,15,15,6.0,23/05/2021
"Thomas (Luke)  Luke Thomas (Leicester City, Defender)",LEI,4.5,90,6,6,4,0,1,0,0,1,17,17,5.3,23/05/2021
"Tielemans  Youri Tielemans (Leicester City, Midfielder)",LEI,6.5,90,11,1,1,2,0,0,4,1,17,17,5.3,23/05/2021
"Vardy  Jamie Vardy (Leicester City, Forward)",LEI,10.5,90,0,2,0,0,0,0,0,0,50,2,45.0,23/05/2021
"Alderweireld  Toby Alderweireld (Tottenham Hotspur, Defender)",TOT,5.0,90,5,7,1,6,0,0,0,1,15,15,6.0,23/05/2021
"Alli  Bamidele Alli (Tottenham Hotspur, Midfielder)",TOT,6.5,68,4,0,0,0,0,0,0,1,4,4,17.0,23/05/2021
"Bale  Gareth Bale (Tottenham Hotspur, Midfielder)",TOT,9.2,22,1,0,0,0,0,0,2,1,41,2,11.0,23/05/2021
"Bergwijn  Steven Bergwijn (Tottenham Hotspur, Midfielder)",TOT,6.0,68,3,0,1,0,0,0,0,3,4,4,17.0,23/05/2021
"Doherty  Matt Doherty (Tottenham Hotspur, Defender)",TOT,5.0,90,7,8,2,4,1,0,0,0,16,16,5.6,23/05/2021
"Højbjerg  Pierre-Emile Højbjerg (Tottenham Hotspur, Midfielder)",TOT,5.0,90,6,0,0,4,0,0,0,2,13,13,6.9,23/05/2021
"Kane  Harry Kane (Tottenham Hotspur, Forward)",TOT,12.5,90,2,1,0,0,0,0,1,4,33,0,0.0,23/05/2021
"Lloris  Hugo Lloris (Tottenham Hotspur, Goalkeeper)",TOT,5.5,90,10,0,0,0,0,0,0,0,16,16,5.6,23/05/2021
"Reguilón  Sergio Reguilón (Tottenham Hotspur, Defender)",TOT,5.0,90,3,1,2,0,0,0,1,2,13,13,6.9,23/05/2021
"Rodon  Joe Rodon (Tottenham Hotspur, Defender)",TOT,4.5,1,0,0,1,0,0,0,0,0,5,5,0.2,23/05/2021
"Lucas Moura  Lucas Rodrigues Moura da Silva (Tottenham Hotspur, Midfielder)",TOT,6.5,22,2,0,1,0,0,0,0,0,4,4,5.5,23/05/2021
"Son  Heung-Min Son (Tottenham Hotspur, Midfielder)",TOT,10.0,89,4,0,0,2,1,0,3,0,19,10,8.9,23/05/2021
"DSanchez  Davinson Sánchez (Tottenham Hotspur, Defender)",TOT,4.5,90,7,7,2,4,0,0,1,0,16,16,5.6,23/05/2021
"Winks  Harry Winks (Tottenham Hotspur, Midfielder)",TOT,4.5,90,11,2,1,2,1,0,0,1,10,10,9.0,23/05/2021
