Name,Team,Cost,A,xA,Δ,Mins/xA,G,xG,Δ.1,Mins/xG,xGI,Δ.2,Mins/xGI,date
"Bernard  Bernard Anício Caldeira Duarte (Everton, Midfielder)",EVE,5.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,23/05/2021
"Calvert-Lewin  Dominic Calvert-Lewin (Everton, Forward)",EVE,8.0,0,0.01,-0.01,9000.0,0,0.07,-0.07,1285.7,0.08,-0.08,1125.0,23/05/2021
"Davies (Tom)  Tom Davies (Everton, Midfielder)",EVE,5.0,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,23/05/2021
"Digne  Lucas Digne (Everton, Defender)",EVE,5.5,0,0.0,0.0,inf,0,0.01,-0.01,9000.0,0.01,-0.01,9000.0,23/05/2021
"Doucouré  Abdoulaye Doucouré (Everton, Midfielder)",EVE,5.5,0,0.02,-0.02,2850.0,0,0.0,0.0,inf,0.02,-0.02,2850.0,23/05/2021
"Godfrey  Ben Godfrey (Everton, Defender)",EVE,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,23/05/2021
"Holgate  Mason Holgate (Everton, Defender)",EVE,4.5,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,23/05/2021
"Iwobi  Alex Iwobi (Everton, Midfielder)",EVE,6.0,0,0.03,-0.03,1100.0,0,0.0,0.0,inf,0.03,-0.03,1100.0,23/05/2021
"Keane  Michael Keane (Everton, Defender)",EVE,5.0,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,23/05/2021
"Allan  Allan Marques Loureiro (Everton, Midfielder)",EVE,4.5,0,0.06,-0.06,1500.0,0,0.0,0.0,inf,0.06,-0.06,1500.0,23/05/2021
"Nkounkou  Niels Nkounkou (Everton, Defender)",EVE,4.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,23/05/2021
"Pickford  Jordan Pickford (Everton, Goalkeeper)",EVE,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,23/05/2021
"Sigurdsson  Gylfi Sigurdsson (Everton, Midfielder)",EVE,7.0,0,0.07,-0.07,842.9,0,0.84,-0.84,70.2,0.91,-0.91,64.8,23/05/2021
"Richarlison  Richarlison de Andrade (Everton, Forward)",EVE,7.5,0,0.0,0.0,inf,0,0.23,-0.23,339.1,0.23,-0.23,339.1,23/05/2021
"Aguero  Sergio Aguero (Manchester City, Forward)",MCI,10.3,0,0.01,-0.01,2500.0,2,0.61,1.39,41.0,0.62,1.38,40.3,23/05/2021
"De Bruyne  Kevin De Bruyne (Manchester City, Midfielder)",MCI,12.0,1,0.21,0.79,428.6,1,0.08,0.92,1125.0,0.29,1.71,310.3,23/05/2021
"Foden  Phil Foden (Manchester City, Midfielder)",MCI,8.0,0,0.02,-0.02,2800.0,1,0.48,0.52,116.7,0.5,0.5,112.0,23/05/2021
"Rúben Dias  Rúben Santos Gato Alves Dias (Manchester City, Defender)",MCI,6.0,0,0.01,-0.01,9000.0,0,0.04,-0.04,2250.0,0.05,-0.05,1800.0,23/05/2021
"Rodri  Rodrigo Hernández Cascante (Manchester City, Midfielder)",MCI,5.5,0,0.01,-0.01,3400.0,0,0.07,-0.07,485.7,0.08,-0.08,425.0,23/05/2021
"Fernandinho  Fernando Luiz Rosa (Manchester City, Defender)",MCI,5.0,2,0.13,1.87,692.3,0,0.06,-0.06,1500.0,0.19,1.81,473.7,23/05/2021
"Mahrez  Riyad Mahrez (Manchester City, Midfielder)",MCI,9.0,1,0.15,0.85,433.3,0,0.09,-0.09,722.2,0.24,0.76,270.8,23/05/2021
"Ederson  Ederson Santana de Moraes (Manchester City, Goalkeeper)",MCI,6.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,23/05/2021
"Sterling  Raheem Sterling (Manchester City, Midfielder)",MCI,11.0,1,0.32,0.68,281.3,0,0.32,-0.32,281.3,0.64,0.36,140.6,23/05/2021
"Stones  John Stones (Manchester City, Defender)",MCI,5.5,0,0.02,-0.02,4500.0,0,0.13,-0.13,692.3,0.15,-0.15,600.0,23/05/2021
"Torres  Ferran Torres (Manchester City, Midfielder)",MCI,7.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,23/05/2021
"Walker (Kyle)  Kyle Walker (Manchester City, Defender)",MCI,5.5,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,23/05/2021
"Zinchenko  Oleksandr Zinchenko (Manchester City, Defender)",MCI,5.5,0,0.02,-0.02,4500.0,0,0.07,-0.07,1285.7,0.09,-0.09,1000.0,23/05/2021
"Jesus  Gabriel Fernando de Jesus (Manchester City, Forward)",MCI,8.5,0,0.25,-0.25,296.0,1,0.62,0.38,119.4,0.87,0.13,85.1,23/05/2021
