Name,Team,Cost,A,xA,Δ,Mins/xA,G,xG,Δ.1,Mins/xG,xGI,Δ.2,Mins/xGI,date
"Armstrong  Stuart Armstrong (Southampton, Midfielder)",SOU,6.0,0,0.06,-0.06,1500.0,0,0.09,-0.09,1000.0,0.15,-0.15,600.0,23/05/2021
"Bednarek  Jan Bednarek (Southampton, Defender)",SOU,4.5,0,0.0,0.0,inf,0,0.03,-0.03,3000.0,0.03,-0.03,3000.0,23/05/2021
"Diallo  Ibrahima Diallo (Southampton, Midfielder)",SOU,4.5,0,0.06,-0.06,1500.0,0,0.1,-0.1,900.0,0.16,-0.16,562.5,23/05/2021
"Ings  Danny Ings (Southampton, Forward)",SOU,8.0,0,0.01,-0.01,8400.0,0,0.14,-0.14,600.0,0.15,-0.15,560.0,23/05/2021
"McCarthy (Alex)  Alex McCarthy (Southampton, Goalkeeper)",SOU,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,23/05/2021
"Minamino  Takumi Minamino (Southampton, Midfielder)",SOU,5.5,0,0.03,-0.03,2066.7,0,0.38,-0.38,163.2,0.41,-0.41,151.2,23/05/2021
"Obafemi  Michael Obafemi (Southampton, Forward)",SOU,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,23/05/2021
"Redmond  Nathan Redmond (Southampton, Midfielder)",SOU,6.0,0,0.51,-0.51,176.5,0,0.09,-0.09,1000.0,0.6,-0.6,150.0,23/05/2021
"Romeu  Oriol Romeu (Southampton, Midfielder)",SOU,4.5,0,0.02,-0.02,1500.0,0,0.0,0.0,inf,0.02,-0.02,1500.0,23/05/2021
"Salisu  Mohammed Salisu (Southampton, Defender)",SOU,4.5,0,0.01,-0.01,9000.0,0,0.05,-0.05,1800.0,0.06,-0.06,1500.0,23/05/2021
"Tella  Nathan Tella (Southampton, Midfielder)",SOU,5.0,0,0.07,-0.07,400.0,0,0.07,-0.07,400.0,0.14,-0.14,200.0,23/05/2021
"Vestergaard  Jannik Vestergaard (Southampton, Defender)",SOU,5.0,0,0.01,-0.01,9000.0,0,0.1,-0.1,900.0,0.11,-0.11,818.2,23/05/2021
"Walker-Peters  Kyle Walker-Peters (Southampton, Defender)",SOU,5.0,0,0.01,-0.01,6000.0,0,0.44,-0.44,136.4,0.45,-0.45,133.3,23/05/2021
"Ward-Prowse  James Ward-Prowse (Southampton, Midfielder)",SOU,6.5,0,0.21,-0.21,428.6,0,0.02,-0.02,4500.0,0.23,-0.23,391.3,23/05/2021
"Antonio  Michail Antonio (West Ham United, Forward)",WHU,7.5,0,0.04,-0.04,1725.0,0,0.0,0.0,inf,0.04,-0.04,1725.0,23/05/2021
"Benrahma  Said Benrahma (West Ham United, Midfielder)",WHU,6.0,0,0.0,0.0,inf,0,0.05,-0.05,420.0,0.05,-0.05,420.0,23/05/2021
"Bowen  Jarrod Bowen (West Ham United, Midfielder)",WHU,6.5,0,0.07,-0.07,1200.0,0,0.13,-0.13,646.2,0.2,-0.2,420.0,23/05/2021
"Coufal  Vladimir Coufal (West Ham United, Defender)",WHU,5.0,1,0.07,0.93,1285.7,0,0.0,0.0,inf,0.07,0.93,1285.7,23/05/2021
"Cresswell (Aaron)  Aaron Cresswell (West Ham United, Defender)",WHU,5.5,0,0.05,-0.05,1800.0,0,0.0,0.0,inf,0.05,-0.05,1800.0,23/05/2021
"Dawson  Craig Dawson (West Ham United, Defender)",WHU,5.0,0,0.0,0.0,inf,0,0.05,-0.05,1800.0,0.05,-0.05,1800.0,23/05/2021
"Diop  Issa Diop (West Ham United, Defender)",WHU,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,23/05/2021
"Fabianski  Lukasz Fabianski (West Ham United, Goalkeeper)",WHU,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,23/05/2021
"Fornals  Pablo Fornals (West Ham United, Midfielder)",WHU,6.0,1,0.03,0.97,3000.0,2,0.57,1.43,157.9,0.6,2.4,150.0,23/05/2021
"Lingard  Jesse Lingard (West Ham United, Midfielder)",WHU,7.0,0,0.02,-0.02,4500.0,0,0.12,-0.12,750.0,0.14,-0.14,642.9,23/05/2021
"Noble  Mark Noble (West Ham United, Midfielder)",WHU,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,23/05/2021
"Ogbonna  Angelo Ogbonna (West Ham United, Defender)",WHU,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,23/05/2021
"Rice  Declan Rice (West Ham United, Midfielder)",WHU,5.0,0,0.01,-0.01,8900.0,1,0.39,0.61,228.2,0.4,0.6,222.5,23/05/2021
"Soucek  Tomas Soucek (West Ham United, Midfielder)",WHU,6.0,0,0.01,-0.01,9000.0,0,0.04,-0.04,2250.0,0.05,-0.05,1800.0,23/05/2021
