Name,Team,Cost,A,xA,Δ,Mins/xA,G,xG,Δ.1,Mins/xG,xGI,Δ.2,Mins/xGI,date
"Cash  Matthew Cash (Aston Villa, Defender)",AVL,5.0,0,0.1,-0.1,900.0,0,0.0,0.0,inf,0.1,-0.1,900.0,28/09/2020
"Grealish  Jack Grealish (Aston Villa, Midfielder)",AVL,8.0,0,0.3,-0.3,300.0,1,0.4,0.6,225.0,0.7,0.3,128.6,28/09/2020
"Trezeguet  Mahmoud Hassan (Aston Villa, Midfielder)",AVL,5.5,0,0.02,-0.02,4200.0,0,0.05,-0.05,1680.0,0.07,-0.07,1200.0,28/09/2020
"Hourihane  Conor Hourihane (Aston Villa, Midfielder)",AVL,5.0,1,0.39,0.61,194.9,1,0.44,0.56,172.7,0.83,1.17,91.6,28/09/2020
"Konsa Ngoyo  Ezri Konsa Ngoyo (Aston Villa, Defender)",AVL,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,28/09/2020
"Martinez  Emiliano Martinez (Aston Villa, Goalkeeper)",AVL,5.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,28/09/2020
"McGinn  John McGinn (Aston Villa, Midfielder)",AVL,6.0,2,0.59,1.41,152.5,0,0.08,-0.08,1125.0,0.67,1.33,134.3,28/09/2020
"Mings  Tyrone Mings (Aston Villa, Defender)",AVL,5.0,0,0.0,0.0,inf,1,0.25,0.75,360.0,0.25,0.75,360.0,28/09/2020
"Nakamba  Marvelous Nakamba (Aston Villa, Midfielder)",AVL,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,28/09/2020
"Jacob Ramsey  Jacob Ramsey (Aston Villa, Midfielder)",AVL,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,28/09/2020
"Douglas Luiz  Douglas Luiz Soares de Paulo (Aston Villa, Midfielder)",AVL,4.5,0,0.01,-0.01,8700.0,0,0.0,0.0,inf,0.01,-0.01,8700.0,28/09/2020
"Targett  Matt Targett (Aston Villa, Defender)",AVL,5.0,0,0.04,-0.04,2250.0,0,0.0,0.0,inf,0.04,-0.04,2250.0,28/09/2020
"Traore (Bertrand)  Bertrand Traore (Aston Villa, Midfielder)",AVL,6.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,28/09/2020
"Watkins  Ollie Watkins (Aston Villa, Forward)",AVL,7.5,0,0.03,-0.03,3000.0,0,0.2,-0.2,450.0,0.23,-0.23,391.3,28/09/2020
"Areola  Alphonse Areola (Fulham, Goalkeeper)",FUL,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,28/09/2020
"Bryan (Joe)  Joe Bryan (Fulham, Defender)",FUL,4.5,0,0.07,-0.07,1285.7,0,0.07,-0.07,1285.7,0.14,-0.14,642.9,28/09/2020
"Cairney  Tom Cairney (Fulham, Midfielder)",FUL,5.2,0,0.13,-0.13,692.3,0,0.03,-0.03,3000.0,0.16,-0.16,562.5,28/09/2020
"Cavaleiro  Ivan Cavaleiro (Fulham, Midfielder)",FUL,5.3,0,0.12,-0.12,750.0,0,0.13,-0.13,692.3,0.25,-0.25,360.0,28/09/2020
"DeCordova-Reid  Bobby DeCordova-Reid (Fulham, Forward)",FUL,5.3,0,0.01,-0.01,7800.0,0,0.06,-0.06,1300.0,0.07,-0.07,1114.3,28/09/2020
"Hector  Michael Hector (Fulham, Defender)",FUL,4.1,0,0.01,-0.01,5800.0,0,0.0,0.0,inf,0.01,-0.01,5800.0,28/09/2020
"Kamara  Aboubakar Kamara (Fulham, Midfielder)",FUL,4.8,0,0.12,-0.12,425.0,0,0.03,-0.03,1700.0,0.15,-0.15,340.0,28/09/2020
"Kebano  Neeskens Kebano (Fulham, Midfielder)",FUL,4.7,0,0.02,-0.02,600.0,0,0.03,-0.03,400.0,0.05,-0.05,240.0,28/09/2020
"Le Marchand  Maxime Le Marchand (Fulham, Defender)",FUL,4.1,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,28/09/2020
"Mitrovic  Aleksandar Mitrovic (Fulham, Forward)",FUL,5.5,0,0.07,-0.07,1285.7,0,0.36,-0.36,250.0,0.43,-0.43,209.3,28/09/2020
"Odoi  Denis Odoi (Fulham, Defender)",FUL,4.2,0,0.07,-0.07,1285.7,0,0.0,0.0,inf,0.07,-0.07,1285.7,28/09/2020
"Ream  Tim Ream (Fulham, Defender)",FUL,4.2,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,28/09/2020
"Tete  Kenny Tete (Fulham, Defender)",FUL,4.3,0,0.16,-0.16,243.8,0,0.0,0.0,inf,0.16,-0.16,243.8,28/09/2020
"Zambo Anguissa  André-Frank Zambo Anguissa (Fulham, Midfielder)",FUL,4.4,0,0.06,-0.06,1500.0,0,0.04,-0.04,2250.0,0.1,-0.1,900.0,28/09/2020
