Name,Team,Cost,Starts,Mins,On,Off,G,A,FA,TA,CS,GC,OG,PL YC,PL RC,Vs,GW,date,Position,Home
"Cash  Matthew Cash (Aston Villa, Defender)",AVL,5.0,1,90,0,0,0,0,0,0,1,0,0,0,0,FUL,3,28/09/2020,DEF,False
"Grealish  Jack Grealish (Aston Villa, Midfielder)",AVL,8.0,1,90,0,0,1,0,0,0,1,0,0,0,0,FUL,3,28/09/2020,MID,False
"Trezeguet  Mahmoud Hassan (Aston Villa, Midfielder)",AVL,5.5,1,84,0,1,0,0,0,0,1,0,0,0,0,FUL,3,28/09/2020,MID,False
"Hourihane  Conor Hourihane (Aston Villa, Midfielder)",AVL,5.0,1,76,0,1,1,1,0,1,1,0,0,0,0,FUL,3,28/09/2020,MID,False
"Konsa Ngoyo  Ezri Konsa Ngoyo (Aston Villa, Defender)",AVL,5.0,1,90,0,0,0,0,0,0,1,0,0,0,0,FUL,3,28/09/2020,DEF,False
"Martinez  Emiliano Martinez (Aston Villa, Goalkeeper)",AVL,5.5,1,90,0,0,0,0,0,0,1,0,0,0,0,FUL,3,28/09/2020,GKP,False
"McGinn  John McGinn (Aston Villa, Midfielder)",AVL,6.0,1,90,0,0,0,2,0,2,1,0,0,1,0,FUL,3,28/09/2020,MID,False
"Mings  Tyrone Mings (Aston Villa, Defender)",AVL,5.0,1,90,0,0,1,0,0,0,1,0,0,1,0,FUL,3,28/09/2020,DEF,False
"Nakamba  Marvelous Nakamba (Aston Villa, Midfielder)",AVL,4.5,0,3,1,0,0,0,0,0,0,0,0,0,0,FUL,3,28/09/2020,MID,False
"Jacob Ramsey  Jacob Ramsey (Aston Villa, Midfielder)",AVL,4.5,0,14,1,0,0,0,0,0,0,0,0,0,0,FUL,3,28/09/2020,MID,False
"Douglas Luiz  Douglas Luiz Soares de Paulo (Aston Villa, Midfielder)",AVL,4.5,1,87,0,1,0,0,0,0,1,0,0,0,0,FUL,3,28/09/2020,MID,False
"Targett  Matt Targett (Aston Villa, Defender)",AVL,5.0,1,90,0,0,0,0,0,0,1,0,0,1,0,FUL,3,28/09/2020,DEF,False
"Traore (Bertrand)  Bertrand Traore (Aston Villa, Midfielder)",AVL,6.0,0,6,1,0,0,0,0,0,0,0,0,0,0,FUL,3,28/09/2020,MID,False
"Watkins  Ollie Watkins (Aston Villa, Forward)",AVL,7.5,1,90,0,0,0,0,0,0,1,0,0,0,0,FUL,3,28/09/2020,FWD,False
"Areola  Alphonse Areola (Fulham, Goalkeeper)",FUL,5.0,1,90,0,0,0,0,0,0,0,3,0,0,0,AVL,3,28/09/2020,GKP,True
"Bryan (Joe)  Joe Bryan (Fulham, Defender)",FUL,4.5,1,90,0,0,0,0,0,0,0,3,0,1,0,AVL,3,28/09/2020,DEF,True
"Cairney  Tom Cairney (Fulham, Midfielder)",FUL,5.2,1,90,0,0,0,0,0,0,0,3,0,1,0,AVL,3,28/09/2020,MID,True
"Cavaleiro  Ivan Cavaleiro (Fulham, Midfielder)",FUL,5.3,1,90,0,0,0,0,0,0,0,3,0,0,0,AVL,3,28/09/2020,MID,True
"DeCordova-Reid  Bobby DeCordova-Reid (Fulham, Forward)",FUL,5.3,1,78,0,1,0,0,0,0,0,3,0,1,0,AVL,3,28/09/2020,FWD,True
"Hector  Michael Hector (Fulham, Defender)",FUL,4.1,1,58,0,1,0,0,0,0,0,3,0,0,0,AVL,3,28/09/2020,DEF,True
"Kamara  Aboubakar Kamara (Fulham, Midfielder)",FUL,4.8,0,51,1,0,0,0,0,0,0,1,0,1,0,AVL,3,28/09/2020,MID,True
"Kebano  Neeskens Kebano (Fulham, Midfielder)",FUL,4.7,0,12,1,0,0,0,0,0,0,0,0,0,0,AVL,3,28/09/2020,MID,True
"Le Marchand  Maxime Le Marchand (Fulham, Defender)",FUL,4.1,0,32,1,0,0,0,0,0,0,0,0,1,0,AVL,3,28/09/2020,DEF,True
"Mitrovic  Aleksandar Mitrovic (Fulham, Forward)",FUL,5.5,1,90,0,0,0,0,0,0,0,3,0,0,0,AVL,3,28/09/2020,FWD,True
"Odoi  Denis Odoi (Fulham, Defender)",FUL,4.2,1,90,0,0,0,0,0,0,0,3,0,1,0,AVL,3,28/09/2020,DEF,True
"Ream  Tim Ream (Fulham, Defender)",FUL,4.2,1,90,0,0,0,0,0,0,0,3,0,0,0,AVL,3,28/09/2020,DEF,True
"Tete  Kenny Tete (Fulham, Defender)",FUL,4.3,1,39,0,1,0,0,0,0,0,2,0,0,0,AVL,3,28/09/2020,DEF,True
"Zambo Anguissa  André-Frank Zambo Anguissa (Fulham, Midfielder)",FUL,4.4,1,90,0,0,0,0,0,0,0,3,0,0,0,AVL,3,28/09/2020,MID,True
