Name,Team,Cost,Starts,Mins,On,Off,G,A,FA,TA,CS,GC,OG,PL YC,PL RC,Vs,GW,date,Position,Home
"Alioski  Ezgjan Alioski (Leeds United, Defender)",LEE,4.4,0,1,1,0,0,0,0,0,0,0,0,0,0,SHU,3,27/09/2020,DEF,False
"Ayling  Luke Ayling (Leeds United, Defender)",LEE,4.5,1,90,0,0,0,0,0,0,1,0,0,0,0,SHU,3,27/09/2020,DEF,False
"Bamford  Patrick Bamford (Leeds United, Forward)",LEE,8.0,1,90,0,0,1,0,0,0,1,0,0,0,0,SHU,3,27/09/2020,FWD,False
"Cooper  Liam Cooper (Leeds United, Defender)",LEE,4.5,1,90,0,0,0,0,0,0,1,0,0,0,0,SHU,3,27/09/2020,DEF,False
"Hélder Costa  Helder Costa (Leeds United, Midfielder)",LEE,5.5,1,66,0,1,0,0,0,0,1,0,0,0,0,SHU,3,27/09/2020,MID,False
"Dallas  Stuart Dallas (Leeds United, Defender)",LEE,5.5,1,90,0,0,0,0,0,0,1,0,0,0,0,SHU,3,27/09/2020,DEF,False
"Harrison  Jack Harrison (Leeds United, Midfielder)",LEE,6.0,1,90,0,0,0,1,0,1,1,0,0,0,0,SHU,3,27/09/2020,MID,False
"Klich  Mateusz Klich (Leeds United, Midfielder)",LEE,5.5,1,90,0,0,0,0,0,0,1,0,0,0,0,SHU,3,27/09/2020,MID,False
"Koch  Robin Koch (Leeds United, Defender)",LEE,4.5,1,90,0,0,0,0,0,0,1,0,0,0,0,SHU,3,27/09/2020,DEF,False
"Meslier  Illan Meslier (Leeds United, Goalkeeper)",LEE,5.0,1,90,0,0,0,0,0,0,1,0,0,0,0,SHU,3,27/09/2020,GKP,False
"Rodrigo  Rodrigo Moreno Machado (Leeds United, Forward)",LEE,6.5,0,44,1,1,0,0,0,0,0,0,0,0,0,SHU,3,27/09/2020,FWD,False
"Phillips (Kalvin)  Kalvin Phillips (Leeds United, Midfielder)",LEE,5.0,1,90,0,0,0,0,0,0,1,0,0,1,0,SHU,3,27/09/2020,MID,False
"Poveda-Ocampo  Ian Carlo Poveda-Ocampo (Leeds United, Midfielder)",LEE,4.5,0,24,1,0,0,0,0,0,0,0,0,0,0,SHU,3,27/09/2020,MID,False
"Roberts (Tyler)  Tyler Roberts (Leeds United, Midfielder)",LEE,5.0,1,45,0,1,0,0,0,0,0,0,0,0,0,SHU,3,27/09/2020,MID,False
"Ampadu  Ethan Ampadu (Sheffield United, Defender)",SHU,4.5,1,90,0,0,0,0,0,0,0,1,0,0,0,LEE,3,27/09/2020,DEF,True
"Baldock  George Baldock (Sheffield United, Defender)",SHU,4.9,1,90,0,0,0,0,0,0,0,1,0,1,0,LEE,3,27/09/2020,DEF,True
"Basham  Chris Basham (Sheffield United, Defender)",SHU,4.6,1,90,0,0,0,0,0,0,0,1,0,0,0,LEE,3,27/09/2020,DEF,True
"Berge  Sander Berge (Sheffield United, Midfielder)",SHU,4.9,1,90,0,0,0,0,0,0,0,1,0,0,0,LEE,3,27/09/2020,MID,True
"Oliver Burke  Oliver Burke (Sheffield United, Midfielder)",SHU,4.1,1,74,0,1,0,0,0,0,1,0,0,0,0,LEE,3,27/09/2020,MID,True
"Lundstram  John Lundstram (Sheffield United, Midfielder)",SHU,4.8,1,64,0,1,0,0,0,0,1,0,0,1,0,LEE,3,27/09/2020,MID,True
"McBurnie  Oliver McBurnie (Sheffield United, Forward)",SHU,5.6,0,16,1,0,0,0,0,0,0,1,0,0,0,LEE,3,27/09/2020,FWD,True
"McGoldrick  David McGoldrick (Sheffield United, Forward)",SHU,5.2,1,74,0,1,0,0,0,0,1,0,0,0,0,LEE,3,27/09/2020,FWD,True
"Norwood  Oliver Norwood (Sheffield United, Midfielder)",SHU,4.5,0,26,1,0,0,0,0,0,0,1,0,0,0,LEE,3,27/09/2020,MID,True
"Osborn  Ben Osborn (Sheffield United, Midfielder)",SHU,4.7,1,90,0,0,0,0,0,0,0,1,0,0,0,LEE,3,27/09/2020,MID,True
"Ramsdale  Aaron Ramsdale (Sheffield United, Goalkeeper)",SHU,4.6,1,90,0,0,0,0,0,0,0,1,0,0,0,LEE,3,27/09/2020,GKP,True
"Robinson (Jack)  Jack Robinson (Sheffield United, Defender)",SHU,4.2,1,90,0,0,0,0,0,0,0,1,0,0,0,LEE,3,27/09/2020,DEF,True
"Sharp  Billy Sharp (Sheffield United, Forward)",SHU,5.5,0,16,1,0,0,0,0,0,0,1,0,0,0,LEE,3,27/09/2020,FWD,True
"Stevens (Enda)  Enda Stevens (Sheffield United, Defender)",SHU,5.0,1,90,0,0,0,0,0,0,0,1,0,0,0,LEE,3,27/09/2020,DEF,True
