Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Antonio  Michail Antonio (West Ham United, Forward)",WHU,7.5,88,5,2,0,0,0,0,1,6,5,5,17.6,27/09/2020
"Balbuena  Fabián Balbuena (West Ham United, Defender)",WHU,4.1,90,7,4,3,0,0,0,0,0,27,15,6.0,27/09/2020
"Bowen  Jarrod Bowen (West Ham United, Midfielder)",WHU,6.5,88,3,0,2,0,0,0,0,1,44,5,17.6,27/09/2020
"Cresswell (Aaron)  Aaron Cresswell (West Ham United, Defender)",WHU,5.5,90,3,8,0,4,1,0,4,0,33,21,4.3,27/09/2020
"Fabianski  Lukasz Fabianski (West Ham United, Goalkeeper)",WHU,5.0,90,8,1,0,0,0,0,0,0,26,14,6.4,27/09/2020
"Fornals  Pablo Fornals (West Ham United, Midfielder)",WHU,6.0,90,5,0,0,0,0,0,1,1,19,1,90.0,27/09/2020
"Fredericks  Ryan Fredericks (West Ham United, Defender)",WHU,4.5,49,3,3,1,0,1,0,2,1,10,10,4.9,27/09/2020
"Haller  Sébastien Haller (West Ham United, Forward)",WHU,6.1,2,0,0,0,0,0,0,0,0,27,3,0.7,27/09/2020
"Johnson (Ben)  Ben Johnson (West Ham United, Defender)",WHU,4.0,41,3,1,0,0,0,0,0,0,4,4,10.3,27/09/2020
"Masuaku  Arthur Masuaku (West Ham United, Defender)",WHU,4.5,90,5,2,0,2,3,1,4,2,40,19,4.7,27/09/2020
"Noble  Mark Noble (West Ham United, Midfielder)",WHU,4.5,2,0,0,0,0,0,0,0,0,3,3,0.7,27/09/2020
"Ogbonna  Angelo Ogbonna (West Ham United, Defender)",WHU,5.0,90,6,6,0,0,0,0,0,0,22,10,9.0,27/09/2020
"Rice  Declan Rice (West Ham United, Midfielder)",WHU,5.0,90,12,3,2,4,0,0,0,5,22,22,4.1,27/09/2020
"Soucek  Tomas Soucek (West Ham United, Midfielder)",WHU,6.0,90,3,4,1,4,0,0,0,0,17,8,11.3,27/09/2020
"Boly  Willy Boly (Wolverhampton Wanderers, Defender)",WOL,5.0,90,2,4,2,4,0,0,0,0,15,15,6.0,27/09/2020
"Coady  Conor Coady (Wolverhampton Wanderers, Defender)",WOL,4.5,90,2,1,0,4,0,0,0,1,5,5,18.0,27/09/2020
"Hoever  Ki-Jana Hoever (Wolverhampton Wanderers, Defender)",WOL,4.0,17,2,0,0,0,1,0,1,0,5,5,3.4,27/09/2020
"Raúl Jiménez  Raul Alonso Jimenez Rodriguez (Wolverhampton Wanderers, Forward)",WOL,7.5,90,5,1,0,4,0,0,0,1,-1,-1,0.0,27/09/2020
"Vitor Ferreira  Vitor Machado Ferreira (Wolverhampton Wanderers, Midfielder)",WOL,4.7,17,2,0,0,0,0,0,1,1,3,3,5.7,27/09/2020
"Moutinho  João Moutinho (Wolverhampton Wanderers, Midfielder)",WOL,5.0,73,2,0,0,6,0,0,1,0,11,11,6.6,27/09/2020
"Neto  Pedro Neto (Wolverhampton Wanderers, Midfielder)",WOL,6.5,90,5,0,0,6,1,0,3,3,11,11,8.2,27/09/2020
"Saiss  Romain Saiss (Wolverhampton Wanderers, Defender)",WOL,5.0,90,7,3,0,4,0,0,0,1,14,14,6.4,27/09/2020
"Semedo  Nelson Semedo (Wolverhampton Wanderers, Defender)",WOL,5.0,73,1,1,0,4,0,0,0,5,14,14,5.2,27/09/2020
"Rúben Vinagre  Rúben Gonçalo Silva Nascimento Vinagre (Wolverhampton Wanderers, Defender)",WOL,4.1,90,9,2,2,6,2,0,1,0,19,19,4.7,27/09/2020
"Fabio Silva  Fabio Daniel Soares Silva (Wolverhampton Wanderers, Forward)",WOL,6.0,28,3,1,0,0,0,0,1,0,1,1,28.0,27/09/2020
"Traoré  Adama Traoré (Wolverhampton Wanderers, Midfielder)",WOL,6.0,62,1,0,0,0,0,0,0,8,9,9,6.9,27/09/2020
"Ruben Neves  Rúben Diogo da Silva Neves (Wolverhampton Wanderers, Midfielder)",WOL,5.5,90,7,2,2,4,0,0,0,0,14,14,6.4,27/09/2020
"Rui Patrício  Rui Pedro dos Santos Patrício (Wolverhampton Wanderers, Goalkeeper)",WOL,5.0,90,9,0,0,0,0,0,0,0,17,17,5.3,27/09/2020
