Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Barkley  Ross Barkley (Aston Villa, Midfielder)",AVL,5.5,90,5,1,0,4,0,0,0,3,24,6,15.0,04/10/2020
"Cash  Matthew Cash (Aston Villa, Defender)",AVL,5.0,80,9,8,0,0,0,0,1,0,14,14,5.7,04/10/2020
"Elmohamady  Ahmed Elmohamady (Aston Villa, Defender)",AVL,4.2,10,0,0,0,0,0,0,1,0,4,4,2.5,04/10/2020
"Grealish  Jack Grealish (Aston Villa, Midfielder)",AVL,8.0,90,8,2,3,2,0,2,5,0,90,27,3.3,04/10/2020
"Trezeguet  Mahmoud Hassan (Aston Villa, Midfielder)",AVL,5.5,87,5,4,1,0,2,3,3,0,30,21,4.1,04/10/2020
"Konsa Ngoyo  Ezri Konsa Ngoyo (Aston Villa, Defender)",AVL,5.0,90,3,6,0,0,0,0,0,0,10,10,9.0,04/10/2020
"Martinez  Emiliano Martinez (Aston Villa, Goalkeeper)",AVL,5.5,90,12,0,0,0,0,0,0,0,22,22,4.1,04/10/2020
"McGinn  John McGinn (Aston Villa, Midfielder)",AVL,6.0,90,9,5,0,0,0,1,1,4,46,16,5.6,04/10/2020
"Mings  Tyrone Mings (Aston Villa, Defender)",AVL,5.0,90,9,8,1,0,0,0,0,1,16,16,5.6,04/10/2020
"Nakamba  Marvelous Nakamba (Aston Villa, Midfielder)",AVL,4.5,10,1,0,0,0,0,0,0,0,-1,-1,0.0,04/10/2020
"Douglas Luiz  Douglas Luiz Soares de Paulo (Aston Villa, Midfielder)",AVL,4.5,80,8,5,0,0,0,0,0,0,4,4,20.0,04/10/2020
"Targett  Matt Targett (Aston Villa, Defender)",AVL,5.0,90,4,8,0,0,0,0,0,1,11,11,8.2,04/10/2020
"Traore (Bertrand)  Bertrand Traore (Aston Villa, Midfielder)",AVL,6.0,3,0,0,0,0,0,0,0,1,2,2,1.5,04/10/2020
"Watkins  Ollie Watkins (Aston Villa, Forward)",AVL,7.5,90,1,1,0,0,0,0,2,1,77,-4,0.0,04/10/2020
"Alexander-Arnold  Trent Alexander-Arnold (Liverpool, Defender)",LIV,7.5,90,9,5,0,4,1,0,1,0,17,17,5.3,04/10/2020
"Firmino  Roberto Firmino Barbosa de Oliveira (Liverpool, Forward)",LIV,9.0,68,3,0,0,0,0,1,2,4,20,11,6.2,04/10/2020
"Gomez  Joseph Gomez (Liverpool, Defender)",LIV,5.0,61,4,5,0,4,0,0,0,0,11,11,5.5,04/10/2020
"Jones (Curtis)  Curtis Jones (Liverpool, Midfielder)",LIV,5.0,29,3,1,0,0,0,0,0,1,4,4,7.3,04/10/2020
"Keita  Naby Keita (Liverpool, Midfielder)",LIV,5.0,45,3,0,0,6,0,0,0,0,8,8,5.6,04/10/2020
"Milner  James Milner (Liverpool, Midfielder)",LIV,5.0,22,1,1,1,0,1,0,1,0,5,5,4.4,04/10/2020
"Minamino  Takumi Minamino (Liverpool, Midfielder)",LIV,5.5,45,1,1,1,0,0,0,0,3,7,7,6.4,04/10/2020
"Robertson  Andrew Robertson (Liverpool, Defender)",LIV,7.0,90,2,4,1,4,0,0,2,2,13,13,6.9,04/10/2020
"Salah  Mohamed Salah (Liverpool, Midfielder)",LIV,12.5,90,4,0,0,6,0,2,3,2,56,20,4.5,04/10/2020
"Adrián  Adrián San Miguel del Castillo (Liverpool, Goalkeeper)",LIV,4.5,90,10,1,0,0,0,0,0,0,14,14,6.4,04/10/2020
"Fabinho  Fabio Henrique Tavares (Liverpool, Midfielder)",LIV,5.5,90,4,3,0,4,0,0,1,1,12,12,7.5,04/10/2020
"Diogo Jota  Diogo José Teixeira da Silva (Liverpool, Midfielder)",LIV,7.5,90,3,1,0,4,0,0,1,0,5,5,18.0,04/10/2020
"Wijnaldum  Georginio Wijnaldum (Liverpool, Midfielder)",LIV,5.3,90,6,3,0,4,0,0,0,0,12,12,7.5,04/10/2020
"van Dijk  Virgil van Dijk (Liverpool, Defender)",LIV,6.5,90,4,4,2,6,0,0,0,0,15,15,6.0,04/10/2020
