Name,Team,Cost,A,xA,Δ,Mins/xA,G,xG,Δ.1,Mins/xG,xGI,Δ.2,Mins/xGI,date
"Alzate  Steven Alzate (Brighton and Hove Albion, Midfielder)",BHA,5.0,0,0.03,-0.03,2733.3,0,0.0,0.0,inf,0.03,-0.03,2733.3,03/10/2020
"Bissouma  Yves Bissouma (Brighton and Hove Albion, Midfielder)",BHA,4.5,0,0.06,-0.06,1500.0,1,0.05,0.95,1800.0,0.11,0.89,818.2,03/10/2020
"Connolly  Aaron Connolly (Brighton and Hove Albion, Forward)",BHA,5.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,03/10/2020
"Dunk  Lewis Dunk (Brighton and Hove Albion, Defender)",BHA,5.0,0,0.01,-0.01,9000.0,0,0.06,-0.06,1500.0,0.07,-0.07,1285.7,03/10/2020
"Groß  Pascal Groß (Brighton and Hove Albion, Midfielder)",BHA,6.0,0,0.03,-0.03,266.7,0,0.0,0.0,inf,0.03,-0.03,266.7,03/10/2020
"Lallana  Adam Lallana (Brighton and Hove Albion, Midfielder)",BHA,5.5,0,0.02,-0.02,1200.0,0,0.0,0.0,inf,0.02,-0.02,1200.0,03/10/2020
"Lamptey  Tariq Lamptey (Brighton and Hove Albion, Defender)",BHA,4.5,0,0.03,-0.03,1500.0,0,0.0,0.0,inf,0.03,-0.03,1500.0,03/10/2020
"March  Solomon March (Brighton and Hove Albion, Midfielder)",BHA,5.5,1,0.13,0.87,692.3,0,0.0,0.0,inf,0.13,0.87,692.3,03/10/2020
"Maupay  Neal Maupay (Brighton and Hove Albion, Forward)",BHA,6.5,0,0.05,-0.05,1800.0,1,1.03,-0.03,87.4,1.08,-0.08,83.3,03/10/2020
"Mat Ryan  Mathew Ryan (Brighton and Hove Albion, Goalkeeper)",BHA,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,03/10/2020
"Trossard  Leandro Trossard (Brighton and Hove Albion, Midfielder)",BHA,6.5,0,0.17,-0.17,529.4,0,0.2,-0.2,450.0,0.37,-0.37,243.2,03/10/2020
"Veltman  Joël Veltman (Brighton and Hove Albion, Defender)",BHA,4.5,0,0.01,-0.01,4500.0,0,0.0,0.0,inf,0.01,-0.01,4500.0,03/10/2020
"Webster  Adam Webster (Brighton and Hove Albion, Defender)",BHA,4.5,0,0.04,-0.04,2250.0,0,0.04,-0.04,2250.0,0.08,-0.08,1125.0,03/10/2020
"White (Ben)  Ben White (Brighton and Hove Albion, Defender)",BHA,4.5,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,03/10/2020
"Calvert-Lewin  Dominic Calvert-Lewin (Everton, Forward)",EVE,8.0,0,0.03,-0.03,3000.0,1,0.23,0.77,391.3,0.26,0.74,346.2,03/10/2020
"Coleman  Seamus Coleman (Everton, Defender)",EVE,5.0,0,0.03,-0.03,1933.3,0,0.03,-0.03,1933.3,0.06,-0.06,966.7,03/10/2020
"Davies (Tom)  Tom Davies (Everton, Midfielder)",EVE,5.0,0,0.04,-0.04,2250.0,0,0.0,0.0,inf,0.04,-0.04,2250.0,03/10/2020
"Delph  Fabian Delph (Everton, Midfielder)",EVE,4.5,0,0.01,-0.01,3200.0,0,0.0,0.0,inf,0.01,-0.01,3200.0,03/10/2020
"Digne  Lucas Digne (Everton, Defender)",EVE,5.5,0,0.08,-0.08,1125.0,0,0.0,0.0,inf,0.08,-0.08,1125.0,03/10/2020
"Doucouré  Abdoulaye Doucouré (Everton, Midfielder)",EVE,5.5,1,0.48,0.52,187.5,0,0.0,0.0,inf,0.48,0.52,187.5,03/10/2020
"Iwobi  Alex Iwobi (Everton, Midfielder)",EVE,6.0,1,0.37,0.63,175.7,0,0.0,0.0,inf,0.37,0.63,175.7,03/10/2020
"Keane  Michael Keane (Everton, Defender)",EVE,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,03/10/2020
"Mina  Yerry Mina (Everton, Defender)",EVE,5.0,0,0.0,0.0,inf,1,0.31,0.69,290.3,0.31,0.69,290.3,03/10/2020
"Pickford  Jordan Pickford (Everton, Goalkeeper)",EVE,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,03/10/2020
"Rodríguez  James Rodríguez (Everton, Midfielder)",EVE,7.0,1,0.32,0.68,243.8,2,0.94,1.06,83.0,1.26,1.74,61.9,03/10/2020
"Sigurdsson  Gylfi Sigurdsson (Everton, Midfielder)",EVE,7.0,1,0.21,0.79,428.6,0,0.06,-0.06,1500.0,0.27,0.73,333.3,03/10/2020
"Walcott  Theo Walcott (Everton, Midfielder)",EVE,6.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,03/10/2020
"Richarlison  Richarlison de Andrade (Everton, Forward)",EVE,7.5,0,0.0,0.0,inf,0,0.03,-0.03,833.3,0.03,-0.03,833.3,03/10/2020
