Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Amartey  Daniel Amartey (Leicester City, Defender)",LEI,4.0,55,5,3,1,6,0,0,0,1,14,14,3.9,04/10/2020
"Barnes (Harvey)  Harvey Barnes (Leicester City, Midfielder)",LEI,7.0,90,1,0,0,0,0,0,0,3,6,6,15.0,04/10/2020
"Castagne  Timothy Castagne (Leicester City, Defender)",LEI,5.5,90,8,4,0,4,1,0,1,3,17,17,5.3,04/10/2020
"Choudhury  Hamza Choudhury (Leicester City, Midfielder)",LEI,4.5,1,0,0,0,0,0,0,0,0,3,3,0.3,04/10/2020
"Evans  Jonny Evans (Leicester City, Defender)",LEI,5.5,90,6,6,0,4,0,0,0,0,11,11,8.2,04/10/2020
"Iheanacho  Kelechi Iheanacho (Leicester City, Forward)",LEI,7.5,26,0,0,0,0,0,1,1,0,7,7,3.7,04/10/2020
"Justin  James Justin (Leicester City, Defender)",LEI,5.0,90,6,2,0,4,0,0,0,0,11,11,8.2,04/10/2020
"Mendy (Nampalys)  Nampalys Mendy (Leicester City, Midfielder)",LEI,4.5,89,9,2,0,6,0,0,0,1,8,8,11.1,04/10/2020
"Ayoze Pérez  Ayoze Pérez Gutiérrez (Leicester City, Midfielder)",LEI,6.0,64,4,0,1,0,0,0,0,0,9,9,7.1,04/10/2020
"Schmeichel  Kasper Schmeichel (Leicester City, Goalkeeper)",LEI,5.0,90,9,0,0,0,0,0,0,0,15,15,6.0,04/10/2020
"Söyüncü  Caglar Söyüncü (Leicester City, Defender)",LEI,5.0,90,4,8,0,6,0,0,0,0,14,14,6.4,04/10/2020
"Tielemans  Youri Tielemans (Leicester City, Midfielder)",LEI,6.5,90,10,4,1,4,1,0,0,0,16,16,5.6,04/10/2020
"Vardy  Jamie Vardy (Leicester City, Forward)",LEI,10.5,90,0,0,0,0,0,0,0,1,-2,-2,0.0,04/10/2020
"Ünder  Cengiz Ünder (Leicester City, Midfielder)",LEI,5.7,35,0,0,0,0,0,0,0,2,2,2,17.5,04/10/2020
"Antonio  Michail Antonio (West Ham United, Forward)",WHU,7.5,88,3,0,1,0,0,0,2,1,36,9,9.8,04/10/2020
"Balbuena  Fabián Balbuena (West Ham United, Defender)",WHU,4.1,90,7,13,0,0,0,0,0,0,24,12,7.5,04/10/2020
"Bowen  Jarrod Bowen (West Ham United, Midfielder)",WHU,6.5,88,8,2,1,0,0,0,1,2,32,14,6.3,04/10/2020
"Coufal  Vladimir Coufal (West Ham United, Defender)",WHU,5.0,90,7,6,0,0,1,0,2,0,21,9,10.0,04/10/2020
"Cresswell (Aaron)  Aaron Cresswell (West Ham United, Defender)",WHU,5.5,90,7,8,0,2,1,2,4,0,57,27,3.3,04/10/2020
"Fabianski  Lukasz Fabianski (West Ham United, Goalkeeper)",WHU,5.0,90,8,1,0,0,0,0,0,0,19,7,12.9,04/10/2020
"Fornals  Pablo Fornals (West Ham United, Midfielder)",WHU,6.0,90,2,3,1,0,0,1,3,0,36,9,10.0,04/10/2020
"Haller  Sébastien Haller (West Ham United, Forward)",WHU,6.1,2,0,0,0,0,0,0,0,0,3,3,0.7,04/10/2020
"Masuaku  Arthur Masuaku (West Ham United, Defender)",WHU,4.5,90,5,3,0,0,0,0,0,2,19,7,12.9,04/10/2020
"Noble  Mark Noble (West Ham United, Midfielder)",WHU,4.5,2,0,0,0,0,0,0,0,0,3,3,0.7,04/10/2020
"Ogbonna  Angelo Ogbonna (West Ham United, Defender)",WHU,5.0,90,11,5,0,0,0,0,0,0,22,10,9.0,04/10/2020
"Rice  Declan Rice (West Ham United, Midfielder)",WHU,5.0,90,9,4,1,4,0,0,1,1,16,16,5.6,04/10/2020
"Soucek  Tomas Soucek (West Ham United, Midfielder)",WHU,6.0,90,5,8,0,0,0,0,0,0,6,6,15.0,04/10/2020
