Name,Team,Cost,A,xA,Δ,Mins/xA,G,xG,Δ.1,Mins/xG,xGI,Δ.2,Mins/xGI,date
"Amartey  Daniel Amartey (Leicester City, Defender)",LEI,4.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,04/10/2020
"Barnes (Harvey)  Harvey Barnes (Leicester City, Midfielder)",LEI,7.0,0,0.11,-0.11,818.2,0,0.06,-0.06,1500.0,0.17,-0.17,529.4,04/10/2020
"Castagne  Timothy Castagne (Leicester City, Defender)",LEI,5.5,0,0.03,-0.03,3000.0,0,0.0,0.0,inf,0.03,-0.03,3000.0,04/10/2020
"Choudhury  Hamza Choudhury (Leicester City, Midfielder)",LEI,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,04/10/2020
"Evans  Jonny Evans (Leicester City, Defender)",LEI,5.5,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,04/10/2020
"Iheanacho  Kelechi Iheanacho (Leicester City, Forward)",LEI,7.5,0,0.18,-0.18,144.4,0,0.07,-0.07,371.4,0.25,-0.25,104.0,04/10/2020
"Justin  James Justin (Leicester City, Defender)",LEI,5.0,0,0.02,-0.02,4500.0,0,0.0,0.0,inf,0.02,-0.02,4500.0,04/10/2020
"Mendy (Nampalys)  Nampalys Mendy (Leicester City, Midfielder)",LEI,4.5,0,0.05,-0.05,1780.0,0,0.02,-0.02,4450.0,0.07,-0.07,1271.4,04/10/2020
"Ayoze Pérez  Ayoze Pérez Gutiérrez (Leicester City, Midfielder)",LEI,6.0,0,0.02,-0.02,3200.0,0,0.0,0.0,inf,0.02,-0.02,3200.0,04/10/2020
"Schmeichel  Kasper Schmeichel (Leicester City, Goalkeeper)",LEI,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,04/10/2020
"Söyüncü  Caglar Söyüncü (Leicester City, Defender)",LEI,5.0,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,04/10/2020
"Tielemans  Youri Tielemans (Leicester City, Midfielder)",LEI,6.5,0,0.09,-0.09,1000.0,0,0.0,0.0,inf,0.09,-0.09,1000.0,04/10/2020
"Vardy  Jamie Vardy (Leicester City, Forward)",LEI,10.5,0,0.01,-0.01,9000.0,0,0.41,-0.41,219.5,0.42,-0.42,214.3,04/10/2020
"Ünder  Cengiz Ünder (Leicester City, Midfielder)",LEI,5.7,0,0.01,-0.01,3500.0,0,0.0,0.0,inf,0.01,-0.01,3500.0,04/10/2020
"Antonio  Michail Antonio (West Ham United, Forward)",WHU,7.5,0,0.07,-0.07,1257.1,1,0.36,0.64,244.4,0.43,0.57,204.7,04/10/2020
"Balbuena  Fabián Balbuena (West Ham United, Defender)",WHU,4.1,0,0.0,0.0,inf,0,0.13,-0.13,692.3,0.13,-0.13,692.3,04/10/2020
"Bowen  Jarrod Bowen (West Ham United, Midfielder)",WHU,6.5,0,0.03,-0.03,2933.3,1,0.65,0.35,135.4,0.68,0.32,129.4,04/10/2020
"Coufal  Vladimir Coufal (West Ham United, Defender)",WHU,5.0,0,0.12,-0.12,750.0,0,0.0,0.0,inf,0.12,-0.12,750.0,04/10/2020
"Cresswell (Aaron)  Aaron Cresswell (West Ham United, Defender)",WHU,5.5,2,0.18,1.82,500.0,0,0.0,0.0,inf,0.18,1.82,500.0,04/10/2020
"Fabianski  Lukasz Fabianski (West Ham United, Goalkeeper)",WHU,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,04/10/2020
"Fornals  Pablo Fornals (West Ham United, Midfielder)",WHU,6.0,1,0.21,0.79,428.6,1,0.39,0.61,230.8,0.6,1.4,150.0,04/10/2020
"Haller  Sébastien Haller (West Ham United, Forward)",WHU,6.1,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,04/10/2020
"Masuaku  Arthur Masuaku (West Ham United, Defender)",WHU,4.5,0,0.01,-0.01,9000.0,0,0.03,-0.03,3000.0,0.04,-0.04,2250.0,04/10/2020
"Noble  Mark Noble (West Ham United, Midfielder)",WHU,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,04/10/2020
"Ogbonna  Angelo Ogbonna (West Ham United, Defender)",WHU,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,04/10/2020
"Rice  Declan Rice (West Ham United, Midfielder)",WHU,5.0,0,0.02,-0.02,4500.0,0,0.09,-0.09,1000.0,0.11,-0.11,818.2,04/10/2020
"Soucek  Tomas Soucek (West Ham United, Midfielder)",WHU,6.0,0,0.0,0.0,inf,0,0.37,-0.37,243.2,0.37,-0.37,243.2,04/10/2020
