Name,Team,Cost,Starts,Mins,On,Off,G,A,FA,TA,CS,GC,OG,PL YC,PL RC,Vs,GW,date,Position,Home
"Bailly  Eric Bailly (Manchester United, Defender)",MUN,5.0,1,90,0,0,0,0,0,0,0,6,0,1,0,TOT,4,04/10/2020,DEF,True
"Bruno Fernandes  Bruno Miguel Borges Fernandes (Manchester United, Midfielder)",MUN,12.0,1,45,0,1,1,0,0,0,0,4,0,0,0,TOT,4,04/10/2020,MID,True
"De Gea  David De Gea (Manchester United, Goalkeeper)",MUN,5.0,1,90,0,0,0,0,0,0,0,6,0,0,0,TOT,4,04/10/2020,GKP,True
"Greenwood (Mason)  Mason Greenwood (Manchester United, Midfielder)",MUN,7.5,1,67,0,1,0,0,0,0,0,5,0,0,0,TOT,4,04/10/2020,MID,True
"Maguire (Harry)  Harry Maguire (Manchester United, Defender)",MUN,5.5,1,90,0,0,0,0,0,0,0,6,0,0,0,TOT,4,04/10/2020,DEF,True
"Martial  Anthony Martial (Manchester United, Forward)",MUN,8.0,1,28,0,0,0,0,1,1,0,2,0,0,1,TOT,4,04/10/2020,FWD,True
"Matic  Nemanja Matic (Manchester United, Midfielder)",MUN,4.5,1,45,0,1,0,0,0,0,0,4,0,0,0,TOT,4,04/10/2020,MID,True
"McTominay  Scott McTominay (Manchester United, Midfielder)",MUN,5.5,0,45,1,0,0,0,0,0,0,2,0,0,0,TOT,4,04/10/2020,MID,True
"Pogba  Paul Pogba (Manchester United, Midfielder)",MUN,7.5,1,90,0,0,0,0,0,0,0,6,0,0,0,TOT,4,04/10/2020,MID,True
"Rashford  Marcus Rashford (Manchester United, Midfielder)",MUN,9.5,1,90,0,0,0,0,0,0,0,6,0,0,0,TOT,4,04/10/2020,MID,True
"Fred  Frederico Rodrigues de Paula Santos (Manchester United, Midfielder)",MUN,5.0,0,45,1,0,0,0,0,0,0,2,0,0,0,TOT,4,04/10/2020,MID,True
"Shaw  Luke Shaw (Manchester United, Defender)",MUN,5.5,1,90,0,0,0,0,0,0,0,6,0,1,0,TOT,4,04/10/2020,DEF,True
"Wan-Bissaka  Aaron Wan-Bissaka (Manchester United, Defender)",MUN,5.5,1,90,0,0,0,0,0,0,0,6,0,0,0,TOT,4,04/10/2020,DEF,True
"van de Beek  Donny van de Beek (Manchester United, Midfielder)",MUN,6.0,0,23,1,0,0,0,0,0,0,1,0,0,0,TOT,4,04/10/2020,MID,True
"Alli  Bamidele Alli (Tottenham Hotspur, Midfielder)",TOT,6.5,0,21,1,0,0,0,0,0,0,0,0,0,0,MUN,4,04/10/2020,MID,False
"Aurier  Serge Aurier (Tottenham Hotspur, Defender)",TOT,5.0,1,90,0,0,1,1,0,1,0,1,0,0,0,MUN,4,04/10/2020,DEF,False
"Davies (Ben)  Ben Davies (Tottenham Hotspur, Defender)",TOT,4.5,0,17,1,0,0,0,1,1,0,0,0,0,0,MUN,4,04/10/2020,DEF,False
"Dier  Eric Dier (Tottenham Hotspur, Defender)",TOT,4.5,1,90,0,0,0,0,0,0,0,1,0,0,0,MUN,4,04/10/2020,DEF,False
"Højbjerg  Pierre-Emile Højbjerg (Tottenham Hotspur, Midfielder)",TOT,5.0,1,90,0,0,0,1,0,1,0,1,0,0,0,MUN,4,04/10/2020,MID,False
"Kane  Harry Kane (Tottenham Hotspur, Forward)",TOT,12.5,1,90,0,0,2,1,0,1,0,1,0,0,0,MUN,4,04/10/2020,FWD,False
"Lamela  Erik Lamela (Tottenham Hotspur, Midfielder)",TOT,6.0,1,45,0,1,0,0,0,0,0,1,0,1,0,MUN,4,04/10/2020,MID,False
"Lloris  Hugo Lloris (Tottenham Hotspur, Goalkeeper)",TOT,5.5,1,90,0,0,0,0,0,0,0,1,0,0,0,MUN,4,04/10/2020,GKP,False
"NDombele  Tanguy NDombele (Tottenham Hotspur, Midfielder)",TOT,6.0,1,69,0,1,1,0,0,0,0,1,0,0,0,MUN,4,04/10/2020,MID,False
"Reguilón  Sergio Reguilón (Tottenham Hotspur, Defender)",TOT,5.0,1,90,0,0,0,0,0,0,0,1,0,0,0,MUN,4,04/10/2020,DEF,False
"Lucas Moura  Lucas Rodrigues Moura da Silva (Tottenham Hotspur, Midfielder)",TOT,6.5,0,45,1,0,0,0,0,0,0,0,0,0,0,MUN,4,04/10/2020,MID,False
"Sissoko  Moussa Sissoko (Tottenham Hotspur, Midfielder)",TOT,4.5,1,90,0,0,0,0,0,0,0,1,0,0,0,MUN,4,04/10/2020,MID,False
"Son  Heung-Min Son (Tottenham Hotspur, Midfielder)",TOT,10.0,1,73,0,1,2,1,0,1,0,1,0,0,0,MUN,4,04/10/2020,MID,False
"DSanchez  Davinson Sánchez (Tottenham Hotspur, Defender)",TOT,4.5,1,90,0,0,0,0,0,0,0,1,0,0,0,MUN,4,04/10/2020,DEF,False
