Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Abraham  Tammy Abraham (Chelsea, Forward)",CHE,6.5,1,0,0,0,0,0,0,0,0,3,3,0.3,17/10/2020
"Kepa  Kepa Arrizabalaga Revuelta (Chelsea, Goalkeeper)",CHE,5.0,90,6,0,0,0,0,0,0,0,12,12,7.5,17/10/2020
"Azpilicueta  César Azpilicueta (Chelsea, Defender)",CHE,6.0,90,6,2,0,2,1,0,0,0,10,10,9.0,17/10/2020
"Chilwell  Benjamin Chilwell (Chelsea, Defender)",CHE,6.0,90,5,5,1,4,1,0,4,1,25,16,5.6,17/10/2020
"Christensen  Andreas Christensen (Chelsea, Defender)",CHE,5.0,90,1,7,1,4,0,0,0,0,15,15,6.0,17/10/2020
"Jorginho  Jorge Luiz Frello Filho (Chelsea, Midfielder)",CHE,6.0,90,11,2,0,4,0,0,0,1,23,14,6.4,17/10/2020
"Havertz  Kai Havertz (Chelsea, Midfielder)",CHE,8.5,90,8,1,0,4,1,0,0,1,25,7,12.9,17/10/2020
"James (Reece)  Reece James (Chelsea, Defender)",CHE,5.5,3,1,0,0,0,0,0,0,0,2,2,1.5,17/10/2020
"Kanté  N&#039;Golo Kanté (Chelsea, Midfielder)",CHE,5.0,90,10,5,0,2,0,0,0,0,10,10,9.0,17/10/2020
"Mount  Mason Mount (Chelsea, Midfielder)",CHE,7.5,72,1,0,1,0,0,0,2,0,6,6,12.0,17/10/2020
"Pulisic  Christian Pulisic (Chelsea, Midfielder)",CHE,8.0,87,4,3,0,0,0,0,1,2,6,6,14.5,17/10/2020
"Werner  Timo Werner (Chelsea, Forward)",CHE,9.0,89,2,0,0,0,0,1,1,2,63,6,14.8,17/10/2020
"Ziyech  Hakim Ziyech (Chelsea, Midfielder)",CHE,7.5,18,1,0,0,0,0,0,1,0,4,4,4.5,17/10/2020
"Zouma  Kurt Zouma (Chelsea, Defender)",CHE,5.5,90,6,11,0,4,0,0,0,0,15,15,6.0,17/10/2020
"Adams  Che Adams (Southampton, Forward)",SOU,7.0,86,1,0,0,0,0,1,1,1,41,8,10.8,17/10/2020
"Bednarek  Jan Bednarek (Southampton, Defender)",SOU,4.5,90,8,3,0,2,0,0,1,0,12,12,7.5,17/10/2020
"Bertrand  Ryan Bertrand (Southampton, Defender)",SOU,5.0,90,2,1,0,2,0,0,0,0,5,5,18.0,17/10/2020
"Diallo  Ibrahima Diallo (Southampton, Midfielder)",SOU,4.5,3,1,0,0,0,0,0,1,0,3,3,1.0,17/10/2020
"Ings  Danny Ings (Southampton, Forward)",SOU,8.0,90,1,0,0,0,0,0,0,2,27,3,30.0,17/10/2020
"Long (Shane)  Shane Long (Southampton, Forward)",SOU,5.1,4,0,0,0,0,0,0,0,0,2,2,2.0,17/10/2020
"McCarthy (Alex)  Alex McCarthy (Southampton, Goalkeeper)",SOU,4.5,90,2,0,0,0,0,0,0,0,10,10,9.0,17/10/2020
"Redmond  Nathan Redmond (Southampton, Midfielder)",SOU,6.0,77,5,0,0,0,0,0,0,1,5,5,15.4,17/10/2020
"Romeu  Oriol Romeu (Southampton, Midfielder)",SOU,4.5,87,12,1,0,2,0,0,0,1,7,7,12.4,17/10/2020
"Tella  Nathan Tella (Southampton, Midfielder)",SOU,5.0,13,2,1,0,0,0,0,0,0,2,2,6.5,17/10/2020
"Vestergaard  Jannik Vestergaard (Southampton, Defender)",SOU,5.0,90,9,5,0,2,0,0,0,0,24,12,7.5,17/10/2020
"Walcott  Theo Walcott (Southampton, Midfielder)",SOU,6.0,90,6,1,1,0,0,0,5,2,21,12,7.5,17/10/2020
"Walker-Peters  Kyle Walker-Peters (Southampton, Defender)",SOU,5.0,90,4,6,0,4,0,0,0,1,11,11,8.2,17/10/2020
"Ward-Prowse  James Ward-Prowse (Southampton, Midfielder)",SOU,6.5,90,9,0,0,4,0,0,0,1,14,14,6.4,17/10/2020
