Name,Team,Cost,Starts,Mins,On,Off,G,A,FA,TA,CS,GC,OG,PL YC,PL RC,Vs,GW,date,Position,Home
"Abraham  Tammy Abraham (Chelsea, Forward)",CHE,6.5,0,1,1,0,0,0,0,0,0,1,0,0,0,SOU,5,17/10/2020,FWD,True
"Kepa  Kepa Arrizabalaga Revuelta (Chelsea, Goalkeeper)",CHE,5.0,1,90,0,0,0,0,0,0,0,3,0,0,0,SOU,5,17/10/2020,GKP,True
"Azpilicueta  César Azpilicueta (Chelsea, Defender)",CHE,6.0,1,90,0,0,0,0,0,0,0,3,0,0,0,SOU,5,17/10/2020,DEF,True
"Chilwell  Benjamin Chilwell (Chelsea, Defender)",CHE,6.0,1,90,0,0,0,1,0,1,0,3,0,1,0,SOU,5,17/10/2020,DEF,True
"Christensen  Andreas Christensen (Chelsea, Defender)",CHE,5.0,1,90,0,0,0,0,0,0,0,3,0,0,0,SOU,5,17/10/2020,DEF,True
"Jorginho  Jorge Luiz Frello Filho (Chelsea, Midfielder)",CHE,6.0,1,90,0,0,0,0,1,1,0,3,0,0,0,SOU,5,17/10/2020,MID,True
"Havertz  Kai Havertz (Chelsea, Midfielder)",CHE,8.5,1,90,0,0,1,0,0,0,0,3,0,0,0,SOU,5,17/10/2020,MID,True
"James (Reece)  Reece James (Chelsea, Defender)",CHE,5.5,0,3,1,0,0,0,0,0,0,1,0,0,0,SOU,5,17/10/2020,DEF,True
"Kanté  N&#039;Golo Kanté (Chelsea, Midfielder)",CHE,5.0,1,90,0,0,0,0,0,0,0,3,0,0,0,SOU,5,17/10/2020,MID,True
"Mount  Mason Mount (Chelsea, Midfielder)",CHE,7.5,1,72,0,1,0,0,0,0,0,2,0,0,0,SOU,5,17/10/2020,MID,True
"Pulisic  Christian Pulisic (Chelsea, Midfielder)",CHE,8.0,1,87,0,1,0,0,0,0,0,2,0,0,0,SOU,5,17/10/2020,MID,True
"Werner  Timo Werner (Chelsea, Forward)",CHE,9.0,1,89,0,1,2,1,0,1,0,2,0,0,0,SOU,5,17/10/2020,FWD,True
"Ziyech  Hakim Ziyech (Chelsea, Midfielder)",CHE,7.5,0,18,1,0,0,0,0,0,0,1,0,0,0,SOU,5,17/10/2020,MID,True
"Zouma  Kurt Zouma (Chelsea, Defender)",CHE,5.5,1,90,0,0,0,0,0,0,0,3,0,0,0,SOU,5,17/10/2020,DEF,True
"Adams  Che Adams (Southampton, Forward)",SOU,7.0,1,86,0,1,1,1,0,1,0,3,0,0,0,CHE,5,17/10/2020,FWD,False
"Bednarek  Jan Bednarek (Southampton, Defender)",SOU,4.5,1,90,0,0,0,0,0,0,0,3,0,0,0,CHE,5,17/10/2020,DEF,False
"Bertrand  Ryan Bertrand (Southampton, Defender)",SOU,5.0,1,90,0,0,0,0,0,0,0,3,0,0,0,CHE,5,17/10/2020,DEF,False
"Diallo  Ibrahima Diallo (Southampton, Midfielder)",SOU,4.5,0,3,1,0,0,0,0,0,0,0,0,0,0,CHE,5,17/10/2020,MID,False
"Ings  Danny Ings (Southampton, Forward)",SOU,8.0,1,90,0,0,1,0,0,0,0,3,0,0,0,CHE,5,17/10/2020,FWD,False
"Long (Shane)  Shane Long (Southampton, Forward)",SOU,5.1,0,4,1,0,0,0,0,0,0,0,0,0,0,CHE,5,17/10/2020,FWD,False
"McCarthy (Alex)  Alex McCarthy (Southampton, Goalkeeper)",SOU,4.5,1,90,0,0,0,0,0,0,0,3,0,0,0,CHE,5,17/10/2020,GKP,False
"Redmond  Nathan Redmond (Southampton, Midfielder)",SOU,6.0,1,77,0,1,0,0,0,0,0,3,0,0,0,CHE,5,17/10/2020,MID,False
"Romeu  Oriol Romeu (Southampton, Midfielder)",SOU,4.5,1,87,0,1,0,0,0,0,0,3,0,1,0,CHE,5,17/10/2020,MID,False
"Tella  Nathan Tella (Southampton, Midfielder)",SOU,5.0,0,13,1,0,0,0,0,0,0,0,0,0,0,CHE,5,17/10/2020,MID,False
"Vestergaard  Jannik Vestergaard (Southampton, Defender)",SOU,5.0,1,90,0,0,1,0,0,0,0,3,0,0,0,CHE,5,17/10/2020,DEF,False
"Walcott  Theo Walcott (Southampton, Midfielder)",SOU,6.0,1,90,0,0,0,1,0,1,0,3,0,0,0,CHE,5,17/10/2020,MID,False
"Walker-Peters  Kyle Walker-Peters (Southampton, Defender)",SOU,5.0,1,90,0,0,0,0,0,0,0,3,0,0,0,CHE,5,17/10/2020,DEF,False
"Ward-Prowse  James Ward-Prowse (Southampton, Midfielder)",SOU,6.5,1,90,0,0,0,0,0,0,0,3,0,0,0,CHE,5,17/10/2020,MID,False
